N	3gram	Bakhtin_KF	Sotsiolo
1	по отношению к	22	2
2	дело не в	1	2
3	только в этом	1	2
4	в том что	2	2
5	не в том	1	2
6	но как и	1	1
7	это и есть	1	1
8	и в то	1	1
9	конечно не в	1	1
10	в то же	2	1
11	ровно ничего не	1	1
12	как бы он	1	1
13	в конечном счете	1	1
14	то же самое	1	1
15	то же время	2	1
16	в противном случае	1	1
17	бы он ни	2	1
18	как и куда	1	1
19	и только для	1	1
20	во всяком случае	1	1
21	и в этом	3	1
22	не может не	1	1
23	в настоящее время	1	1
24	в лучшем случае	1	1
25	не было бы	3	1
