N	4gram	Vygotskiy_	Mirosoze
1	в то время как	4	4
2	не что иное как	2	4
3	одна и та же	2	3
4	одной и той же	4	3
5	в том что он	2	3
6	так же как и	1	3
7	ни в чем не	1	2
8	что до сих пор	1	1
9	с такой силой как	2	1
10	и в самом деле	2	1
11	это означает что в	1	1
12	и мы увидим что	2	1
13	и в том случае	1	1
14	в том смысле в	1	1
15	к тому что наш	1	1
16	указывает на то что	3	1
17	сомневаться в том что	1	1
18	в то же время	1	1
19	в явном противоречии со	1	1
20	с психологической точки зрения	2	1
21	друг к другу как	1	1
22	что в то время	1	1
23	еще не было указано	1	1
24	том что он не	1	1
25	указывают на то что	1	1
26	к отрицанию не только	1	1
27	она заключает в себе	1	1
28	заключает в себе и	1	1
29	с одной стороны он	2	1
30	для того чтобы сделать	2	1
31	до сих пор не	1	1
32	в том что оно	1	1
