N	3gram	Bakhtin_Pr	Sovremen
1	с точки зрения	6	5
2	не может быть	11	4
3	в свою очередь	1	2
4	то же самое	2	2
5	тем не менее	3	2
6	в отличие от	5	2
7	мы можем назвать	1	2
8	в настоящее время	1	2
9	может быть и	1	2
10	есть не что	1	1
11	что дело идет	1	1
12	в дальнейшем и	1	1
13	не было бы	1	1
14	готовом виде и	1	1
15	ничто не может	1	1
16	то ни было	2	1
17	в том что	3	1
18	и именно в	1	1
19	на самом деле	3	1
20	совершенно независимо от	2	1
21	не более как	1	1
22	быть поняты с	1	1
23	дело идет о	1	1
24	не могут быть	2	1
25	точки зрения с	1	1
26	до сих пор	1	1
27	одной стороны и	1	1
28	существенно отличается от	1	1
29	в свое время	1	1
30	сами по себе	1	1
31	лишь там где	2	1
32	не что иное	1	1
33	мы в дальнейшем	1	1
34	в связи с	1	1
35	может иметь место	1	1
36	ни в один	1	1
37	в самом деле	3	1
38	дело в том	1	1
39	и наконец все	1	1
40	могут быть поняты	2	1
41	это как бы	1	1
42	той или иной	2	1
43	не является исключением	1	1
44	а о значении	1	1
45	и во всех	2	1
46	что иное как	1	1
47	в данном случае	4	1
48	как мы это	1	1
49	что все они	1	1
50	должны ли мы	3	1
51	не может но	1	1
52	который как бы	1	1
53	равно как и	1	1
54	в этом направлении	1	1
55	принципиально не может	1	1
56	и прежде всего	5	1
57	в конечном счете	4	1
58	с одной стороны	3	1
59	не дает нам	1	1
60	но никогда не	1	1
61	со всеми его	1	1
62	по аналогии с	1	1
63	то же время	3	1
64	не в том	1	1
65	она не может	1	1
66	поняты с точки	1	1
67	по отношению к	19	1
68	и может быть	1	1
69	никакому сомнению что	1	1
70	в том как	1	1
71	в то же	3	1
72	оно может быть	1	1
73	бы то ни	3	1
74	на этот вопрос	1	1
75	но отнюдь не	7	1
76	и в этом	1	1
77	и ничего не	1	1
78	можно было бы	3	1
79	именно в том	1	1
80	в этом смысле	3	1
81	и в то	2	1
82	и не может	2	1
83	раз и навсегда	1	1
84	может быть только	3	1
