N	2gram	Bakhtin_KF	UchenyiS
1	и в	28	14
2	не только	5	10
3	а не	17	10
4	и не	28	8
5	прежде всего	4	8
6	то что	7	7
7	в этом	15	7
8	не может	29	7
9	может быть	45	6
10	в искусстве	1	6
11	перестает быть	1	5
12	хотя бы	5	5
13	то же	5	5
14	художественного творчества	1	5
15	и только	7	5
16	все это	10	5
17	в конечном	1	4
18	в этой	2	4
19	конечном счете	1	4
20	конечно не	7	4
21	но и	9	4
22	в их	9	4
23	бы то	2	3
24	было бы	8	3
25	не о	2	3
26	и то	2	3
27	только к	1	3
28	и т.д	4	3
29	для этого	2	3
30	это не	10	3
31	как и	5	3
32	то ни	2	3
33	для него	13	3
34	в своей	11	3
35	все же	5	3
36	ни было	4	3
37	в области	2	3
38	в то	3	3
39	не как	4	3
40	не следует	2	3
41	но в	5	3
42	же время	2	3
43	все они	2	2
44	в самом	1	2
45	если не	2	2
46	же не	1	2
47	в противном	1	2
48	его и	2	2
49	если бы	8	2
50	самом деле	3	2
51	могут быть	3	2
52	не в	13	2
53	это было	2	2
54	бы и	3	2
55	и с	1	2
56	до сих	1	2
57	их и	1	2
58	же самое	1	2
59	как таковой	1	2
60	но не	12	2
61	форму и	1	2
62	тем что	3	2
63	более чем	1	2
64	в себе	21	2
65	в его	42	2
66	т.е в	1	2
67	приходится признать	1	2
68	должна быть	4	2
69	мы не	3	2
70	именно как	1	2
71	ничего не	3	2
72	всех этих	3	2
73	между тем	4	2
74	что она	1	2
75	не есть	22	2
76	что он	2	2
77	при таком	1	2
78	противном случае	1	2
79	как раз	1	2
80	а как	2	2
81	что мы	1	2
82	сводится к	2	2
83	в том	6	2
84	представляется нам	1	2
85	это уже	2	2
86	том что	4	2
87	и через	1	2
88	но это	6	2
89	этом смысле	3	2
90	и для	10	2
91	в системе	1	2
92	что и	7	2
93	не случайно	1	2
94	смысле этого	1	2
95	с его	2	2
96	превращается в	1	2
97	сих пор	1	2
98	только в	18	2
99	формы и	1	2
100	по себе	2	2
101	что все	1	2
102	но конечно	3	2
103	как основной	1	1
104	было и	2	1
105	признать что	1	1
106	все в	1	1
107	что в	4	1
108	построения и	1	1
109	не было	8	1
110	остается в	1	1
111	вне его	1	1
112	бы только	1	1
113	и даже	1	1
114	содержания в	1	1
115	связанных с	1	1
116	всего что	1	1
117	и потому	2	1
118	конечно это	1	1
119	но он	1	1
120	отказаться от	2	1
121	единицы и	1	1
122	в не	1	1
123	или просто	1	1
124	в которой	1	1
125	все и	1	1
126	имеем в	2	1
127	можно сказать	1	1
128	архитектонику как	1	1
129	этого не	1	1
130	мы можем	1	1
131	которой все	2	1
132	и единого	1	1
133	в данном	2	1
134	что ему	1	1
135	как таковая	1	1
136	а для	2	1
137	нет и	3	1
138	только этот	1	1
139	равно как	1	1
140	это содержание	1	1
141	религии и	1	1
142	никогда и	1	1
143	быть не	2	1
144	и все	9	1
145	теоретические и	1	1
146	что этот	3	1
147	весь и	1	1
148	содержание и	2	1
149	к следующему	1	1
150	не исключительно	1	1
151	и эта	2	1
152	в процессе	2	1
153	она должна	1	1
154	он будет	1	1
155	его как	5	1
156	но для	3	1
157	то есть	1	1
158	и всей	1	1
159	философии это	1	1
160	выхода в	2	1
161	этот процесс	1	1
162	нем но	1	1
163	и др	1	1
164	и содержание	5	1
165	своем месте	2	1
