N	4gram	Ircho_Kome	KulturaY
1	в то же время	5	6
2	с этой точки зрения	1	5
3	и т п в	1	5
4	не говоря уже о	4	5
5	состоит в том что	1	4
6	т п т е	1	3
7	в том случае если	1	3
8	только в том случае	1	3
9	в том что он	4	3
10	и т п т	1	3
11	в тех случаях когда	1	3
12	обращает на себя внимание	4	2
13	именно с этой точки	1	2
14	которую можно было бы	1	2
15	не что иное как	1	2
16	одних и тех же	1	2
17	так или иначе связанные	1	1
18	и т п которые	1	1
19	ни в коем случае	1	1
20	как это имело место	1	1
21	а то и вовсе	2	1
22	что само по себе	1	1
23	он имеет в виду	1	1
24	в то время когда	1	1
25	и в отрывках из	1	1
26	по отношению к науке	1	1
27	с другой стороны в	1	1
28	в то время как	6	1
29	в связи с этим	1	1
30	в современном смысле этого	1	1
31	но не менее важно	1	1
32	не менее важно что	1	1
33	до нас только в	1	1
34	в одном из своих	1	1
35	сводится к тому что	1	1
36	можно было бы сравнить	1	1
37	в этом смысле исключения	2	1
38	указания на то что	1	1
39	ответ на это дает	1	1
40	бы то ни было	4	1
41	которых идет речь в	1	1
42	и в силу этого	2	1
43	во всяком случае в	1	1
44	тем более что она	1	1
45	в целом ряде случаев	1	1
46	о которых идет речь	1	1
47	во всяком случае что	1	1
48	это что это такое?	1	1
49	и т д все	1	1
50	до конца и в	1	1
51	или иначе связанные с	1	1
