N	2gram	Potebnia_M	Retstnzi
1	не может	30	4
2	и в	58	3
3	если в	3	2
4	один из	2	2
5	при сравнении	1	1
6	литературного языка	1	1
7	может и	1	1
8	в особенности	1	1
9	несмотря на	5	1
10	может быть	47	1
11	не только	32	1
12	и лингвистики	1	1
13	точки зрения	8	1
14	с точки	4	1
15	для него	13	1
16	с теми	2	1
17	в ней	9	1
18	тех же	1	1
19	себе все	1	1
20	в каждом	6	1
21	связи с	6	1
22	не из	3	1
23	бы на	1	1
24	можно и	1	1
25	с другими	3	1
26	лучше всего	1	1
27	его от	2	1
28	сил которые	1	1
29	лежащие в	1	1
30	если бы	23	1
31	в его	7	1
32	ничего кроме	2	1
33	влияния на	1	1
34	не менее	10	1
35	именно с	1	1
36	деятельности в	2	1
37	и заставляет	1	1
38	в языке	36	1
39	речь и	2	1
40	но и	26	1
41	мы видим	5	1
42	к тому	5	1
43	во второй	1	1
44	сравнении с	4	1
45	можно назвать	1	1
46	тому что	4	1
47	языка как	6	1
48	вопрос что	1	1
49	важность этой	1	1
50	понятно не	1	1
51	от связи	1	1
52	в то	6	1
53	из этих	8	1
54	он в	1	1
55	же время	4	1
56	то же	13	1
57	по своим	1	1
58	а не	38	1
59	бы в	6	1
60	и должно	2	1
61	и не	34	1
62	язык как	7	1
63	на нее	2	1
64	и все	6	1
65	ее решения	1	1
66	истории но	1	1
67	и на	8	1
