N	4gram	Tiupa_Anal	slovoVRo
1	в то же время	7	18
2	в той или иной	2	13
3	его последней смысловой инстанции	1	3
4	не для того чтобы	1	2
5	то же время в	2	2
6	одни и те же	1	1
7	но они не принадлежат	1	1
8	во всяком случае не	1	1
9	сама она не ищет	1	1
10	дело в том что	3	1
11	она не ищет слов	1	1
12	случае она вырождается в	1	1
13	а в том что	1	1
14	но в отличие от	1	1
15	для того чтобы их	1	1
16	доведения лжи до абсурда	1	1
17	одной и той же	2	1
18	сама по себе еще	1	1
19	не ищет слов боится	1	1
20	как если бы он	1	1
21	том что он не	1	1
22	абсурда но сама она	1	1
23	в том что он	2	1
24	погрязнуть в словесной патетике	1	1
25	путем доведения лжи до	1	1
26	но с другой стороны	1	1
27	с другой стороны и	1	1
28	включает в себя момент	2	1
29	в этом отношении он	1	1
30	с той или иной	2	1
31	но сама она не	1	1
32	лжи до абсурда но	1	1
33	до абсурда но сама	1	1
