N	4gram	Voloshinov	VerxiiNi
1	во всяком случае не	1	3
2	бы то ни было	2	2
3	в то же время	6	2
4	имеющие ничего общего с	1	1
5	мы должны прежде всего	2	1
6	этим дело не исчерпывается	1	1
7	но тем не менее	1	1
8	с того момента когда	1	1
9	но этим дело не	1	1
10	или по крайней мере	1	1
11	во всяком случае в	1	1
12	до сих пор не	1	1
13	не имеющие ничего общего	1	1
14	что мы знаем о	1	1
15	но в то же	3	1
16	мы имеем в виду	1	1
17	и в то же	1	1
18	в общем можно сказать	1	1
19	общем можно сказать что	1	1
20	в самом деле если	1	1
21	один и тот же	3	1
