N	3gram	Voloshinov	Stilisti
1	для того чтобы	1	7
2	с точки зрения	6	5
3	той или иной	1	4
4	с самого начала	4	4
5	то же самое	1	4
6	на самом деле	4	3
7	и т.п и	1	3
8	в самом деле	2	2
9	все то что	2	2
10	вместе с тем	1	2
11	не может быть	3	2
12	и ту же	1	2
13	о том что	2	2
14	мы увидим что	1	2
15	можно сказать что	3	2
16	связи с этим	1	2
17	не что иное	1	2
18	на первый взгляд	1	2
19	в связи с	1	2
20	что иное как	1	2
21	в разных местах	1	2
22	в этом отношении	1	2
23	одну и ту	1	2
24	мы говорили что	1	1
25	каждое из этих	1	1
26	в том что	1	1
27	и как всякий	1	1
28	человек не может	1	1
29	из всего сказанного	1	1
30	на две группы	2	1
31	мы уже знаем	1	1
32	но вместе с	1	1
33	в конечном счете	2	1
34	в своей первой	1	1
35	мы должны перейти	1	1
36	только одна из	1	1
37	значения из одного	1	1
38	в большинстве случаев	3	1
39	по крайней мере	3	1
40	одних и тех	1	1
41	ее не только	1	1
42	другими словами на	1	1
43	нам в голову	1	1
44	на это мы	1	1
45	что же делает	1	1
46	художественного творчества и	1	1
47	по ту сторону	4	1
48	и тех же	1	1
49	на вопрос о	1	1
50	по сравнению с	3	1
51	но даже и	1	1
52	и та же	1	1
53	одного и того	1	1
54	до сих пор	3	1
55	я и в	1	1
56	самым существенным моментом	1	1
57	мы имеем в	1	1
58	в душе человека	1	1
59	и как мы	1	1
60	и того же	1	1
61	несмотря на это	1	1
62	связанных с ними	2	1
63	в высшей степени	1	1
64	одна и та	1	1
65	в каком направлении	1	1
66	не нуждается в	2	1
67	войти в историю	1	1
68	в нем и	1	1
69	нет ничего удивительного	1	1
70	нужно отметить что	1	1
71	можно было бы	1	1
72	мы не можем	1	1
73	и в этом	2	1
74	прежде всего на	1	1
75	же самое и	1	1
