N	2gram	Berdyaev_O	Tvorches
1	у достоевского	19	91
2	и в	19	56
3	как бы	3	41
4	в его	7	37
5	романах достоевского	3	32
6	в романах	4	30
7	достоевского в	3	27
8	не только	11	24
9	но в	2	24
10	как и	6	23
11	и не	13	23
12	а в	5	23
13	и его	4	23
14	в этом	12	22
15	достоевского не	4	22
16	что в	4	21
17	в том	5	21
18	из подполья	11	21
19	он не	7	19
20	том что	2	19
21	может быть	11	19
22	потому что	9	19
23	в преступлении	4	19
24	у него	22	18
25	то что	5	18
26	преступлении и	3	18
27	и на	2	17
28	и наказании	3	17
29	что он	3	17
30	все это	6	17
31	но и	13	16
32	никогда не	9	16
33	как в	1	16
34	в бесах	3	16
35	в творчестве	5	16
36	прежде всего	9	16
37	достоевского с	2	16
38	не может	4	16
39	достоевский не	4	16
40	и с	2	15
41	в мире	1	15
42	но это	1	15
43	в этой	5	15
44	с его	4	15
45	подпольного человека	1	14
46	и даже	1	14
47	князь мышкин	1	14
48	достоевский в	1	14
49	это не	3	14
50	о том	3	13
51	преступление и	1	13
52	а не	11	13
53	в котором	1	12
54	в своей	2	11
55	все же	2	11
56	преступления и	1	11
57	братьях карамазовых	1	11
58	героев достоевского	2	11
59	для него	5	11
60	что достоевский	2	11
61	в самом	5	10
62	и достоевский	1	10
63	он сам	4	10
64	в русской	3	10
65	и наказания	1	10
66	не в	11	10
67	в конце	1	10
68	иван карамазов	2	10
69	когда он	3	10
70	герои достоевского	4	10
71	и наказание	1	10
72	уже в	2	10
73	так и	2	10
74	но не	1	10
75	как будто	1	10
76	в душе	2	9
77	в своих	3	9
78	по природе	1	9
79	в братьях	1	9
80	для достоевского	5	9
81	и от	3	9
82	один из	1	9
83	жизни в	2	9
84	записки из	3	9
85	человека в	11	9
86	в нем	10	9
87	достоевским в	1	8
88	к этому	2	8
89	ивана карамазова	7	8
90	хотя и	2	8
91	еще не	3	8
92	в себе	3	8
93	так как	2	8
94	романов достоевского	2	8
95	вовсе не	1	8
96	человека и	10	8
97	достоевского к	2	7
98	в этих	3	7
99	и сам	1	7
