N	4gram	Losev_Vesc	VLabPisa
1	в то же время	4	5
2	и в то же	3	3
3	одном и том же	1	2
4	с одной стороны и	1	2
5	в этом и заключается	1	2
6	только в том что	1	1
7	с этой точки зрения	3	1
8	в том смысле что	1	1
9	т е более или	1	1
10	и есть то что	1	1
11	может быть и речи	1	1
12	одно и то же	5	1
13	в одном и том	1	1
14	е более или менее	1	1
15	не может быть никакого	1	1
16	значит ли это что	4	1
17	а в том что	1	1
18	это и значит что	3	1
19	но даже и не	1	1
20	но в то же	1	1
21	не может быть и	1	1
22	в силу тех или	1	1
23	в то время как	4	1
24	и вместе с тем	1	1
25	не может обойтись без	1	1
