N	3gram	Tiupa_Lite	Komedia
1	в том что	15	29
2	к тому же	1	21
3	в то же	12	16
4	то же время	12	16
5	до сих пор	1	16
6	в самом деле	1	13
7	о том что	3	13
8	и т п	2	11
9	для того чтобы	1	11
10	в свою очередь	2	10
11	едва ли не	5	10
12	по отношению к	4	9
13	с одной стороны	8	9
14	речь идет о	3	8
15	с другой стороны	5	8
16	так или иначе	8	7
17	бы то ни	1	7
18	в конце концов	1	7
19	то ни было	1	7
20	с самого начала	1	7
21	во всяком случае	2	7
22	в отличие от	6	6
23	говоря уже о	2	6
24	в том числе	2	6
25	в связи с	4	6
26	с точки зрения	4	6
27	до тех пор	2	6
28	не говоря уже	3	6
29	после того как	1	6
30	что он не	1	5
31	в ответ на	1	5
32	за то что	2	5
33	в этом отношении	5	5
34	тем не менее	4	5
35	том что он	1	5
36	в самом начале	1	4
37	в одном из	1	4
38	чуть ли не	2	4
39	к тому что	1	4
40	но все же	1	4
41	в это время	1	4
42	не в состоянии	1	4
43	можно было бы	2	4
44	во второй половине	1	4
45	в том же	3	3
46	на мой взгляд	1	3
47	в соответствии с	2	3
48	речь шла о	1	3
49	а то и	2	3
50	вместе с ним	1	3
51	на то что	1	3
52	в этом же	1	3
53	в этой связи	1	3
54	состоит в том	8	3
55	не более чем	1	3
56	из того же	1	3
57	да и сам	2	2
58	с полным основанием	1	2
59	одной стороны и	1	2
60	в конечном счете	8	2
61	в большинстве случаев	1	2
62	того же автора	1	2
63	с этой точки	3	2
64	по отношению ко	2	2
65	в частности в	1	2
66	но при этом	2	2
67	в разговоре с	2	2
68	в отношении к	1	2
69	что он в	1	2
70	в зависимости от	1	2
71	и в то	1	2
72	том что в	1	2
73	к себе в	1	2
74	в основе своей	1	2
75	для этой цели	1	2
76	все тот же	1	2
77	если говорить о	1	2
78	как мы знаем	1	2
79	как это было	1	2
80	так и не	1	2
81	этой точки зрения	3	2
82	только в том	2	2
83	и тем более	1	2
84	в одной из	1	2
85	то и вовсе	1	2
86	подобно тому как	4	2
87	и не менее	1	2
88	только потому что	1	2
89	не только в	4	2
90	в этом случае	2	2
91	как мы видели	1	2
92	тем более что	1	2
93	и как раз	1	1
94	тех пор пока	2	1
95	как и во	1	1
96	но и не	1	1
97	имеет ничего общего	1	1
98	был уверен что	1	1
99	в той мере	1	1
100	том что его	2	1
101	что уже в	1	1
102	не может быть	5	1
103	нет ничего кроме	1	1
104	как было сказано	1	1
105	имеется в виду	1	1
106	тому же пути	1	1
107	имеем дело с	1	1
108	в руках у	1	1
109	за собой и	1	1
110	те в свою	1	1
111	далеко не всегда	1	1
112	и нет необходимости	1	1
113	но и он	1	1
114	одного и того	1	1
115	как раз с	1	1
116	х годов в	2	1
117	то в его	1	1
118	как например в	1	1
119	и сам не	1	1
120	ничего общего с	2	1
121	никогда не любил	1	1
122	ли не в	2	1
123	в соединении с	1	1
124	не сводится к	3	1
125	по аналогии с	3	1
126	в один из	1	1
127	в полной мере	1	1
128	и тем самым	2	1
129	и прежде всего	4	1
130	в данном случае	6	1
131	не столько о	1	1
132	которые были для	1	1
133	не имеет ничего	1	1
134	и в пределах	1	1
135	на причастность к	2	1
136	и того же	1	1
137	того же слова	1	1
138	в наше время	1	1
139	с ним а	1	1
140	по этому поводу	1	1
141	вовсе не является	1	1
142	не нуждается в	1	1
143	в значительной степени	1	1
144	не мог бы	1	1
145	но не менее	1	1
146	по тем же	2	1
147	а не в	1	1
148	и не может	1	1
149	и в этом	1	1
150	мы имеем дело	2	1
151	по тому же	1	1
152	может и не	1	1
153	в столь же	1	1
154	прежде всего это	1	1
155	все же в	2	1
156	на задний план	1	1
157	ты ни был	1	1
158	той или иной	1	1
159	более чем за	1	1
160	с такой же	1	1
161	в том чтобы	1	1
162	остался в живых	1	1
163	на второй план	1	1
164	к другому а	1	1
165	по крайней мере	2	1
166	же время он	1	1
167	от земли и	1	1
168	которая со временем	1	1
169	другой стороны он	1	1
170	каждый из которых	1	1
171	и вовсе не	1	1
172	в свое время	1	1
173	еще при жизни	1	1
174	в целом ряде	2	1
175	как один из	1	1
176	в общественном сознании	1	1
177	он не может	1	1
178	жизни но и	1	1
179	том что для	1	1
180	том же году	3	1
181	внешнее и внутреннее	1	1
182	которая никогда не	1	1
183	так как будто	1	1
184	для этого он	1	1
185	однако в том	1	1
186	в чем он	1	1
187	на одном из	1	1
188	а те в	1	1
189	и в частности	1	1
190	мы узнаем о	1	1
191	в лучшем случае	1	1
192	чтобы не сказать	1	1
193	однако и в	1	1
194	он не мог	1	1
195	принципиальное различие между	1	1
196	и в литературе	1	1
197	может позволить себе	1	1
198	том что ему	1	1
199	всяком случае в	1	1
200	и не только	1	1
201	а нередко и	1	1
202	показывает нам в	1	1
203	с собой в	1	1
204	как уже говорилось	1	1
205	мы не можем	1	1
