N	2gram	Vinokur_St	FransuaR
1	и в	61	367
2	то есть	2	209
3	в этом	37	112
4	и не	23	101
5	таким образом	16	100
6	и его	11	99
7	в его	19	98
8	прежде всего	11	92
9	не только	36	87
10	но и	28	84
11	как бы	8	82
12	все эти	7	79
13	вовсе не	24	77
14	в романе	4	77
15	как и	11	76
16	в нем	9	75
17	но в	16	75
18	в эпоху	3	75
19	и на	7	72
20	и др	1	72
21	в том	56	71
22	как мы	1	71
23	то же	7	66
24	и все	3	66
25	в них	2	65
26	в этой	13	65
27	так и	15	65
28	и с	6	64
29	в сущности	2	64
30	в то	10	63
31	во время	5	63
32	во всех	8	62
33	все это	13	62
34	же время	5	55
35	что в	41	52
36	в своем	8	51
37	только в	11	48
38	так как	7	46
39	и до	2	46
40	том что	49	45
41	в году	3	44
42	то что	27	41
43	здесь в	1	41
44	у него	3	40
45	жизни и	6	40
46	в самом	14	38
47	точки зрения	16	37
48	в ней	9	37
49	с его	3	36
50	о том	30	35
51	он был	5	35
52	может быть	16	35
53	сказать что	9	34
54	и даже	8	34
55	в себе	3	34
56	до нас	1	34
57	в конце	5	32
58	он не	11	32
59	для него	10	32
60	до конца	4	31
61	в своей	12	31
62	так же	7	30
63	но он	5	30
64	один из	1	30
65	потому что	13	30
66	той же	5	30
67	и потому	3	30
68	никогда не	7	30
69	в духе	2	29
70	в одном	7	29
71	еще не	4	29
72	связи с	3	29
73	в этих	5	29
74	что он	23	29
75	не может	10	29
76	в особенности	1	29
77	при этом	4	29
78	его в	4	29
79	не в	15	29
80	и к	5	28
81	из них	11	28
82	всех этих	2	28
83	также и	10	28
84	в той	9	28
85	в основе	4	28
86	здесь и	1	28
87	и другие	3	27
88	сих пор	12	27
89	до сих	13	27
90	том числе	3	27
91	все же	12	27
92	по своему	2	27
93	роль в	1	27
94	и их	3	27
95	кроме того	3	26
96	в условиях	1	26
97	на самом	8	25
98	в области	16	25
99	но это	9	25
100	он и	1	24
101	но не	5	24
102	например в	8	24
103	в ее	6	24
104	и у	2	24
105	и от	2	24
106	как в	15	24
107	того чтобы	15	24
108	времени и	4	24
109	в частности	6	24
110	отношение к	3	24
111	своего рода	7	23
112	и здесь	2	23
113	и для	4	23
114	в их	3	23
115	к нему	2	23
116	это не	8	23
117	еще и	5	23
118	даже в	5	22
119	не было	7	22
120	а в	18	22
121	тем что	6	22
122	что и	8	22
123	и других	1	22
124	там где	6	22
125	вместе с	5	22
126	и во	3	22
127	связь с	1	22
128	и о	4	22
129	в своих	2	21
130	именно в	8	21
131	в отношении	11	21
132	уже в	3	21
133	и как	2	21
134	есть в	2	21
135	в качестве	7	21
136	одним из	2	21
137	что это	5	21
138	ни в	5	21
139	в виду	6	20
140	и это	4	20
141	в значительной	2	20
142	одной из	4	20
143	этом отношении	13	20
144	с точки	10	20
145	как раз	10	20
146	в образе	3	20
147	а также	4	20
148	самом деле	14	20
149	их в	2	19
150	к этому	4	19
151	в эту	3	19
152	того же	4	19
153	за пределы	2	19
154	было бы	21	19
155	с другой	11	19
156	на протяжении	1	19
157	хотя и	4	19
158	в форме	2	19
159	в ту	1	19
160	далеко не	1	19
161	мы находим	4	18
162	со всеми	2	18
163	конечно и	5	18
164	это и	5	18
165	здесь не	1	18
166	одна из	1	18
167	но они	3	18
168	превращается в	2	18
169	на этом	1	18
170	связанные с	3	18
171	перед нами	1	18
172	связан с	3	18
173	это в	4	18
174	и смерти	1	17
175	для того	15	17
176	конечно не	2	17
177	в результате	5	17
178	можно было	14	17
179	своего времени	4	17
180	связанных с	1	17
181	на его	2	17
182	числе и	2	17
183	в плане	1	17
184	такой же	6	17
185	еще более	5	17
186	но все	9	17
187	и вот	1	17
188	того что	14	17
189	а не	19	17
190	в другом	5	16
191	с одной	3	16
192	между ними	1	16
193	между тем	7	16
194	нужно сказать	6	16
195	тот же	2	16
196	в начале	5	16
197	в свете	1	16
198	ничего не	6	16
199	они не	2	16
200	дело в	9	16
201	не подлежит	2	16
202	а затем	1	15
203	в которой	13	15
204	не были	2	15
205	никто не	4	15
206	из этих	7	15
207	с их	2	15
208	от всех	1	15
209	особенно в	2	15
210	и вообще	5	15
211	одно из	3	15
212	почти все	2	15
213	как на	10	15
214	в нашем	1	15
215	не мог	3	15
216	xix века	2	15
217	в первой	12	15
218	еще в	3	15
219	пор еще	1	15
220	в истории	5	15
221	в котором	11	14
222	в чем	4	14
223	образом в	1	14
224	и по	6	14
225	мы не	3	14
226	на них	2	14
227	все что	1	14
228	в данном	16	14
229	и он	2	14
