N	2gram	Trubetskoy	Sotsiolo
1	все это	13	7
2	в том	31	5
3	в этом	13	5
4	не только	10	3
5	как же	1	3
6	не в	9	3
7	и в	24	3
8	и только	2	3
9	в его	5	3
10	для нас	3	3
11	что в	9	2
12	то что	18	2
13	таким образом	34	2
14	том что	20	2
15	как бы	10	2
16	в результате	9	2
17	было бы	3	2
18	как будто	5	2
19	очевидно что	3	2
20	в частности	2	2
21	но и	11	2
22	конце концов	4	2
23	может быть	17	2
24	по существу	7	2
25	главным образом	1	2
26	и что	9	2
27	это и	1	2
28	по отношению	11	2
29	и заключается	1	2
30	в конце	4	2
31	отношению к	11	2
32	исторического развития	2	2
33	должна быть	6	2
34	далеко не	5	2
35	тем более	3	2
36	только в	6	2
37	к которому	1	2
38	то же	4	2
39	еще не	6	2
40	а в	3	1
41	что он	7	1
42	образом в	3	1
43	столь же	5	1
44	даже в	3	1
45	науки о	1	1
46	быть не	1	1
47	в целом	5	1
48	в силу	7	1
49	что эти	2	1
50	жизни он	1	1
51	все эти	19	1
52	не было	2	1
53	представить себе	2	1
54	остается в	1	1
55	развития и	1	1
56	связи с	4	1
57	точке зрения	1	1
58	только то	2	1
59	нет а	1	1
60	в своей	1	1
61	что без	1	1
62	во всяком	2	1
63	в мире	6	1
64	том именно	1	1
65	и потому	3	1
66	все же	15	1
67	что это	5	1
68	или не	1	1
69	еще и	1	1
70	от друга	6	1
71	поставить и	1	1
72	по крайней	1	1
73	с другой	6	1
74	ни на	1	1
75	мы должны	4	1
76	данный человек	1	1
77	с ним	6	1
78	между тем	12	1
79	и более	2	1
80	но как	2	1
81	в этой	7	1
82	что таким	3	1
83	время в	1	1
84	из себя	10	1
85	и его	2	1
86	только когда	1	1
87	это по	1	1
88	всему этому	3	1
89	никак не	1	1
90	в данном	3	1
91	на все	5	1
92	только для	1	1
93	в области	4	1
94	и по	3	1
95	их на	1	1
96	же самое	1	1
97	этом не	1	1
98	один из	1	1
99	так и	10	1
100	только тогда	2	1
101	в то	6	1
102	может не	3	1
103	развиваться в	3	1
104	в котором	2	1
105	те же	2	1
106	будет тем	4	1
107	данный субъект	1	1
108	между собой	4	1
109	отнюдь не	2	1
110	и не	9	1
111	со своими	2	1
112	тогда и	1	1
113	всяком случае	2	1
114	никаких положительных	1	1
115	иначе говоря	4	1
116	благодаря тому	1	1
117	говорит за	1	1
118	настоящее время	3	1
119	или нет	1	1
120	и история	1	1
121	и должны	1	1
122	вступает в	1	1
123	но не	3	1
124	может служить	3	1
125	они не	2	1
126	лучшем случае	1	1
127	благодаря этому	1	1
128	она должна	1	1
129	этой области	4	1
130	для этого	7	1
131	прежде всего	3	1
132	тем что	1	1
133	что она	2	1
134	тем же	2	1
135	в каждом	1	1
136	связь между	1	1
137	на тех	1	1
138	и благодаря	1	1
139	друг от	6	1
140	на основании	1	1
141	ним все	1	1
142	а с	4	1
143	а между	8	1
144	же не	3	1
145	и будет	2	1
146	тех кто	5	1
147	в лучшем	1	1
148	в сущности	2	1
149	в область	1	1
150	психологии и	1	1
151	его в	5	1
152	же теперь	1	1
153	не от	2	1
154	пришлось бы	2	1
155	зависит от	1	1
156	крайней мере	1	1
157	в процессе	2	1
158	между собою	5	1
159	я и	1	1
160	вовсе не	2	1
161	с одной	3	1
162	и наконец	3	1
163	конечно не	3	1
164	так наз	1	1
165	о том	7	1
166	мы не	1	1
167	и понимает	1	1
168	тому что	2	1
169	но именно	1	1
170	том и	2	1
171	и затем	1	1
172	эти вопросы	1	1
173	в этих	3	1
174	у него	5	1
175	своих мыслей	1	1
176	на первый	2	1
177	перед нами	1	1
178	бы он	1	1
179	все то	2	1
180	хотя бы	4	1
181	же время	2	1
182	что на	2	1
183	это не	3	1
184	одной стороны	2	1
185	в связи	3	1
186	бы в	3	1
187	разрешить все	1	1
188	конечно только	1	1
189	в виде	4	1
190	в настоящее	3	1
191	именно в	5	1
192	никогда не	4	1
193	не может	18	1
194	между ними	2	1
195	и как	1	1
196	что все	5	1
197	для методологии	1	1
198	не без	2	1
199	как и	10	1
200	ничего не	1	1
201	в них	2	1
