N	2gram	Medvedev_V	Sovremen
1	в этом	1	7
2	и в	2	7
3	и не	1	6
4	так как	1	4
5	в том	2	4
6	то же	1	3
7	все это	1	3
8	в конце	2	3
9	ведь это	1	3
10	и т.д	1	3
11	ясно что	1	3
12	в самом	1	2
13	не будем	1	2
14	самом деле	1	2
15	к чему	1	2
16	и составляет	1	1
17	в другом	1	1
18	от общего	1	1
19	образом из	1	1
20	для них	1	1
21	только в	1	1
22	собственно и	1	1
23	дело в	1	1
24	крайней мере	1	1
25	по существу	1	1
26	именно в	1	1
27	предлагает нам	1	1
28	том что	2	1
29	так в	1	1
30	к этому	1	1
31	и только	1	1
32	по своим	1	1
33	другое дело	1	1
34	но это	1	1
35	все время	1	1
36	жизни которое	1	1
37	и его	1	1
38	по крайней	1	1
