N	2gram	Vinokur_Ku	VeschiIm
1	т е	54	81
2	не есть	4	79
3	и не	23	57
4	не только	29	48
5	то что	14	48
6	не может	13	46
7	и в	44	45
8	и есть	3	40
9	и т	62	39
10	может быть	25	39
11	т д	21	38
12	а не	17	37
13	значит что	1	32
14	это значит	1	30
15	что я	4	26
16	потому что	40	25
17	не просто	7	24
18	было бы	28	24
19	только в	15	23
20	по себе	10	23
21	что она	5	23
22	в себе	4	23
23	сказать что	5	22
24	в смысле	2	22
25	и что	11	22
26	в имени	1	21
27	как бы	11	20
28	что такое	8	20
29	и следовательно	2	20
30	что это	11	19
31	что же	11	19
32	но и	13	19
33	в этом	31	18
34	все же	17	18
35	есть только	1	18
36	так как	16	17
37	что мы	6	17
38	прежде всего	14	17
39	и это	3	17
40	есть не	2	17
41	таким образом	17	16
42	того что	11	16
43	как раз	10	16
44	как и	3	15
45	уже не	13	15
46	в том	47	15
47	в ней	6	15
48	но это	4	14
49	и то	7	14
50	сущности и	1	14
51	не в	18	14
52	в самом	20	13
53	не будет	1	13
54	том что	30	13
55	и больше	1	13
56	есть и	1	13
57	и для	3	13
58	это и	6	13
59	в себя	2	13
60	то ни	2	13
61	что в	25	12
62	и с	11	12
63	бы то	1	12
64	то же	12	12
65	и даже	5	12
66	есть нечто	2	12
67	о том	10	12
68	еще не	10	12
69	не что	2	12
70	если мы	5	12
71	точки зрения	25	12
72	но если	2	12
73	она есть	2	12
74	ничего не	6	12
75	что они	5	12
76	что иное	2	12
77	ни было	1	12
78	не значит	2	12
79	совершенно не	4	12
80	что и	5	12
81	между собою	3	12
82	и как	3	12
83	смысл и	5	12
84	вещей и	1	12
85	иное как	3	12
86	и их	2	11
87	не менее	12	11
88	себя в	1	11
89	д и	3	11
90	и пр	23	11
91	еще и	7	11
92	тем не	10	11
93	ни в	3	11
94	что не	10	11
95	вовсе не	18	11
96	предполагает что	2	11
97	также и	7	11
98	в то	4	11
99	и только	2	11
100	вещи не	1	11
101	по крайней	11	10
102	в чем	2	10
103	крайней мере	11	10
104	что оно	6	10
105	ясно что	7	10
106	я и	1	9
107	с ним	5	9
108	в результате	8	9
109	со стороны	8	9
110	бы и	6	9
111	то и	4	9
112	хотя бы	19	9
113	нисколько не	6	9
114	говорить о	5	9
115	в своем	4	9
116	должно быть	6	9
117	это не	13	9
118	у нас	19	9
119	есть явление	1	9
120	но что	3	9
121	бы в	8	9
122	если оно	1	9
123	ли это	4	9
124	она не	1	9
125	так что	5	9
126	но не	11	9
127	на то	6	9
128	и его	8	9
129	как с	2	8
130	должна быть	6	8
131	это есть	2	8
132	если бы	21	8
133	смысла и	2	8
134	с тем	5	8
135	что он	7	8
136	себя и	1	8
137	отличается от	2	8
138	в свете	1	8
139	по сравнению	3	8
140	но в	11	8
141	мы не	1	8
142	что значит	2	8
143	мы имеем	11	8
144	для него	2	8
145	в ее	2	8
146	все это	10	8
147	в отношении	2	8
148	его в	1	8
149	указывает на	2	8
150	только и	3	8
151	и потому	6	8
152	не с	4	8
153	даже не	1	8
154	с другой	14	8
155	можно сказать	6	8
156	что есть	1	8
157	отнюдь не	5	8
158	есть вещь	1	7
159	с этой	4	7
160	в сущности	11	7
161	то не	2	7
162	оно не	5	7
163	самом деле	17	7
164	все эти	17	7
165	тем что	9	7
166	сравнению с	1	7
167	ни на	1	7
168	в действительности	2	7
169	относится к	3	7
170	и тогда	4	7
171	слова и	8	7
172	не потому	6	7
173	можно ли	6	7
174	без всякого	2	7
175	мог бы	1	7
176	никак не	5	7
177	или не	1	7
178	вообще не	2	7
179	я не	5	7
180	есть именно	1	7
181	по имени	1	7
182	и тем	7	7
183	е в	3	7
184	от того	5	7
185	а в	7	7
186	из них	4	7
187	можно только	1	7
188	в той	6	6
189	с полной	1	6
190	для себя	1	6
191	в разных	2	6
192	мы говорим	4	6
193	их в	1	6
194	в своей	4	6
195	в каком	6	6
196	в данном	8	6
197	а если	5	6
198	в одном	4	6
199	как только	2	6
200	как я	2	6
201	момент в	1	6
202	одна из	1	6
203	ее не	1	6
204	вопрос о	11	6
205	в сфере	3	6
206	тут мы	1	6
207	на почве	2	6
208	она имеет	1	6
209	для всякого	1	6
210	несмотря на	6	6
211	с точки	16	6
212	имени в	1	6
213	все равно	4	6
214	как же	1	6
215	или иначе	4	6
216	дело в	2	6
217	быть только	3	6
218	между ними	2	6
219	в нем	7	6
220	и вообще	1	6
221	так или	3	6
222	бытие и	1	6
223	должны быть	4	6
224	одно и	1	6
225	можно было	14	6
226	этот вопрос	7	6
227	когда мы	3	6
228	как мы	2	6
229	жизни и	1	6
230	тех или	1	6
231	независимо от	1	6
232	ведь и	2	6
233	и все	4	6
234	никогда не	2	6
235	все что	1	5
236	как это	6	5
237	один из	8	5
238	на себе	10	5
239	и здесь	8	5
240	даже и	5	5
241	со всем	1	5
242	как к	2	5
243	тогда когда	7	5
244	мысли и	1	5
245	в жизни	1	5
246	ничем не	1	5
247	как о	2	5
248	вместе с	8	5
249	да и	5	5
250	я хочу	1	5
251	себе в	3	5
252	в свою	4	5
253	и если	4	5
254	быть не	2	5
255	с а	1	5
256	те или	2	5
257	и когда	2	5
258	свою очередь	4	5
259	вообще и	2	5
260	нет и	1	5
261	это что	1	5
262	того же	6	5
263	только не	1	5
264	во всех	1	5
265	что у	3	5
