N	2gram	Tiupa_Lite	IolandNe
1	и с	4	3
2	что в	7	2
3	самого себя	3	2
4	он не	4	2
5	должен быть	2	2
6	ничего не	3	2
7	и не	19	2
8	в этом	19	2
9	неудивительно что	1	1
10	говорить о	1	1
11	и наказания	1	1
12	все эти	2	1
13	для того	2	1
14	а в	5	1
15	и о	1	1
16	же это	3	1
17	это было	1	1
18	пишет и	1	1
19	что для	2	1
20	для него	6	1
21	не остается	2	1
22	основе всего	1	1
23	вплоть до	4	1
24	тех же	3	1
25	тем что	6	1
26	не случайно	5	1
27	только что	1	1
28	а если	2	1
29	того же	5	1
30	нам в	1	1
31	художественного творчества	3	1
32	не так	1	1
33	и др	4	1
34	о жизни	1	1
35	преступления и	1	1
36	жизни и	6	1
37	с другой	11	1
38	в целом	10	1
39	более чем	4	1
40	очевидно что	2	1
41	в эту	1	1
42	стороны он	1	1
43	другой стороны	5	1
44	я не	8	1
45	себя в	7	1
46	произведения и	1	1
47	могло бы	1	1
48	то и	5	1
49	в материале	1	1
50	и еще	1	1
51	что при	1	1
52	если бы	1	1
53	отношению к	4	1
54	следующим образом	2	1
55	в художественном	6	1
56	по существу	4	1
57	и сам	6	1
58	того что	7	1
59	а с	2	1
60	ненависть к	1	1
61	только для	1	1
62	по поводу	2	1
63	а также	5	1
64	так и	7	1
65	художественном творчестве	1	1
66	автора и	1	1
67	в основе	5	1
68	в значительной	1	1
69	от этого	1	1
70	того чтобы	1	1
71	и без	1	1
72	а для	3	1
73	бы в	1	1
74	с жизнью	2	1
75	а по	2	1
76	достоевского с	1	1
77	и в	26	1
78	его личности	2	1
79	никогда не	5	1
80	еще одной	1	1
81	по отношению	6	1
82	со всеми	2	1
83	на котором	1	1
84	не допустил	1	1
85	как о	1	1
86	в них	1	1
