N	3gram	Propp_Morf	Formalny
1	с точки зрения	6	40
2	не может быть	9	29
3	на самом деле	4	21
4	то же время	1	20
5	в то же	1	20
6	и т д	60	19
7	в связи с	9	16
8	во всяком случае	2	16
9	в настоящее время	3	13
10	по отношению к	7	12
11	в этом отношении	2	11
12	бы то ни	3	10
13	в большинстве случаев	3	9
14	с другой стороны	5	9
15	для того чтобы	3	8
16	до сих пор	1	8
17	с одной стороны	2	8
18	в применении к	1	7
19	более или менее	2	7
20	то ни было	2	7
21	в высшей степени	1	7
22	и пр и	3	7
23	в свою очередь	1	7
24	а вовсе не	2	7
25	в том что	4	6
26	в данном случае	2	6
27	может быть и	2	6
28	к тому что	4	5
29	может войти в	1	5
30	до известной степени	1	5
31	связи с этим	5	5
32	мы не можем	1	5
33	тем не менее	6	4
34	и пр все	1	4
35	все более и	1	4
36	более и более	1	4
37	точки зрения его	1	4
38	не могут быть	4	4
39	не входит в	2	4
40	но все же	4	4
41	то ни стало	1	4
42	подобно тому как	5	4
43	с самого начала	1	4
44	и тот же	1	3
45	мы уже знаем	1	3
46	какого бы то	1	3
47	обстоит дело с	1	3
48	во что бы	1	3
49	друг с другом	1	3
50	вместо того чтобы	1	3
51	и в этой	1	3
52	один и тот	1	3
53	мы увидим что	2	3
54	точки зрения их	1	3
55	в противном случае	1	3
56	что бы то	1	3
57	как мы увидим	5	3
58	что же касается	1	3
59	о том как	2	2
60	т е на	1	2
61	в собственном смысле	3	2
62	с этой точки	1	2
63	находится еще в	1	2
64	в том случае	3	2
65	не потому что	1	2
66	а и в	1	2
67	иметь в виду	1	2
68	могло бы быть	1	2
69	тех или иных	1	2
70	в том или	1	2
71	и в других	2	2
72	но в этом	1	2
73	в таком случае	1	2
74	так же и	1	2
75	по тем же	1	2
76	не может войти	1	2
77	и не всегда	1	2
78	как таковой он	1	2
79	лишь постольку поскольку	1	2
80	этой точки зрения	1	2
81	как и в	3	2
82	как один из	1	2
83	можно говорить лишь	1	2
84	на этот вопрос	1	2
85	мы приходим к	3	2
86	же время и	1	2
87	совсем не так	1	2
88	и в какой	1	2
89	так как они	1	2
90	мы имеем в	2	2
91	ни в каких	1	2
92	в этом случае	10	2
93	дело не в	2	2
94	что и в	1	2
95	если же он	1	2
96	привести в систему	1	1
97	д таким образом	1	1
98	так если в	1	1
99	те случаи когда	1	1
100	вслед за этим	1	1
101	момент может быть	1	1
102	то что он	1	1
103	отношению к этой	1	1
104	и многие другие	1	1
105	но он может	1	1
106	может быть определен	1	1
107	и не стремится	1	1
108	которые могут быть	1	1
109	он не дает	1	1
110	она должна быть	1	1
111	самом деле в	1	1
112	если же они	1	1
113	т е он	1	1
114	она могла бы	1	1
115	он не может	1	1
116	те элементы которые	1	1
117	т е все	1	1
118	не значит что	3	1
119	в коем случае	1	1
120	в какой степени	1	1
121	так например в	1	1
122	то что они	1	1
123	будет зависеть от	1	1
124	не оказывает никакого	1	1
125	но они не	1	1
126	может быть заменено	1	1
127	прежде всего возникает	1	1
128	и то же	1	1
129	друг на друга	2	1
130	это не значит	2	1
131	каковы будут эти	1	1
132	все же в	1	1
133	всего этого нет	1	1
134	могут быть поняты	1	1
135	можно указать на	1	1
136	в наши дни	1	1
137	это нисколько не	1	1
138	когда говорят о	1	1
139	следует сказать что	1	1
140	прежде всего и	1	1
141	могут быть названы	1	1
142	в этой области	1	1
143	то во всяком	1	1
144	но если бы	1	1
145	а потому что	1	1
146	к исторической действительности	1	1
147	и в нашем	1	1
148	и возможно что	1	1
149	есть не что	1	1
