N	3gram	Medvedev_V	EvropaiC
1	в том что	5	16
2	до сих пор	2	15
3	по отношению к	7	11
4	более или менее	6	8
5	а между тем	1	8
6	на то что	1	7
7	для того чтобы	3	7
8	мы знаем что	2	7
9	сих пор не	1	5
10	по сравнению с	1	5
11	в самом деле	1	5
12	так или иначе	1	5
13	к тому же	1	5
14	не может быть	8	4
15	о том что	3	4
16	и без того	1	4
17	с другой стороны	8	4
18	в том случае	1	4
19	в конце концов	2	4
20	в этом случае	1	4
21	том случае если	1	4
22	в этой области	3	4
23	может быть и	1	4
24	вместе с тем	4	3
25	подлежит сомнению что	1	3
26	в том же	1	3
27	таким образом в	2	3
28	все же не	1	3
29	не подлежит сомнению	1	3
30	так же как	1	3
31	в данном случае	1	3
32	не может не	2	3
33	в связи с	4	3
34	в свою очередь	1	2
35	но вместе с	1	2
36	во всяком случае	2	2
37	и может быть	1	2
38	во всех этих	2	2
39	заключает в себе	1	2
40	в то время	1	2
41	в то же	5	2
42	ничего общего с	1	2
43	как и все	1	2
44	между этими двумя	1	2
45	они должны быть	2	2
46	но все же	1	2
47	только то что	2	2
48	с одной стороны	2	2
49	в начале этой	1	2
50	то же время	5	2
51	мы видели что	3	1
52	те черты которые	1	1
53	а как бы	1	1
54	все то что	1	1
55	но по существу	1	1
56	если все эти	1	1
57	том же направлении	1	1
58	по этому поводу	7	1
59	и так или	1	1
60	мы видим что	1	1
61	та или иная	3	1
62	этой области не	1	1
63	начале этой главы	1	1
64	эти примеры показывают	1	1
65	как мы знаем	1	1
66	что все они	1	1
67	в ту же	1	1
68	по крайней мере	2	1
69	то непосредственное впечатление	1	1
70	и в другом	2	1
71	таким образом по	2	1
72	что ни одна	1	1
73	образом по отношению	2	1
74	между ними нет	1	1
75	большею частью в	1	1
76	данного произведения в	1	1
77	этой точки зрения	2	1
78	том или ином	1	1
79	с этой точки	1	1
80	на основании этих	1	1
81	так и от	2	1
82	таким образом для	1	1
83	в том числе	2	1
84	и художественное произведение	1	1
85	не отличается от	1	1
86	только в том	2	1
87	не в том	2	1
88	она к тому	1	1
89	только в этом	1	1
90	в этом и	2	1
91	чтобы ответить на	1	1
92	хотя бы с	1	1
93	говоря уже о	1	1
94	но даже в	1	1
95	не говоря уже	1	1
96	всех других видов	1	1
97	зависимости от них	1	1
98	хотя и не	1	1
99	у него в	1	1
100	ни одна из	1	1
101	каждый из них	1	1
102	иметь в виду	2	1
103	одно и то	1	1
104	что все эти	2	1
105	мы только что	1	1
106	в зависимости от	5	1
107	том числе и	2	1
108	том же духе	1	1
109	можно было бы	2	1
110	если бы все	1	1
111	а потому и	1	1
112	из приведенных выше	3	1
113	в том или	1	1
114	что они не	1	1
115	а в том	1	1
116	что во всех	1	1
117	и то же	1	1
118	не только не	2	1
119	хотя бы в	3	1
120	таким образом даже	2	1
121	между всеми этими	1	1
122	может быть признана	1	1
123	из этих элементов	1	1
124	точки зрения на	1	1
125	уже о том	1	1
126	то же самое	1	1
127	по этому вопросу	2	1
128	и в ту	1	1
129	к тому что	4	1
130	том что оно	1	1
131	по его мнению	1	1
132	их отношение к	1	1
133	значит и в	2	1
134	приводит к тому	2	1
135	таким образом и	1	1
136	только тогда когда	1	1
137	то время как	1	1
138	нет и не	1	1
139	тот или иной	1	1
140	и не может	2	1
141	но с другой	1	1
142	между собою в	1	1
143	именно в том	1	1
