1	в то же	3	5
2	то же время	3	5
3	так и в	2	3
4	в отличие от	9	2
5	и в частности	5	2
6	и как бы	8	2
7	и в самом	22	2
8	бросается в глаза	3	2
9	но все же	1	2
10	о том что	34	2
11	это очень важно	1	2
12	точно так же	9	2
13	в том что	78	2
14	между этими двумя	1	2
15	в данном случае	9	2
16	имеет в виду	4	1
17	на русский язык	1	1
18	в этом случае	3	1
19	и потому как	1	1
20	как и в	7	1
21	то что он	11	1
22	в высшей степени	3	1
23	за то что	4	1
24	в конце концов	12	1
25	во всем его	1	1
26	возьмем ли мы	2	1
27	в разговоре с	1	1
28	объясняется тем что	1	1
29	может быть в	2	1
30	с самого начала	16	1
31	мы отнюдь не	1	1
32	в этом романе	2	1
33	быть отнесены к	1	1
34	эти образы и	1	1
35	в таком виде	2	1
36	и вместе с	5	1
37	все это мы	1	1
38	отметить что в	1	1
39	в неизмеримо более	1	1
40	и все же	2	1
41	что при таком	2	1
42	все же не	2	1
43	это и есть	4	1
44	на всем протяжении	2	1
45	ведет к тому	1	1
46	и т п	37	1
47	сам по себе	12	1
48	что все это	3	1
49	и при этом	2	1
50	но еще раз	1	1
51	отнюдь не является	1	1
52	он сказал что	1	1
53	как бы нарочно	2	1
54	что я вижу	1	1
55	с потрясающей силой	1	1
56	это не просто	4	1
57	и не может	4	1
58	в одном из	2	1
59	все сильнее и	1	1
60	непременно должно быть	2	1
61	как своего рода	1	1
62	в виду не	1	1
63	по сравнению с	11	1
64	к тому что	20	1
65	не только нет	1	1
66	но гораздо больше	1	1
67	с тем и	3	1
68	как и все	2	1
69	а между тем	4	1
70	и с этими	1	1
71	он считает что	1	1
72	в той же	2	1
73	смысле этого слова	8	1
74	и то что	10	1
75	и в этом	13	1
76	это как бы	1	1
77	не только не	16	1
78	что именно на	1	1
79	но это глубоко	1	1
80	начала и до	2	1
81	по природе своей	1	1
82	в самом деле	51	1
83	но несмотря на	1	1
84	он впадает в	1	1
85	не могут быть	3	1
86	а стало быть	1	1
87	бы и в	1	1
88	все это говорит	1	1
89	тем не менее	6	1
90	но и на	2	1
91	но при этом	2	1
92	ничего подобного нет	1	1
93	с того что	1	1
94	во всяком случае	14	1
95	может быть не	3	1
96	у него есть	1	1
97	и не быть	1	1
98	или как говорит	1	1
99	могут быть отнесены	2	1
100	согласиться с его	1	1
101	после того как	3	1
102	у него нет	1	1
103	не может быть	23	1
104	вместе с ними	2	1
105	бы и не	1	1
106	в третий раз	1	1
107	не к области	1	1
108	наслаждение ею было	1	1
109	том что он	10	1
110	в борьбе за	2	1
111	сильнее и сильнее	1	1
112	никогда не был	1	1
113	факт что в	1	1
114	жизнь и в	1	1
115	на деле же	1	1
116	в применении к	4	1
117	с такой силой	2	1
118	один из авторов	1	1
119	только один раз	1	1
120	она как бы	2	1
121	мы начинаем ощущать	1	1
122	его дочь и	1	1
123	мысль о том	3	1
124	мы понимаем что	1	1
125	она как будто	2	1
126	вместо того чтобы	5	1
127	в связи с	2	1
128	ту же мысль	2	1
129	но только он	2	1
130	не только о	2	1
131	в стихах и	1	1
132	всяких прикрас и	1	1
133	своего отца он	1	1
134	что в ней	3	1
135	несмотря на все	5	1
136	что в таком	4	1
137	что он не	9	1
138	она все же	1	1
139	на вопрос о	1	1
140	мы узнаем в	1	1
141	в чем же	2	1
142	не может жить	1	1
143	ни разу не	1	1
