N	3gram	Propp_Morf	DiskursI
1	в том что	4	28
2	по отношению к	7	17
3	с одной стороны	2	14
4	не может быть	9	12
5	в данном случае	2	12
6	то же время	1	10
7	той или иной	1	10
8	о том что	3	9
9	в то же	1	8
10	состоит в том	3	8
11	в этом отношении	2	8
12	как и в	3	7
13	с точки зрения	6	6
14	с другой стороны	5	5
15	в свою очередь	1	5
16	и может быть	1	5
17	что же касается	1	5
18	подобно тому как	5	5
19	до известной степени	1	4
20	тем не менее	6	4
21	можно сказать что	1	4
22	в этом случае	10	4
23	более или менее	2	3
24	в качестве примера	1	3
25	и то же	1	3
26	в том случае	3	3
27	в обоих случаях	2	3
28	на первый взгляд	3	3
29	одно и то	1	3
30	во всяком случае	2	3
31	бы то ни	3	2
32	в большинстве случаев	3	2
33	он не может	1	2
34	в е годы	1	2
35	в научной литературе	2	2
36	не представляет собой	1	2
37	потому что в	1	2
38	на этом основании	1	2
39	далеко не всегда	1	2
40	можно указать на	1	2
41	что они хотят	1	2
42	то ни было	2	2
43	в целом и	1	2
44	в качестве его	1	2
45	здесь как и	1	2
46	только в том	1	2
47	один из важнейших	1	2
48	сказки о животных	4	2
49	под углом зрения	2	2
50	это еще не	2	2
51	ни одна из	1	2
52	же время и	1	2
53	в волшебной сказке	1	2
54	которое может быть	2	2
55	с самого начала	1	2
56	тех случаях когда	2	2
57	том случае если	2	2
58	в тех случаях	2	2
59	то что они	1	2
60	а также и	5	2
61	в целом может	1	1
62	что далеко не	1	1
63	и даже не	1	1
64	вслед за этим	1	1
65	он как бы	1	1
66	о том как	2	1
67	в применении к	1	1
68	может быть продолжен	1	1
69	собой уже не	1	1
70	они и не	1	1
71	так например в	1	1
72	дело не в	2	1
73	она могла бы	1	1
74	представляют собой те	1	1
75	для того чтобы	3	1
76	что и дает	1	1
77	и только третья	1	1
78	некоторые из них	1	1
79	не стремится к	1	1
80	то это не	1	1
81	в таком случае	1	1
82	друг на друга	2	1
83	во втором случае	1	1
84	до сих пор	1	1
85	в иных случаях	2	1
86	может быть названа	1	1
87	иметь в виду	1	1
88	за тридевять земель	1	1
89	герой вступает в	1	1
90	к ней можно	1	1
91	тех или иных	1	1
92	и таким образом	2	1
93	в том или	1	1
94	к другому что	1	1
95	задаваясь вопросом о	1	1
96	есть не что	1	1
97	чему не обязывающий	1	1
98	но в этом	1	1
99	одновременно с этим	1	1
100	в связи с	9	1
101	однако далеко не	1	1
102	и там где	1	1
103	но все же	4	1
104	один из наиболее	1	1
105	и в качестве	1	1
106	или во всяком	1	1
107	но это не	1	1
108	том случае когда	1	1
109	лежат в основе	1	1
110	в этих случаях	14	1
111	встречается и в	2	1
112	и могут быть	1	1
113	можно предположить что	1	1
114	к тому или	1	1
115	если это не	1	1
116	к чему не	2	1
117	на русском языке	1	1
118	но и здесь	1	1
119	на то что	3	1
120	представляют собой в	1	1
121	то что в	2	1
122	в последнем случае	3	1
123	следует заметить что	2	1
124	хотя и не	2	1
125	в противном случае	1	1
126	в частности как	1	1
127	прежде всего следует	3	1
128	на самом деле	4	1
129	он представляет собой	1	1
130	с первых же	1	1
131	не что иное	2	1
132	двух точек зрения	1	1
133	далеко не все	3	1
134	это и не	2	1
135	можно было бы	2	1
136	ее по существу	1	1
137	между собой и	1	1
138	его при этом	1	1
139	во всех этих	1	1
140	стремится к созданию	1	1
141	вне своего положения	1	1
142	а не по	1	1
143	том что он	1	1
144	не могут быть	4	1
145	дело идет об	1	1
146	между тем в	1	1
147	что иное как	2	1
148	до наших дней	2	1
149	также может быть	2	1
150	ни к чему	2	1
151	своего положения в	1	1
152	сюда же относятся	1	1
153	одна из них	1	1
154	как бы в	1	1
155	оно может быть	2	1
156	к этому же	1	1
157	после того как	1	1
158	в другом случае	1	1
159	может быть названо	4	1
160	а не от	1	1
