N	2gram	Propp_Isto	Otkroven
1	о человеке	1	29
2	у него	5	22
3	и в	40	19
4	и не	19	13
5	но и	21	13
6	в этом	13	12
7	человека в	1	11
8	а не	18	11
9	не только	28	11
10	не в	11	11
11	может быть	37	11
12	вопрос о	8	10
13	и все	1	10
14	в нем	8	10
15	к человеку	1	9
16	потому что	12	9
17	прежде всего	15	9
18	не было	3	9
19	в самой	1	9
20	никогда не	25	9
21	и он	4	8
22	он был	3	8
23	нет ничего	2	7
24	от него	1	7
25	ни с	1	7
26	в его	10	7
27	он не	10	7
28	но он	5	7
29	в глубине	2	7
30	до конца	1	7
31	человек не	1	7
32	все это	6	6
33	как и	5	6
34	в том	12	5
35	для него	2	5
36	в этой	9	5
37	а в	15	5
38	о его	1	5
39	то что	17	5
40	все в	2	4
41	что в	19	4
42	через человека	1	4
43	того чтобы	3	4
44	т е	30	4
45	не может	19	4
46	него и	1	4
47	всегда есть	2	4
48	что не	2	4
49	все эти	6	4
50	на земле	1	4
51	и его	5	4
52	он сам	1	4
53	в русской	7	3
54	и от	2	3
55	и вот	2	3
56	хотя бы	5	3
57	это за	5	3
58	это не	8	3
59	для того	1	3
60	с ним	3	3
61	когда он	9	3
62	в этих	17	3
63	не могут	3	3
64	природы но	1	3
65	о природе	1	3
66	как бы	6	3
67	было бы	11	3
68	могут быть	5	3
69	в себе	6	3
70	и есть	5	3
71	что он	32	3
72	никто не	3	3
73	это было	2	3
74	и ее	3	3
75	о том	12	3
76	того что	6	3
77	к нему	3	3
78	еще не	14	3
79	всего в	2	2
80	и к	1	2
81	что человеку	1	2
82	и потому	3	2
83	так и	13	2
84	что они	13	2
85	и то	3	2
86	но никогда	1	2
87	все же	17	2
88	что у	3	2
89	не могли	1	2
90	так как	20	2
91	и очень	1	2
92	должно быть	2	2
93	к этой	5	2
94	в явлениях	1	2
95	погружается в	1	2
96	к ней	3	2
97	его не	3	2
98	для всякого	1	2
99	уже в	2	2
100	ничто не	1	2
101	в другом	6	2
102	совсем не	1	2
103	с чего	2	2
104	так что	9	2
105	в своем	5	2
106	в этот	1	2
107	с тем	13	2
108	и из	2	2
109	этом он	2	2
110	с которой	2	2
111	в которой	2	2
112	ее в	7	2
113	о которой	1	2
114	не все	5	2
115	и этим	3	2
116	одно из	2	2
117	что и	9	2
118	можно ли	1	2
119	в истории	2	2
120	его в	15	2
121	должен был	6	2
122	чем в	2	2
123	их не	3	2
124	ко всем	1	2
125	мысль о	2	2
126	вместо того	2	2
127	и с	5	2
128	что же	4	2
129	то к	1	2
130	он в	5	2
131	и о	1	2
132	природы и	1	2
133	сказать что	7	2
134	что для	1	2
135	тем что	7	2
136	него не	1	2
137	и много	1	2
138	из всего	1	2
139	и на	6	2
140	в других	3	2
141	же можно	3	2
142	ничего не	6	2
143	хотя и	1	2
144	не есть	2	2
145	в своей	2	2
146	момент в	1	2
147	в глубь	1	2
148	все еще	3	2
149	по себе	4	2
150	к этому	2	2
151	том что	11	2
152	в глубину	1	2
153	и для	5	2
154	черту и	1	2
155	в ее	2	2
