N	2gram	Savitsky_P	VerxiiNi
1	и в	14	26
2	с тем	3	18
3	в этом	10	15
4	вместе с	1	15
5	русской культуры	1	15
6	точки зрения	3	13
7	как бы	4	12
8	в том	9	11
9	не только	17	10
10	и с	2	10
11	может быть	5	10
12	из этих	1	10
13	что в	4	9
14	но и	6	9
15	в области	11	9
16	в общем	2	8
17	и не	12	8
18	как на	2	8
19	главным образом	2	8
20	с другой	5	8
21	но не	3	8
22	с одной	3	7
23	в эпоху	1	7
24	связанные с	1	7
25	том что	4	7
26	потому что	3	7
27	одной стороны	3	7
28	а с	1	7
29	то что	4	7
30	но в	9	7
31	из них	2	7
32	народной стихии	1	6
33	все это	2	6
34	что и	1	6
35	в отношении	10	6
36	все же	1	6
37	во всяком	1	6
38	и потому	4	6
39	всяком случае	1	6
40	мы должны	4	6
41	с точки	3	6
42	в себе	3	6
43	и к	4	5
44	том числе	2	5
45	в его	2	5
46	к жизни	1	5
47	более или	1	5
48	в мире	2	5
49	не имеет	1	5
50	с другом	1	5
51	или менее	1	5
52	того чтобы	1	5
53	для того	3	5
54	так же	1	5
55	национального целого	1	5
56	тем чтобы	1	5
57	в силу	2	5
58	богов и	1	5
59	русской стихии	1	5
60	друг с	1	5
61	а не	2	5
62	никогда не	1	5
63	в самом	1	4
64	что оно	1	4
65	и по	1	4
66	то же	9	4
67	только в	7	4
68	в этих	1	4
69	в которых	5	4
70	в смысле	6	4
71	в котором	4	4
72	к востоку	1	4
73	и что	1	4
74	далеко не	1	4
75	а в	4	4
76	в этой	1	4
77	числе и	1	4
78	не может	4	4
79	что все	1	4
80	в виде	2	4
81	в то	7	4
82	и только	1	4
83	в нем	3	4
84	к сожалению	1	3
85	и другие	1	3
86	и при	1	3
87	из всех	1	3
88	что это	1	3
89	и если	4	3
90	в качестве	9	3
91	европейской культуры	4	3
92	в результате	1	3
93	связывается с	1	3
94	если бы	4	3
95	в которой	1	3
96	на нее	1	3
97	ясно что	1	3
98	и как	3	3
99	же как	1	3
100	если в	2	3
101	не менее	2	3
102	в других	1	3
103	хотя бы	8	3
104	в значительной	2	3
105	представляет собой	1	3
106	так называемые	2	3
107	русский народ	2	3
108	не вполне	1	3
109	в рамках	1	3
110	к ним	1	3
111	и о	5	3
112	культуры и	1	3
113	в своем	4	3
114	того что	2	3
115	значительная часть	1	2
116	и здесь	1	2
117	и на	1	2
118	только что	1	2
119	богом и	1	2
120	народные массы	1	2
121	уже в	1	2
122	тогда когда	1	2
123	не с	1	2
124	подходя к	1	2
125	культуры на	1	2
126	те же	1	2
127	не как	1	2
128	прежде всего	3	2
129	одно из	1	2
