N	4gram	Tiupa_Teor	Myshleni
1	заключается в том что	1	43
2	одного и того же	4	17
3	состоит в том что	5	17
4	с этой точки зрения	2	16
5	одно и то же	2	12
6	в том числе и	2	10
7	с одной стороны и	1	10
8	в том что в	1	8
9	в том что он	2	8
10	не что иное как	1	6
11	одним и тем же	1	6
12	одном и том же	1	6
13	точно так же как	1	6
14	в той мере в	1	5
15	а с другой стороны	1	5
16	приводит к тому что	2	5
17	той мере в какой	1	4
18	как более или менее	1	4
19	есть не что иное	1	4
20	на язык внешней речи	1	3
21	в связи с этим	1	3
22	мы имеем в виду	3	3
23	не содержит в себе	1	3
24	с логической точки зрения	1	3
25	в том что она	1	3
26	дело в том что	1	3
27	бы то ни было	2	3
28	в то же время	8	2
29	том что он не	1	2
30	той или иной мере	1	2
31	в той или иной	1	2
32	в том случае если	1	2
33	как это имеет место	1	2
34	даже в том случае	1	2
35	мы имеем дело с	1	2
36	во всей своей полноте	1	2
37	и по отношению к	1	2
38	природу каждой из них	1	1
39	отличием внутренней речи от	1	1
40	в отличие от ряда	1	1
41	влитые в одно слово	1	1
42	едва ли не первым	1	1
43	в этом смысле можно	1	1
44	в преобладании смысла слова	1	1
45	по одним и тем	1	1
46	что в основе его	1	1
47	как раз в том	1	1
48	не сама по себе	1	1
49	в коем случае не	2	1
50	с точки зрения логики	1	1
51	преобладании смысла слова над	1	1
52	состоит как раз в	1	1
53	бы развернуть в целую	1	1
54	пришлось бы развернуть в	1	1
55	внутренней речи от внешней	1	1
56	и в самом деле	2	1
57	развернуть в целую панораму	1	1
58	вступает в противоречие с	1	1
59	речи состоит в том	1	1
60	с другой стороны изучение	1	1
61	себя смысл предыдущих и	1	1
62	в одном и том	1	1
63	это имеет место в	1	1
64	вбирает в себя смысл	1	1
65	перевода этого значения на	1	1
66	раз в том что	1	1
67	в еще большей степени	1	1
68	последующих слов расширяя почти	1	1
69	перейдем к вопросу о	1	1
70	в себя смысл предыдущих	1	1
71	ни в коем случае	2	1
72	заключается в преобладании смысла	1	1
73	и последующих слов расширяя	1	1
74	слов влитые в одно	1	1
75	речи пришлось бы развернуть	1	1
76	и в то же	2	1
77	слова над его значением	1	1
78	в целую панораму слов	2	1
79	что в отличие от	1	1
80	язык внешней речи пришлось	1	1
81	на вопрос что такое	1	1
82	фонетической и семантической сторон	1	1
83	в русском языке обозначают	1	1
84	бы они ни были	1	1
85	безгранично рамки своего значения	1	1
86	оно состоит в том	1	1
87	расширяя почти безгранично рамки	1	1
88	и того же типа	1	1
89	в первую очередь по	1	1
90	здесь и теперь в	1	1
91	этого значения на язык	1	1
92	в одно слово смыслы	1	1
93	внешней речи пришлось бы	1	1
94	отношение человека к действительности	1	1
95	и те и другие	1	1
96	для перевода этого значения	1	1
97	предыдущих и последующих слов	1	1
98	как бы вбирает в	1	1
99	слов расширяя почти безгранично	1	1
100	так же точно и	1	1
101	во всей его сложности	1	1
102	тем не менее не	1	1
103	в самом общем виде	1	1
104	исходит из того что	1	1
105	смысл предыдущих и последующих	1	1
106	панораму слов влитые в	1	1
107	почти безгранично рамки своего	1	1
108	а по своей природе	1	1
109	значения на язык внешней	1	1
110	смысла слова над его	1	1
111	бы вбирает в себя	1	1
112	целую панораму слов влитые	1	1
