N	3gram	Vinokur_Ku	EvropaiE
1	с точки зрения	16	16
2	в то же	4	15
3	то же время	4	14
4	и в то	1	8
5	с одной стороны	2	8
6	в том что	23	6
7	так же как	3	5
8	этой точки зрения	4	5
9	для того чтобы	21	5
10	с этой точки	3	5
11	того или иного	5	4
12	той или иной	1	4
13	само по себе	6	4
14	не только в	4	4
15	то ни было	1	4
16	бы то ни	1	4
17	к настоящему моменту	1	3
18	в применении к	1	3
19	можно было бы	11	3
20	в этом смысле	8	3
21	хотя бы и	4	3
22	во всяком случае	8	3
23	можно сказать что	2	3
24	в этом отношении	8	3
25	так и в	2	2
26	но не только	1	2
27	между ними и	1	2
28	обстоит дело в	1	2
29	войны и революции	1	2
30	рано или поздно	2	2
31	и в частности	1	2
32	того что в	2	2
33	как мы видели	1	2
34	не может быть	5	2
35	на то что	3	2
36	в большинстве случаев	2	2
37	в данном случае	1	2
38	прежде всего в	1	2
39	по себе не	1	2
40	по сравнению с	1	2
41	заключается в том	2	2
42	хотя бы в	4	2
43	но было бы	1	2
44	к тому чтобы	2	2
45	только в том	5	2
46	друг от друга	1	2
47	очевидно что в	1	2
48	в свою очередь	4	2
49	с другой стороны	12	2
50	не более чем	1	2
51	вслед за тем	1	2
52	с течением времени	2	2
53	не говоря уже	2	2
54	и т д	21	1
55	было бы неправильно	1	1
56	или меньшей степени	2	1
57	хотя и не	1	1
58	по своим природным	1	1
59	в ряде случаев	2	1
60	как одно из	1	1
61	в любой из	1	1
62	в противном случае	2	1
63	но тем самым	1	1
64	мы видели в	1	1
65	что в тех	1	1
66	в том случае	3	1
67	и не только	1	1
68	такой же смысл	1	1
69	и с точки	1	1
70	в самом процессе	1	1
71	если так то	1	1
72	т е не	1	1
73	чуть ли не	3	1
74	дело в том	1	1
75	во многих других	1	1
76	смысле этого слова	2	1
77	именно с этой	1	1
78	ни на минуту	1	1
79	большей или меньшей	2	1
80	войной и революцией	1	1
81	вопрос о характере	1	1
82	на юге в	1	1
83	речь идет о	3	1
84	в лучшем случае	1	1
85	всех этих случаях	1	1
86	именно в той	1	1
87	для нас значение	1	1
88	то или иное	2	1
89	вместо того чтобы	1	1
90	к тому что	2	1
91	том смысле что	1	1
92	что в самом	1	1
93	тех или иных	1	1
94	как и всякая	1	1
95	и далее в	1	1
96	какова должна быть	1	1
97	и тем самым	1	1
98	во многих случаях	1	1
99	можно утверждать что	1	1
100	в соответствии с	5	1
101	во всех этих	1	1
102	в том смысле	2	1
103	в отличие от	3	1
104	только между прочим	1	1
105	несмотря на то	1	1
106	есть нечто абсолютно	1	1
107	ответить на этот	1	1
108	что оно не	1	1
109	это имело место	1	1
110	на минуту забывать	1	1
111	и того же	2	1
112	тех случаях когда	2	1
113	говоря уже об	1	1
114	по большей части	2	1
115	не могут быть	1	1
116	мы сказали бы	1	1
117	в каком смысле	1	1
118	дело там где	1	1
119	с тем что	1	1
120	состоит вовсе не	1	1
121	мы увидим что	2	1
122	в силу этого	1	1
123	но также и	2	1
124	что же касается	4	1
125	в европе и	2	1
126	вовсе не в	1	1
127	в связи с	4	1
128	который по природе	1	1
129	всегда в известной	1	1
130	и не в	2	1
131	том случае если	3	1
132	при прочих равных	1	1
133	тем меньше чем	2	1
134	та или иная	1	1
135	в последнее время	1	1
136	в пределах данной	1	1
137	относиться только к	1	1
138	в стороне от	1	1
139	рассматривать как одно	1	1
140	поскольку речь идет	1	1
141	в пределах которых	1	1
142	говоря уже о	1	1
143	только тогда когда	2	1
144	слова т е	1	1
145	что в этом	1	1
146	более или менее	3	1
147	чтобы ответить на	1	1
148	также и в	1	1
149	что само по	1	1
150	на этот раз	1	1
151	на этот вопрос	3	1
152	и во многих	1	1
153	это потому что	1	1
154	в большей или	2	1
155	но и для	1	1
156	в тех случаях	2	1
157	к тому же	1	1
158	также и некоторые	1	1
159	одного и того	2	1
160	а также и	1	1
161	может быть и	1	1
