N	2gram	Bakhtin_Pr	EvropaiC
1	таким образом	15	34
2	в том	12	31
3	и в	64	24
4	том что	8	20
5	все эти	13	19
6	то что	21	18
7	не может	26	18
8	может быть	43	17
9	до сих	9	15
10	все же	11	15
11	сих пор	9	15
12	точки зрения	31	14
13	в этом	33	13
14	все это	9	13
15	самом деле	10	12
16	с этим	3	12
17	между тем	7	12
18	в своем	12	12
19	по отношению	12	11
20	но и	26	11
21	отношению к	12	11
22	все что	4	10
23	мы знаем	1	10
24	не только	26	10
25	так и	8	10
26	как и	25	10
27	во всех	4	10
28	как бы	33	10
29	что в	11	9
30	при этом	8	9
31	в результате	7	9
32	не в	15	9
33	и все	6	9
34	и не	55	9
35	с другом	3	9
36	потому что	8	9
37	и что	5	9
38	на то	5	9
39	друг с	4	9
40	того же	3	9
41	в самом	17	8
42	с точки	21	8
43	чем у	2	8
44	более или	4	8
45	или менее	4	8
46	к тому	4	8
47	для того	1	8
48	если бы	12	8
49	того чтобы	2	8
50	а между	2	8
51	так же	8	8
52	идет речь	1	8
53	а и	1	8
54	из этих	3	8
55	так как	9	7
56	того что	3	7
57	что и	7	7
58	на самом	5	7
59	что он	15	7
60	не менее	3	7
61	о которых	1	7
62	о котором	1	7
63	о том	5	7
64	вместе с	1	7
65	из элементов	1	7
66	в этой	5	7
67	в сознании	3	7
68	по существу	6	7
69	для этого	3	7
70	мы можем	1	6
71	и на	16	6
72	несмотря на	7	6
73	с ним	8	6
74	при чем	3	6
75	что с	1	6
76	только в	13	6
77	тому же	2	6
78	от друга	1	6
79	в мире	7	6
80	отличается от	5	6
81	друг от	1	6
82	еще не	10	6
83	все они	2	6
84	и если	2	6
85	должна быть	8	6
86	так что	6	6
87	и при	2	6
88	к чужой	1	6
89	тогда как	1	6
90	что касается	1	6
91	как на	4	6
92	в общем	1	6
93	с другой	7	6
94	в то	15	6
95	в европе	1	6
96	у них	1	6
97	и для	7	6
98	и к	5	5
99	как к	3	5
100	а потому	2	5
101	ничем не	1	5
102	между собою	5	5
103	должно быть	8	5
104	тех кто	1	5
105	в состоянии	1	5
106	в его	30	5
107	из всех	1	5
108	что это	2	5
109	пор не	1	5
110	другой стороны	6	5
111	у него	11	5
112	его в	8	5
113	так или	1	5
114	в которой	2	5
115	но все	6	5
116	и с	9	5
117	или иначе	1	5
118	именно в	5	5
119	по своему	1	5
120	случае если	1	5
121	по сравнению	1	5
122	сравнению с	1	5
123	быть и	2	5
124	не будет	1	5
125	между двумя	1	5
126	и их	3	5
127	котором идет	1	5
128	далеко не	7	5
129	лишь в	4	5
130	так называемого	1	5
131	в себе	11	5
132	и от	3	5
133	что все	2	5
134	как будто	4	5
135	к этому	1	5
136	в целом	8	5
137	из них	3	5
138	но в	14	5
139	не так	1	4
140	социальной жизни	2	4
141	то они	2	4
142	ее и	1	4
143	та же	1	4
144	на вопрос	2	4
145	которых мы	1	4
146	сильнее чем	1	4
147	этом случае	1	4
148	хотя и	5	4
149	тем не	2	4
150	совершенно не	5	4
151	из которых	3	4
152	это есть	1	4
153	в их	6	4
154	связи с	3	4
155	одним из	7	4
156	уже существующих	1	4
157	в конце	8	4
158	в таком	3	4
159	не есть	4	4
160	не могут	10	4
161	между собой	2	4
162	и у	3	4
163	что та	1	4
164	а с	2	4
165	что мы	1	4
166	мы уже	4	4
167	ни один	3	4
168	хотя бы	4	4
169	то ни	3	4
170	в такой	1	4
171	мы должны	3	4
172	целый ряд	2	4
173	признать что	1	4
174	отношение к	4	4
175	что для	2	4
176	что как	2	4
177	том же	4	4
178	ибо в	2	4
179	в области	1	4
180	он не	14	4
181	конце концов	7	4
182	если мы	3	4
183	всех этих	2	4
184	мы сказали	3	4
185	то же	18	4
186	никогда не	11	4
187	во всем	1	3
188	бы то	3	3
189	на почве	5	3
190	от него	1	3
191	что оно	2	3
192	возможно лишь	1	3
193	данном случае	2	3
194	только что	1	3
195	и по	1	3
196	которые не	1	3
197	в начале	1	3
198	с одной	1	3
199	тогда когда	1	3
200	даже в	6	3
201	освободиться от	1	3
202	ни было	4	3
203	в нашем	2	3
204	и говорить	2	3
205	как у	1	3
206	для нас	2	3
207	прежде всего	16	3
208	у нас	3	3
209	одно из	2	3
210	же не	4	3
211	целом ряде	3	3
212	в этих	5	3
213	различия между	1	3
214	чем в	3	3
215	в нем	28	3
216	заключается в	1	3
217	слагается из	1	3
218	в жизни	5	3
219	можно назвать	1	3
220	в связи	1	3
221	по одному	1	3
222	же как	2	3
223	настоящее время	3	3
224	в истории	2	3
225	может не	1	3
226	в степени	1	3
227	вследствие этого	2	3
228	и это	8	3
229	в сторону	2	3
230	ничего общего	1	3
231	что их	1	3
232	и вообще	1	3
233	жизнь и	1	3
234	и потому	7	3
235	на этой	1	3
236	в данном	2	3
237	и других	1	3
238	развиваться в	1	3
239	отличие от	4	3
240	вопрос о	3	3
241	но даже	1	3
242	в ней	2	3
243	что если	3	3
244	если же	7	3
245	должны быть	3	3
246	с этой	2	3
247	может служить	3	3
248	это не	12	3
249	в тех	1	3
250	и до	6	3
251	конечно не	4	3
252	уже и	2	3
253	в совершенно	1	3
254	от того	4	3
255	к которой	1	3
256	каждый из	1	3
257	а в	10	3
258	а лишь	3	3
259	было бы	8	3
260	как мы	13	3
261	с современными	1	3
262	они должны	1	3
263	даже если	1	3
264	мы будем	2	3
265	образом в	1	3
266	но не	12	3
267	в эти	1	3
268	таким же	3	3
269	бы в	7	3
270	в настоящее	3	3
271	не надо	1	3
272	одного и	1	3
273	тот же	2	3
274	и наконец	7	3
275	не то	1	3
276	все в	3	2
277	с которыми	1	2
278	что за	1	2
279	от нее	2	2
280	и весь	1	2
281	надо понимать	1	2
282	лишь тогда	1	2
283	что они	1	2
284	только не	2	2
285	во втором	1	2
286	образом и	4	2
287	но на	3	2
288	все его	3	2
289	к другу	1	2
290	что у	2	2
291	мы и	2	2
292	друг к	1	2
293	как две	1	2
294	то есть	3	2
295	то в	2	2
296	он тоже	3	2
297	на том	2	2
298	для себя	3	2
299	из таких	1	2
300	для него	23	2
301	следует что	1	2
302	тем как	5	2
303	те же	3	2
304	а затем	1	2
305	то и	3	2
306	него в	5	2
307	но как	4	2
308	как разные	1	2
309	разобраться в	2	2
310	не от	1	2
311	в виду	3	2
312	этими двумя	1	2
313	том и	2	2
314	иной чем	1	2
315	но с	4	2
316	в своих	4	2
317	не было	5	2
318	не потому	2	2
319	все то	5	2
320	не знает	6	2
321	и сам	6	2
322	из нее	1	2
323	на нее	1	2
324	и там	1	2
325	наконец не	1	2
326	теперь мы	1	2
327	вовсе не	12	2
328	что такой	1	2
329	такой же	4	2
330	но для	3	2
331	в один	2	2
332	при том	1	2
333	жизни и	3	2
334	то время	2	2
335	в процессе	6	2
336	чтобы быть	1	2
337	между этими	1	2
338	тому что	3	2
339	эти черты	1	2
340	я не	6	2
341	между ними	6	2
342	как не	9	2
