N	3gram	Bakhtin_Fr	Freidism
1	с точки зрения	4	15
2	не может быть	2	14
3	по отношению к	2	11
4	в том что	2	9
5	как мы видели	4	8
6	во всяком случае	2	8
7	и прежде всего	3	7
8	в то же	13	6
9	мы знаем что	1	6
10	в высшей степени	1	6
11	то же время	13	6
12	может быть и	2	6
13	в большинстве случаев	3	5
14	с самого начала	1	5
15	можно сказать что	2	5
16	как мы уже	8	5
17	в ее целом	1	4
18	в свою очередь	2	4
19	это вовсе не	2	4
20	и до конца	8	4
21	в своей основе	1	4
22	мы уже указывали	2	4
23	на самом деле	5	4
24	в данном случае	3	4
25	по ту сторону	1	4
26	на первый план	1	4
27	в этом отношении	4	4
28	в последнем счете	1	4
29	и тот же	3	3
30	все то что	2	3
31	только то что	2	3
32	но вовсе не	1	3
33	для того чтобы	5	3
34	о том что	3	3
35	один и тот	3	3
36	в собственном смысле	1	3
37	до сих пор	6	3
38	и той же	2	3
39	во всех своих	1	3
40	бы то ни	1	3
41	так и в	1	3
42	не найдем в	1	3
43	мы видели что	1	3
44	узком смысле слова	2	3
45	одной и той	2	3
46	но в то	7	3
47	нам уже приходилось	1	3
48	в конечном счете	1	3
49	нет и не	1	3
50	и не может	1	3
51	это как бы	1	2
52	все же остальное	1	2
53	в применении к	1	2
54	заключается в том	1	2
55	в чем же	1	2
56	хотя бы и	1	2
57	его отношение к	2	2
58	вовсе не в	2	2
59	в конце концов	3	2
60	с помощью которого	1	2
61	может быть отнесено	1	2
62	в таких случаях	1	2
63	в узком смысле	2	2
64	и все его	1	2
65	раз и не	1	2
66	что и в	1	2
67	в отличие от	3	2
68	таким образом в	1	2
69	то ни было	1	2
70	самом же деле	1	2
71	это и есть	2	2
72	в другом месте	1	2
73	на самом же	1	2
74	с одной стороны	4	2
75	не дает нам	2	2
76	в его целом	3	2
77	это прежде всего	1	2
78	как раз и	1	2
79	смысл и значение	1	2
80	а также и	4	2
81	в этом случае	1	1
82	это как мы	1	1
83	в вопросе о	1	1
84	сих пор не	1	1
85	но и не	1	1
86	к нему и	1	1
87	своей силы и	1	1
88	она похожа на	1	1
89	на протяжении трех	1	1
90	как будто бы	1	1
91	и др в	1	1
92	той или иной	2	1
93	но прежде всего	1	1
94	речи так как	1	1
95	еще не исчерпывается	1	1
96	и в данном	1	1
97	вполне понятно что	3	1
98	к смерти и	1	1
99	и с его	2	1
100	в направлении к	1	1
101	лежит на границе	1	1
102	упомянем еще о	1	1
103	до известной степени	1	1
104	конечном счете всегда	1	1
105	то что он	1	1
106	в самую гущу	1	1
107	но и в	4	1
108	и некоторых других	1	1
109	как мы знаем	2	1
110	но в более	1	1
111	только в его	1	1
112	себя самих и	1	1
113	отражает в себе	1	1
114	по сравнению с	2	1
115	его таким образом	1	1
116	большую роль в	1	1
117	имеется в виду	1	1
118	они и не	1	1
119	помощью которого они	1	1
120	не теряет своей	1	1
121	смысле слова мы	1	1
122	и его школы	1	1
123	имеем в виду	2	1
124	однако и здесь	1	1
125	и в отношении	1	1
126	то что может	1	1
127	рядом с ним	1	1
128	во всех отношениях	1	1
129	может быть понято	1	1
130	в том же	3	1
131	он и не	1	1
132	из основных особенностей	1	1
133	в коем случае	1	1
134	и не было	2	1
135	в свое время	1	1
136	миром где все	1	1
137	только в пределах	1	1
138	они не могут	1	1
139	уже приходилось упоминать	1	1
140	в то время	1	1
141	и значение в	1	1
142	там же где	1	1
143	же время это	3	1
144	но даже и	2	1
145	там где нет	1	1
146	все же не	1	1
147	или же к	1	1
148	нельзя не согласиться	1	1
149	со всех сторон	1	1
150	данном случае в	1	1
151	и тело и	1	1
152	которая могла бы	1	1
153	в одной из	1	1
154	именно в этой	1	1
155	он остается в	2	1
156	очень далеки от	2	1
157	в особенности в	1	1
158	те же самые	2	1
159	не что иное	1	1
160	о которой мы	1	1
161	одно из них	1	1
162	дело в том	2	1
163	очень большую роль	1	1
164	в эту эпоху	2	1
165	как и все	5	1
166	какое же значение	1	1
167	ни в коем	1	1
168	и в дальнейшем	1	1
169	таким образом что	1	1
170	как мы видим	2	1
171	посвящена следующая глава	1	1
172	имея в виду	1	1
173	мы не знаем	1	1
174	но для этого	1	1
175	уже и в	2	1
176	каждого из этих	1	1
177	смысле этого слова	2	1
178	более скрытой форме	1	1
179	мы все время	1	1
180	но как раз	2	1
181	во всех этих	1	1
182	том что в	1	1
183	он связан с	2	1
184	все эти три	2	1
185	всяком случае в	1	1
186	что между ними	1	1
187	теряет своей силы	1	1
188	и в то	2	1
189	внешнего и внутреннего	1	1
190	продолжает жить и	1	1
191	конечно и не	1	1
192	сказать несколько слов	1	1
193	так и по	2	1
194	в совершенно иную	1	1
195	и культурной жизни	2	1
196	не без влияния	1	1
197	есть не что	1	1
198	так как его	1	1
199	как раз наиболее	1	1
200	так как в	1	1
201	и со стороны	1	1
202	приходилось упоминать о	1	1
203	и др и	1	1
204	мы говорили выше	1	1
205	во второй половине	1	1
206	такой точки зрения	1	1
207	части тела и	1	1
208	что иное как	1	1
209	не нуждается в	1	1
210	что это не	1	1
211	но все же	2	1
212	как это делает	1	1
213	в нем и	1	1
214	всех этих явлений	1	1
215	мы имеем в	2	1
216	непосредственно связано с	1	1
217	точки зрения на	1	1
218	или во всяком	1	1
219	этого не делает	1	1
220	между тем как	1	1
221	таким образом и	2	1
222	оно может быть	1	1
223	и при анализе	1	1
224	говорит об этом	2	1
225	между ними уже	1	1
226	и следовательно в	1	1
227	во всех сферах	1	1
228	можно было бы	2	1
229	свой смысл и	1	1
230	в основе своей	1	1
231	прежде всего на	1	1
232	и потому не	1	1
233	мы уже сказали	2	1
234	начала и до	7	1
235	в настоящее время	2	1
236	несколько слов о	1	1
237	раз и навсегда	1	1
238	шире и глубже	4	1
