1	до сих пор не	3	5
2	в том случае если	1	4
3	одного и того же	1	3
4	о которых идет речь	1	3
5	бы то ни было	7	3
6	несмотря на то что	1	2
7	но вместе с тем	1	2
8	в то же время	16	2
9	как бы то ни	3	2
10	и в конце концов	1	1
11	с оружием в руках	1	1
12	новые вопросы является ли	1	1
13	то что у него	1	1
14	в том что они	1	1
15	и в голову не	1	1
16	не говоря уже о	6	1
17	состоит в том что	2	1
18	тем не менее в	1	1
19	о том что он	1	1
20	так как все они	1	1
21	из этих элементов и	1	1
22	никому и в голову	1	1
23	до сих пор еще	1	1
24	мало или вовсе не	1	1
25	таким же образом как	1	1
26	на то обстоятельство что	1	1
27	в тех случаях когда	2	1
28	представление о том что	1	1
29	для того чтобы проверить	1	1
30	в том числе и	3	1
31	в том что он	4	1
32	одному и тому же	2	1
33	в этой области не	1	1
34	в конце концов в	1	1
35	в то время как	9	1
36	в целом ряде случаев	1	1
37	то же самое что	1	1
38	и до сих пор	1	1
39	только в том случае	1	1
40	в том виде как	1	1
41	с этой точки зрения	2	1
42	до сих пор на	1	1
