N	3gram	Vinokur_St	OGranits
1	с точки зрения	10	5
2	не может быть	5	4
3	одно и то	1	3
4	по отношению к	3	3
5	в том что	29	2
6	ничего общего с	3	2
7	того или иного	4	2
8	вопросы связанные с	2	2
9	в зависимости от	2	2
10	в данном случае	7	2
11	и то же	1	2
12	в самом деле	7	2
13	в г в	4	2
14	в пределах данной	1	2
15	с одной стороны	2	2
16	с другой стороны	8	2
17	с самого начала	3	2
18	случае и в	1	1
19	само собой разумеется	1	1
20	в узком смысле	1	1
21	на самом деле	7	1
22	здесь и там	1	1
23	существует лишь в	1	1
24	чуть ли не	2	1
25	иметь в виду	2	1
26	нужно отметить еще	1	1
27	но в то	2	1
28	если бы мы	2	1
29	так же как	5	1
30	на то что	5	1
31	для того чтобы	13	1
32	только потому что	2	1
33	быть и речи	1	1
34	том что в	4	1
35	она ни была	1	1
36	в каждом отдельном	1	1
37	истории литературы такой	1	1
38	и никогда не	1	1
39	как о системе	1	1
40	в чем же	1	1
41	в которых он	1	1
42	собой разумеется что	1	1
43	хотя бы несколько	1	1
44	хотя бы в	1	1
45	выйти за пределы	1	1
46	то или иное	3	1
47	что в этом	1	1
48	в другом месте	1	1
49	должно было бы	1	1
50	в отличие от	1	1
51	но одно дело	1	1
52	этот разрыв между	1	1
53	нужно сказать что	5	1
54	ту или иную	1	1
55	само собою разумеется	2	1
56	как и в	2	1
57	то что в	3	1
58	а вовсе не	1	1
59	к тому что	4	1
60	что ведь и	1	1
61	тем не менее	4	1
62	только то что	1	1
63	но столь же	2	1
64	стр и в	1	1
65	во всей полноте	1	1
66	в предисловии к	2	1
67	в этом отношении	13	1
68	в своей статье	4	1
69	то же время	5	1
70	более или менее	2	1
71	в то же	5	1
72	в виду что	1	1
73	и в области	5	1
74	там где нет	1	1
75	можно было бы	8	1
76	те или иные	1	1
77	но не менее	1	1
78	и вместе с	1	1
79	каждом отдельном случае	1	1
80	и не может	1	1
81	потому что они	1	1
82	а также и	2	1
83	собою разумеется что	2	1
84	может быть и	2	1
