N	3gram	Vinokur_Ku	KFilosof
1	по отношению к	8	22
2	не может быть	5	11
3	с точки зрения	16	10
4	может быть только	2	7
5	в ее целом	1	3
6	того или иного	5	3
7	но и здесь	1	3
8	в этом смысле	8	3
9	в данный момент	2	3
10	на самом деле	3	3
11	между тем как	1	3
12	в том что	23	2
13	той или иной	1	2
14	со стороны ее	1	2
15	ни в каком	2	2
16	и может быть	1	2
17	то или иное	2	2
18	имеем в виду	1	2
19	мы говорим о	3	2
20	тем не менее	9	2
21	бы и не	1	2
22	в то же	4	2
23	уже не может	3	2
24	вовсе не есть	1	2
25	в соответствии с	5	2
26	во всех этих	1	2
27	то ни было	1	2
28	на своем месте	1	2
29	в целом и	2	2
30	бы то ни	1	2
31	то же время	4	2
32	себя и для	1	1
33	как одно из	1	1
34	никто конечно не	1	1
35	но можно ли	1	1
36	в его превосходной	1	1
37	данный момент в	1	1
38	не должно быть	1	1
39	в свою очередь	4	1
40	и тем не	4	1
41	имеет дело лишь	1	1
42	это не значит	1	1
43	а не просто	1	1
44	но прежде всего	1	1
45	вместе с тем	3	1
46	образом то что	1	1
47	самого по себе	1	1
48	в конечном счете	2	1
49	они имеют смысл	1	1
50	во всяком случае	8	1
51	на то что	3	1
52	он должен быть	2	1
53	в большинстве случаев	2	1
54	не только от	1	1
55	позицию по отношению	1	1
56	только в его	1	1
57	в том смысле	2	1
58	на том что	1	1
59	не в этом	1	1
60	но как и	1	1
61	это не имеет	1	1
62	не значит еще	1	1
63	это уже не	1	1
64	дело лишь с	1	1
65	и не потому	1	1
66	хотя бы и	4	1
67	еще не решает	1	1
68	дело не в	3	1
69	в том случае	3	1
70	и не в	2	1
71	за собой и	1	1
72	для себя и	1	1
73	а следовательно и	2	1
74	для того чтобы	21	1
75	сводится к следующему	1	1
76	и мы получим	1	1
77	тем что я	1	1
78	только в том	5	1
79	не значит что	1	1
80	когда мы говорим	1	1
81	в каких бы	1	1
82	уже не в	1	1
83	можно и должно	1	1
84	не в том	5	1
85	но для того	1	1
86	в настоящее время	2	1
87	всю свою жизнь	1	1
88	и пр и	2	1
89	если бы я	1	1
90	одного и того	2	1
91	несмотря на то	1	1
92	или иного индивидуума	1	1
93	в противном случае	2	1
94	все это только	1	1
95	до сих пор	5	1
96	к настоящему моменту	1	1
97	не потому что	4	1
98	а только в	2	1
99	того что в	2	1
100	не для того	1	1
101	в первом случае	1	1
102	дело в том	1	1
103	смысле этого слова	2	1
104	жизни в его	1	1
105	мы имеем здесь	1	1
106	в лучшем случае	1	1
107	всех этих случаях	1	1
108	но может быть	1	1
109	его превосходной книге	1	1
110	вместо того чтобы	1	1
111	само по себе	6	1
112	и тем самым	1	1
113	и в то	1	1
114	в его собственном	1	1
115	в себя много	1	1
116	но во всяком	1	1
117	и то что	1	1
118	все это можно	1	1
119	тем или иным	1	1
120	в зависимости от	7	1
121	и того же	2	1
122	каких бы условиях	1	1
123	том что мы	1	1
124	смысл лишь в	2	1
125	она и может	1	1
126	тогда когда он	2	1
127	я позволю себе	2	1
128	и развивается как	1	1
129	и все же	1	1
130	до того что	1	1
131	вследствие того что	2	1
132	отсюда следует что	2	1
133	и говорить о	1	1
134	к тому что	2	1
135	но все это	1	1
136	влечет за собой	1	1
137	притом не только	1	1
138	и в его	1	1
139	на этом пути	1	1
140	все это в	1	1
141	отнюдь не следует	1	1
142	даже для самого	1	1
143	в этом последнем	1	1
144	не может возникнуть	1	1
145	только тогда когда	2	1
146	но это не	1	1
147	что и в	1	1
148	связанная с ним	1	1
149	до конца и	1	1
150	связанных с ними	1	1
151	и не должен	1	1
152	свой смысл и	1	1
153	в другом случае	1	1
154	может быть противопоставлен	1	1
155	может быть и	1	1
