N	2gram	Tiupa_Hudo	Morfolog
1	может быть	19	61
2	и пр	1	45
3	таким образом	3	26
4	действующих лиц	1	22
5	могут быть	5	21
6	так как	1	20
7	мы имеем	6	19
8	не может	9	19
9	в этом	12	18
10	в этих	4	17
11	представляет собой	11	17
12	и в	23	17
13	представляют собой	1	16
14	и не	16	16
15	мы видим	1	15
16	этих случаях	1	15
17	перед нами	1	14
18	с этим	1	14
19	прежде всего	5	14
20	связи с	3	12
21	и др	2	12
22	а не	13	11
23	чаще всего	1	11
24	что в	7	10
25	то же	12	10
26	а затем	2	10
27	не всегда	2	10
28	но если	1	10
29	этом случае	1	10
30	в том	20	10
31	так и	12	10
32	что и	2	10
33	в связи	3	10
34	то что	5	10
35	все же	1	9
36	с другой	9	9
37	но и	14	9
38	не только	20	8
39	в результате	1	8
40	имеем в	3	8
41	в качестве	31	8
42	но не	13	8
43	а в	13	8
44	как мы	1	8
45	во втором	4	7
46	один из	2	7
47	и здесь	1	7
48	если в	1	7
49	не могут	1	7
50	не менее	5	7
51	том что	9	7
52	потому что	3	7
53	по отношению	10	7
54	в лес	1	7
55	точки зрения	11	7
56	как это	7	7
57	тем не	3	7
58	или же	1	7
59	а также	6	7
60	отношению к	10	7
61	и другие	2	6
62	подобно тому	3	6
63	о том	2	6
64	как бы	11	6
65	не все	2	6
66	это не	4	6
67	с точки	3	6
68	в нашем	2	6
69	или в	2	6
70	и как	4	6
71	вовсе не	2	6
72	во всех	3	6
73	если мы	2	6
74	также и	1	6
75	в форме	4	6
76	героя в	1	5
77	из которых	2	5
78	другой стороны	6	5
79	в первом	1	5
80	вслед за	2	5
81	начинается с	1	5
82	что он	5	5
83	как в	2	5
84	со стороны	5	5
85	было бы	1	5
86	к тому	4	5
87	что они	1	5
88	хотя и	4	5
89	тому что	2	5
90	все эти	2	5
91	одна из	2	5
92	между собой	2	5
93	в поле	1	5
94	на его	1	5
95	об этом	2	5
96	тому как	3	5
97	между тем	4	5
98	он не	4	5
99	далеко не	4	5
100	в ходе	5	5
101	в целом	3	5
102	и ее	3	5
103	и к	3	4
104	на этом	2	4
105	как и	3	4
106	самом деле	2	4
107	тем что	1	4
108	никто не	3	4
109	уже не	6	4
110	еще не	4	4
111	не является	5	4
112	тех же	1	4
113	входит в	4	4
114	того чтобы	5	4
115	быть названо	2	4
116	говорить о	4	4
117	так же	2	4
118	и наоборот	2	4
119	сказать что	4	4
120	на котором	2	4
121	и для	3	4
122	из них	1	4
123	но в	10	4
124	несмотря на	2	4
