N	3gram	Losev_Vlad	VelikijI
1	за то что	2	3
2	в первый раз	1	3
3	к тому что	1	3
4	и т д	3	2
5	в том что	13	2
6	том что он	4	2
7	то что я	1	2
8	того что он	1	1
9	так и в	1	1
10	во что бы	1	1
11	что бы то	1	1
12	с богом и	1	1
13	в том заключается	1	1
14	жил и в	1	1
15	и хотя и	1	1
16	в конце концов	6	1
17	от него в	1	1
18	понимает и не	1	1
19	не понимает и	1	1
20	вместе с тем	2	1
21	и во всяком	1	1
22	и вместе с	1	1
23	да и то	1	1
24	потому что их	1	1
25	может быть этот	1	1
26	и никогда не	1	1
27	вот в чем	1	1
28	что я не	1	1
29	и мы все	1	1
30	и теперь в	1	1
31	есть и великая	1	1
32	людей но и	1	1
33	и что в	1	1
34	в русском самодержавии	1	1
35	по крайней мере	1	1
36	что все в	1	1
37	в жизни и	1	1
38	все равно не	1	1
39	но все же	1	1
40	с другой стороны	3	1
41	отношение к богу	1	1
42	хотя бы от	1	1
43	и все это	1	1
44	в тот день	1	1
45	его личности и	1	1
46	бы то ни	2	1
47	раз и навсегда	2	1
48	и вообще в	3	1
49	после того как	2	1
50	русском самодержавии и	1	1
51	и в этом	1	1
52	что он был	1	1
53	то ни стало	1	1
