N	4gram	Tiupa_Hudo	Hudozhes
1	в то же время	11	7
2	состоит в том что	3	4
3	в том числе и	1	2
4	и в самом деле	4	2
5	в том что он	1	2
6	приводит к тому что	2	2
7	с этой точки зрения	1	2
8	в том и состоит	1	2
9	и в то же	2	2
10	на ее полные розовые	1	1
11	нами не как объекты	1	1
12	себя в другом и	1	1
13	специфически человеческий способ существования	1	1
14	глядя на ее полные	1	1
15	роли в миропорядке то	1	1
16	вступает в противоречие с	1	1
17	том что он не	1	1
18	тихая добродушная жалостливая барышня	1	1
19	в строгом нерасширительном значении	1	1
20	мягкую белую шею с	1	1
21	предстают перед нами не	1	1
22	заключается в том что	1	1
23	мягким взглядом очень здоровая	1	1
24	том и состоит что	1	1
25	для себя а для	1	1
26	барышня с кротким мягким	1	1
27	в том что она	1	1
28	была тихая добродушная жалостливая	1	1
29	на мягкую белую шею	1	1
30	и по отношению к	1	1
31	с темной родинкой и	1	1
32	полные розовые щеки на	1	1
33	кротким мягким взглядом очень	1	1
34	ту или иную концепцию	1	1
35	как раз в том	1	1
36	щеки на мягкую белую	1	1
37	с одной стороны и	1	1
38	с самим собою в	1	1
39	в том случае если	2	1
40	это была тихая добродушная	1	1
41	таков что душевная характеристика	1	1
42	как субъекты этического выбора	1	1
43	белую шею с темной	1	1
44	жалостливая барышня с кротким	1	1
45	перед нами не как	1	1
46	ее полные розовые щеки	1	1
47	не несет в себе	1	1
48	раз в том что	1	1
49	иронии в рассказе душечка	1	1
50	с кротким мягким взглядом	1	1
51	но как субъекты этического	1	1
52	и несет в себе	1	1
53	состоит как раз в	1	1
54	дамы с собачкой и	1	1
55	но в то же	3	1
56	определений таков что душевная	1	1
57	шею с темной родинкой	1	1
58	факторов художественного впечатления бахтин	1	1
59	розовые щеки на мягкую	1	1
60	мы имеем дело с	1	1
61	в связи с этим	2	1
62	и состоит что он	1	1
63	так и не наступает	1	1
64	еще и потому что	1	1
65	не для себя а	1	1
66	добродушная жалостливая барышня с	1	1
67	точно так же как	1	1
68	уходит своими корнями в	1	1
