N	3gram	Tiupa_Hudo	Tvorches
1	в то же	11	25
2	то же время	11	24
3	и т д	5	17
4	м м бахтин	2	12
5	в том что	15	11
6	по нашему мнению	1	10
7	в соответствии с	1	8
8	о том что	14	8
9	и в то	2	7
10	по сути дела	2	7
11	в конечном счете	4	6
12	не может быть	5	6
13	но в то	3	6
14	и т п	10	5
15	в самом деле	5	5
16	по отношению к	15	5
17	м м бахтина	1	5
18	в русской литературе	3	5
19	на наш взгляд	6	4
20	до сих пор	3	4
21	с точки зрения	5	4
22	в одной из	1	4
23	дело в том	1	4
24	с самого начала	1	4
25	это прежде всего	2	4
26	в таком случае	1	3
27	сами по себе	1	3
28	точно так же	1	3
29	том что в	4	3
30	в отличие от	1	3
31	во всяком случае	1	3
32	как и в	5	3
33	едва ли не	1	3
34	с другой стороны	1	3
35	в этой связи	5	3
36	и все же	1	3
37	что он не	3	2
38	в данном случае	3	2
39	заключает в себе	1	2
40	для того чтобы	2	2
41	в том числе	1	2
42	тем не менее	6	2
43	у него в	1	2
44	что у него	2	2
45	так и в	1	2
46	не имеют для	1	2
47	но при этом	3	2
48	и в конце	1	2
49	не потому что	1	2
50	л н толстого	4	2
51	в конце концов	1	2
52	потому что он	1	2
53	не сводится к	1	2
54	одной из форм	1	2
55	том числе и	1	2
56	и в самом	4	2
57	та же самая	1	2
58	с его лица	1	2
59	при этом он	1	2
60	в высшей степени	1	2
61	в известном смысле	1	2
62	в связи с	3	2
63	в одном из	1	2
64	в свою очередь	1	2
65	не только для	2	2
66	человека и его	1	2
67	заключается в том	1	2
68	в античной трагедии	1	2
69	можно сказать что	1	2
70	и та же	1	2
71	все же не	2	2
72	на самом деле	1	2
73	о свободе воли	1	2
74	не означает что	1	2
75	именно в этом	1	2
76	содержит в себе	2	2
77	так же как	2	2
78	это уже не	1	2
79	не только в	4	2
80	и с тургенева	3	2
81	в первую очередь	2	2
82	и что в	1	2
83	мы узнаем что	2	2
84	мы уже говорили	1	2
85	нет и не	1	2
86	лишь в том	1	1
87	в этой главе	1	1
88	тогда как в	1	1
89	если можно так	1	1
90	в литературе в	1	1
91	в этот момент	1	1
92	на него с	1	1
93	н а лейкин	1	1
94	в письме к	1	1
95	хотя быть может	1	1
96	как будто бы	3	1
97	человека в мире	1	1
98	же самое время	1	1
99	по себе а	1	1
100	ли не с	1	1
101	о том как	4	1
102	человека в его	1	1
103	дело не только	2	1
104	этом источник трагизма	1	1
105	ни на шаг	1	1
106	об этом см	1	1
107	к концу xix	1	1
108	сразу же после	1	1
109	д с лихачева	1	1
110	о жизни как	1	1
111	потому что это	1	1
112	он вовсе не	1	1
113	ничего не делает	1	1
114	в ответ на	1	1
115	один ряд с	1	1
116	в художественном мире	2	1
117	при этом что	1	1
118	то или иное	1	1
119	в первый раз	1	1
120	хотя бы и	1	1
121	в частности с	1	1
122	так и от	2	1
123	предлагаемая вниманию читателя	1	1
124	мысли и чувства	1	1
125	думать о том	1	1
126	с с аверинцев	1	1
127	мы знаем что	1	1
128	с самим собой	1	1
129	именно потому что	1	1
