N	2gram	Potebnia_M	Analitik
1	не только	32	71
2	тогда как	8	67
3	и в	48	66
4	но и	30	57
5	в том	47	52
6	может быть	46	52
7	в этом	19	51
8	как и	22	50
9	и не	28	48
10	а не	22	42
11	при этом	6	40
12	том что	28	40
13	то есть	53	35
14	так и	17	35
15	в мире	3	31
16	своего рода	1	30
17	состоит в	1	30
18	как бы	10	29
19	не может	18	29
20	а в	14	28
21	в его	6	27
22	и его	4	27
23	не в	24	26
24	но не	8	26
25	в себе	26	24
26	что в	30	22
27	и даже	3	22
28	к тому	9	22
29	в этой	3	22
30	лишь в	2	21
31	о том	7	20
32	и т.п	1	20
33	я в	1	20
34	в самом	11	19
35	то же	35	19
36	в своей	2	19
37	по отношению	12	19
38	с его	1	19
39	но в	8	19
40	в данном	3	18
41	в то	16	18
42	отношению к	10	18
43	тем самым	11	17
44	с другой	8	17
45	только в	29	17
46	со стороны	4	17
47	в целом	5	17
48	что и	16	16
49	могут быть	6	16
50	то что	37	16
51	в пределах	1	16
52	и на	5	15
53	не есть	24	15
54	между тем	19	15
55	уже не	11	15
56	прежде всего	6	15
57	в сущности	3	15
58	в их	2	15
59	не менее	9	14
60	того же	5	14
61	себя в	1	14
62	я и	3	14
63	в себя	1	14
64	же время	8	14
65	данном случае	3	14
66	столь же	8	14
67	отличие от	2	14
68	далеко не	5	14
69	по себе	26	13
70	точки зрения	4	13
71	тому же	1	13
72	он не	4	13
73	этого слова	14	13
74	ничего не	1	13
75	для него	14	13
76	а также	1	13
77	в начале	3	13
78	и к	5	12
79	и сам	1	12
80	никогда не	2	12
81	внутренней речи	1	12
82	как это	1	12
83	в первой	1	12
84	сводится к	1	12
85	как в	17	12
86	еще не	9	12
87	есть не	9	12
88	в той	2	11
89	даже в	3	11
90	наш взгляд	1	11
91	на наш	2	11
92	в свою	6	11
93	той же	6	11
94	в сочетании	1	11
95	это не	2	11
96	можно сказать	4	11
97	и как	8	11
98	во второй	1	11
99	не с	4	11
100	не следует	6	11
101	именно в	5	10
102	все же	3	10
103	едва ли	1	10
104	с одной	8	10
105	в произведении	4	10
106	было бы	16	10
107	однако в	1	10
108	подобно тому	3	10
109	отношения к	2	10
110	здесь не	1	10
111	со своей	2	10
112	особенно в	1	10
113	один из	7	10
114	говорить о	6	9
115	не столько	2	9
116	в результате	1	9
117	другой стороны	4	9
118	и того	2	9
119	одной стороны	4	9
120	свою очередь	6	9
121	том чтобы	4	9
122	в своем	6	9
123	по поводу	8	9
124	крайней мере	8	9
125	таким образом	24	9
126	во всех	1	9
127	за пределы	2	9
128	только не	5	9
129	значении этого	1	9
130	вместе с	22	9
131	по крайней	8	9
132	тому как	6	9
133	того что	24	9
134	что касается	1	9
135	не всегда	5	8
136	между двумя	5	8
137	я с	1	8
138	одной из	3	8
139	с ним	10	8
140	нашего времени	2	8
