N	4gram	Ircho_Kome	Morfolog
1	в связи с этим	1	4
2	состоит в том что	1	3
3	в то время как	6	3
4	в том случае если	1	2
5	бы то ни было	4	2
6	в тех случаях когда	1	2
7	не что иное как	1	2
8	как бы то ни	1	1
9	с этой точки зрения	1	1
10	в том что он	4	1
11	может быть сопоставлен с	1	1
12	одна из них не	1	1
13	ли можно сомневаться в	2	1
14	а в другом случае	1	1
15	сомневаться в том что	2	1
16	в то же время	5	1
17	во всех других случаях	1	1
18	только в том случае	1	1
19	до сих пор не	1	1
20	можно сомневаться в том	2	1
21	и т д все	1	1
22	в качестве примера он	1	1
23	ни в коем случае	1	1
