N	2gram	Propp_Isto	EvropaiC
1	таким образом	21	34
2	в том	13	31
3	и в	44	24
4	том что	12	20
5	все эти	11	19
6	то что	16	18
7	не может	10	18
8	может быть	31	17
9	до сих	7	15
10	все же	17	15
11	сих пор	7	15
12	точки зрения	3	14
13	в этом	20	13
14	все это	4	13
15	самом деле	2	12
16	с этим	7	12
17	между тем	1	12
18	в своем	3	12
19	по отношению	2	11
20	но и	16	11
21	отношению к	2	11
22	все что	5	10
23	мы знаем	12	10
24	не только	17	10
25	так и	9	10
26	как и	12	10
27	во всех	3	10
28	из себя	4	10
29	как бы	4	10
30	что в	18	9
31	при этом	4	9
32	в результате	1	9
33	не в	11	9
34	и все	4	9
35	и не	19	9
36	с другом	2	9
37	потому что	18	9
38	и что	13	9
39	на то	3	9
40	друг с	2	9
41	того же	3	9
42	в самом	1	8
43	у народа	1	8
44	с точки	1	8
45	ясно что	5	8
46	к тому	1	8
47	для того	3	8
48	если бы	5	8
49	того чтобы	3	8
50	так же	14	8
51	знаем что	10	8
52	идет речь	1	8
53	а и	1	8
54	из этих	5	8
55	так как	19	7
56	что при	5	7
57	того что	3	7
58	приобщение к	1	7
59	что и	11	7
60	на самом	1	7
61	что он	29	7
62	не менее	6	7
63	о которых	4	7
64	о котором	1	7
65	из этого	3	7
66	о том	11	7
67	вместе с	26	7
68	по своей	1	7
69	в этой	5	7
70	в сознании	1	7
71	в силу	7	7
72	по существу	2	7
73	для этого	3	7
74	мы можем	6	6
75	и на	11	6
76	несмотря на	3	6
77	с ним	9	6
78	что с	2	6
79	только в	8	6
80	в мире	1	6
81	еще не	16	6
82	все они	1	6
83	и если	1	6
84	должна быть	3	6
85	так что	2	6
86	народов и	1	6
87	и при	3	6
88	тогда как	1	6
89	что касается	2	6
90	как на	3	6
91	с другой	11	6
92	в то	5	6
93	в европе	3	6
94	у них	2	6
95	и для	3	6
96	этих народов	2	5
97	и к	3	5
98	как к	1	5
99	тех кто	1	5
100	в состоянии	1	5
101	в его	16	5
102	что это	8	5
103	пор не	1	5
104	другой стороны	10	5
105	у него	7	5
106	его в	17	5
107	в которой	4	5
108	но все	8	5
109	и с	8	5
110	или иначе	1	5
111	по своему	1	5
112	на все	2	5
113	случае если	1	5
114	по сравнению	1	5
115	сравнению с	1	5
116	других народов	1	5
117	быть и	1	5
118	не будет	1	5
119	между двумя	7	5
120	оказывается что	2	5
