N	3gram	Vygotskiy_	SlovoVZh
1	по отношению к	19	11
2	в нашем примере	2	7
3	не может быть	4	7
4	можно сказать что	7	5
5	в том что	33	4
6	и по отношению	1	3
7	то ни было	1	3
8	до сих пор	3	3
9	этой точки зрения	7	3
10	бы то ни	1	3
11	имеет в виду	1	3
12	тем не менее	1	3
13	и не может	3	3
14	находит свое выражение	1	2
15	в каком отношении	1	2
16	это не так	1	2
17	имеем в виду	1	2
18	ни на один	1	2
19	на самом деле	3	2
20	в какой степени	2	2
21	одной стороны и	2	2
22	то же самое	7	2
23	одно и то	1	2
24	в данном случае	3	2
25	мы никогда не	1	2
26	в зависимости от	2	2
27	отношение к предмету	1	2
28	с одной стороны	10	2
29	с другой стороны	8	2
30	вторая точка зрения	2	2
31	и то же	1	2
32	с точки зрения	12	2
33	в настоящее время	2	2
34	в такой же	3	2
35	следствием того что	1	1
36	сам по себе	1	1
37	является то что	3	1
38	сами по себе	1	1
39	и таким образом	1	1
40	и следовательно включает	1	1
41	о том что	7	1
42	включает в себя	2	1
43	на передний план	1	1
44	в самом деле	6	1
45	один и тот	5	1
46	если мы обратимся	1	1
47	но то же	1	1
48	является для него	1	1
49	случае мы имеем	1	1
50	имеет дело с	1	1
51	на один шаг	1	1
52	в том и	1	1
53	и самое слово	1	1
54	как например в	1	1
55	все более и	3	1
56	таким образом мы	2	1
57	в высшей степени	3	1
58	в свою очередь	4	1
59	и связи с	1	1
60	ничего общего с	3	1
61	не менее эта	1	1
62	и тот же	5	1
63	и в частности	3	1
64	что не только	1	1
65	что мы имеем	1	1
66	как мы уже	2	1
67	может быть понято	2	1
68	сама по себе	4	1
69	он имеет в	1	1
70	в том же	1	1
71	наметить хотя бы	1	1
72	ни были не	1	1
73	речи так как	1	1
74	во всяком случае	2	1
75	здесь имеет место	1	1
76	имеем дело с	1	1
77	как уже сказано	3	1
78	в лучшем случае	3	1
79	связи с ним	1	1
80	только в результате	1	1
81	равно как и	1	1
82	в этом направлении	1	1
83	это на примере	1	1
84	только то что	2	1
85	подобно тому как	6	1
86	мы увидим что	1	1
87	с самого начала	8	1
88	с помощью которой	1	1
89	первая точка зрения	1	1
90	же как и	2	1
91	точки зрения является	1	1
92	то что я	1	1
93	он не должен	1	1
94	по аналогии с	2	1
95	с ним в	1	1
96	допустим что мы	1	1
97	можно было бы	8	1
98	в этом отношении	7	1
99	он еще не	1	1
100	так же как	9	1
101	на другие области	1	1
102	если бы оно	3	1
103	к нему в	1	1
104	тех или иных	2	1
105	не совпадает с	1	1
106	со словом и	1	1
107	более или менее	1	1
108	свое влияние на	1	1
109	но и в	1	1
110	более и более	3	1
111	в то же	1	1
112	мы имеем в	1	1
113	отношению к ним	1	1
114	то время как	4	1
115	является в настоящее	1	1
116	одному и тому	2	1
117	том что в	2	1
118	мы имеем дело	2	1
119	так как в	1	1
120	и тогда когда	1	1
121	все эти три	2	1
122	в нем но	1	1
123	в то время	4	1
124	это один и	1	1
125	в этом смысле	5	1
126	или хотя бы	1	1
127	и больше того	1	1
128	следовательно включает в	1	1
129	обеих точек зрения	1	1
130	но все же	2	1
131	при таком понимании	1	1
132	и тому же	2	1
133	кто не знает	2	1
134	слова и его	1	1
135	к тому же	1	1
136	они ни были	1	1
137	друг к другу	3	1
138	к вопросу о	1	1
