N	2gram	Losev_Prob	Freidism
1	таким образом	20	34
2	и не	29	34
3	точки зрения	17	31
4	не может	6	30
5	в этом	31	28
6	может быть	11	28
7	и в	48	28
8	прежде всего	15	26
9	в его	19	25
10	и его	11	22
11	с помощью	2	20
12	мы можем	5	20
13	как бы	10	19
14	как мы	5	18
15	то что	26	17
16	вовсе не	18	16
17	с точки	13	15
18	жизни человека	1	15
19	все эти	12	15
20	так как	10	15
21	с ним	4	14
22	в своей	29	14
23	так и	15	14
24	самом деле	3	14
25	в душе	1	13
26	и все	12	13
27	как и	10	13
28	по отношению	2	13
29	но в	17	13
30	во всех	2	13
31	в самом	7	12
32	то же	6	12
33	ни в	17	12
34	что он	12	12
35	том что	29	12
36	для него	2	12
37	все это	8	12
38	и потому	4	12
39	и наконец	4	12
40	мы видели	2	12
41	только в	21	11
42	сказать что	13	11
43	отношению к	2	11
44	его в	9	11
45	все что	2	10
46	один из	2	10
47	не только	28	10
48	и с	10	10
49	но и	21	10
50	конечно не	2	10
51	тот же	6	10
52	никогда не	7	10
53	в том	25	10
54	мы уже	2	10
55	он не	4	10
56	за пределы	1	10
57	не в	16	10
58	и на	9	9
59	те же	1	9
60	уже не	12	9
61	во всяком	7	9
62	совершенно не	1	9
63	мы не	7	9
64	с его	3	9
65	к этому	2	9
66	к нему	3	9
67	в чем	3	9
68	а не	7	9
69	мы должны	1	9
70	и др	1	9
71	могут быть	2	9
72	при этом	6	8
73	все же	12	8
74	еще не	4	8
75	с этим	3	8
76	было бы	12	8
77	и вот	1	8
78	а в	8	8
79	по мнению	3	8
80	с другими	1	8
81	на этом	1	8
82	в ней	4	8
83	всяком случае	6	8
84	что в	12	7
85	и к	9	7
86	не могут	3	7
87	в жизни	4	7
88	его жизни	1	7
89	хотя бы	11	7
90	в каком	1	7
91	если мы	2	7
92	до конца	4	7
93	что все	1	7
94	и для	11	7
95	из них	4	7
96	того что	8	7
97	не является	2	7
98	но не	12	7
99	я и	1	7
100	об этом	11	7
101	и у	8	7
102	с самого	3	7
103	в нем	8	7
104	быть и	1	7
105	в этой	14	7
106	отношение к	3	7
107	в себе	7	7
108	жизни и	7	7
109	и прежде	2	7
110	в то	6	7
111	и ее	2	7
112	в человеке	1	6
113	учение о	4	6
114	одно из	2	6
115	если он	4	6
116	в корне	2	6
117	не менее	8	6
118	к тому	7	6
119	можно сказать	10	6
120	желаний и	1	6
121	в свою	4	6
122	для того	4	6
123	же время	1	6
124	из этих	2	6
125	мы имеем	3	6
126	ни о	1	6
127	как раз	7	6
128	что такое	1	6
129	на самом	2	6
130	здесь в	7	6
131	сознания и	1	6
132	в таком	4	6
133	большинстве случаев	2	6
134	она не	1	6
135	совсем не	4	6
136	и что	9	6
137	человека и	4	6
138	и о	9	6
139	и только	4	6
140	для этого	2	6
141	всех этих	3	6
142	что это	4	5
143	в более	1	5
144	со всеми	5	5
145	в своих	3	5
146	ее в	2	5
147	конечно и	1	5
148	с ними	1	5
149	вместе с	15	5
150	со стороны	1	5
151	на первый	1	5
152	тех же	1	5
153	того чтобы	3	5
154	и до	2	5
155	и те	1	5
156	чем не	2	5
157	самого начала	3	5
158	что она	2	5
159	он сам	3	5
160	по поводу	2	5
161	это не	8	5
162	в ее	6	5
163	что и	8	5
164	с их	1	5
165	в которой	7	5
166	тому что	2	5
167	в этих	3	5
168	и по	2	5
169	не было	4	5
170	другими словами	3	5
171	как это	5	5
172	далеко не	6	5
173	от того	1	5
174	в большинстве	1	5
175	заключается в	1	5
176	что может	1	5
177	ничего не	3	5
178	в заключение	3	5
179	в общем	1	5
180	в период	4	5
181	отнюдь не	14	5
182	все основные	1	4
183	мы и	2	4
184	как с	2	4
185	смысле слова	12	4
186	всей жизни	1	4
187	сам по	3	4
188	борьбы с	2	4
189	в виду	3	4
190	сводится к	1	4
191	по себе	5	4
192	если бы	2	4
193	именно в	11	4
