N	3gram	Medvedev_S	Problema
1	в том что	2	37
2	то же самое	1	30
3	в настоящее время	1	30
4	в связи с	1	29
5	по крайней мере	1	26
6	во всяком случае	1	25
7	в конце концов	2	23
8	сама по себе	1	21
9	в то же	1	17
10	и в этом	1	12
11	с одной стороны	1	11
12	только то что	1	10
13	это вовсе не	1	8
14	о том как	1	7
15	в этой области	1	7
16	это и есть	1	7
17	то что в	1	6
18	на первый план	1	6
19	сказать и о	1	5
20	дело не в	2	4
21	друг от друга	1	4
22	не было бы	1	4
23	а с другой	1	4
24	и никак не	1	3
25	ровно ничего не	1	3
26	тем более не	1	3
27	не выходит за	1	3
28	и в то	1	3
29	том что это	1	2
30	по отношению к	2	2
31	а в том	1	2
32	но только в	1	2
33	выходит за пределы	1	2
34	как бы они	1	2
35	не может не	1	2
36	в том и	1	2
37	только в этом	2	2
38	но ведь это	2	1
39	из тех кто	1	1
40	вступает в свои	1	1
41	что в них	1	1
42	и потому его	1	1
43	а между тем	1	1
44	том и заключается	1	1
45	быть не только	1	1
46	в процессе живого	1	1
47	в свои права	1	1
48	чуть ли не	1	1
49	и только как	1	1
50	в данном стихотворении	1	1
51	и должно было	1	1
52	и заключается что	2	1
53	благодаря тому что	1	1
54	должно было бы	1	1
55	что все это	1	1
56	не в том	2	1
57	далеко еще не	1	1
58	ведь это же	1	1
59	в наше время	1	1
60	то же время	1	1
61	хотя бы о	1	1
62	конечно не в	1	1
63	ни на что	1	1
64	как то что	1	1
65	в результате его	1	1
66	на точке зрения	1	1
67	дает нам право	1	1
68	может быть для	1	1
