N	3gram	Medvedev_S	RusskieA
1	в том что	2	49
2	в настоящее время	1	7
3	в связи с	1	5
4	том что это	1	4
5	во всяком случае	1	4
6	по отношению к	2	3
7	о том как	1	2
8	дело не в	2	2
9	нам право на	1	2
10	и в этом	1	2
11	с одной стороны	1	2
12	и наконец в	1	1
13	а между тем	1	1
14	между собой не	1	1
15	быть не только	1	1
16	что в них	1	1
17	не может не	1	1
18	то же самое	1	1
19	сама по себе	1	1
20	это не меняет	1	1
21	что она может	1	1
22	в противном случае	1	1
23	и должны служить	1	1
24	то что в	1	1
25	это как будто	1	1
26	как будто говорит	1	1
27	это и есть	1	1
