N	3gram	Berdyaev_V	Marksizm
1	в том что	2	14
2	бы то ни	1	12
3	с другой стороны	1	7
4	к тому что	3	5
5	в нем нет	2	4
6	но все же	1	4
7	том что он	2	4
8	хотя бы и	1	3
9	в конце концов	1	3
10	не могут быть	1	3
11	и в этом	1	3
12	но и в	2	3
13	жизни в этом	1	2
14	так и в	1	2
15	а между тем	2	2
16	с ними как	1	2
17	лишь в процессе	1	2
18	по крайней мере	1	2
19	как и в	1	2
20	есть прежде всего	1	2
21	не могли бы	1	1
22	и в сознании	1	1
23	бы и не	2	1
24	нем нет никакого	1	1
25	по сравнению с	1	1
26	в средство для	1	1
27	для него не	1	1
28	в жизни и	1	1
29	и в русском	1	1
30	еще не успели	1	1
31	него то что	1	1
32	вместо того чтобы	2	1
33	что он был	1	1
34	не имеет никакой	1	1
35	но прежде всего	1	1
36	вместе с тем	1	1
37	и во всяком	1	1
38	потому что их	1	1
39	то что во	1	1
40	и не было	1	1
41	которым можно было	2	1
42	что они в	1	1
43	и что в	1	1
44	после того как	1	1
45	тому что все	1	1
