N	3gram	Savitsky_P	Literetu
1	в том что	4	21
2	в то же	7	21
3	то же время	7	21
4	с одной стороны	3	12
5	не может быть	1	11
6	в отличие от	1	11
7	на наш взгляд	1	9
8	с точки зрения	3	8
9	с другой стороны	1	7
10	в том числе	2	6
11	не только в	4	6
12	и тем самым	1	4
13	и то что	1	4
14	одной стороны и	2	3
15	во всяком случае	1	3
16	и в частности	1	3
17	том числе и	1	3
18	тех пор пока	1	2
19	из тех кто	1	2
20	в xix веке	1	2
21	в душе своей	1	2
22	для того чтобы	1	2
23	в отношении к	5	2
24	но в отличие	1	2
25	за то что	1	2
26	чуть ли не	1	2
27	вместе с тем	1	2
28	но и в	2	2
29	в полной мере	2	2
30	до тех пор	1	2
31	в сравнении с	3	2
32	и не только	2	2
33	и как раз	2	1
34	что уже в	1	1
35	в большинстве случаев	1	1
36	хотя бы и	1	1
37	и тем более	1	1
38	не в том	1	1
39	более или менее	1	1
40	с тем чтобы	1	1
41	именно потому что	1	1
42	во многих случаях	1	1
43	и в то	2	1
44	том что в	1	1
45	в частности в	1	1
46	для того кто	1	1
47	и не столько	1	1
48	для тех кто	1	1
49	и в этом	1	1
50	есть не более	1	1
51	с тем же	1	1
52	десятилетия хх века	1	1
53	место в ряду	1	1
54	тем более что	1	1
55	тех кто не	1	1
56	но в то	1	1
57	мира а не	1	1
58	xix века как	1	1
59	и наряду с	1	1
60	и не менее	1	1
61	в русской культуре	1	1
62	же время в	1	1
63	и не может	1	1
64	само по себе	1	1
65	не только как	1	1
66	тот или иной	1	1
