N	2gram	Medvedev_S	Formalny
1	и в	3	95
2	и не	1	78
3	может быть	2	66
4	в этом	5	61
5	не может	1	57
6	вовсе не	1	53
7	таким образом	2	52
8	и его	1	51
9	так и	1	50
10	в его	3	42
11	прежде всего	1	41
12	как и	1	39
13	не в	3	35
14	в процессе	1	34
15	но и	2	33
16	то же	2	32
17	истории литературы	10	31
18	не только	3	30
19	в том	5	26
20	отнюдь не	1	26
21	то что	2	25
22	в своей	1	24
23	с помощью	1	23
24	было бы	2	23
25	связи с	1	23
26	в то	1	22
27	что в	2	21
28	как бы	2	21
29	между ними	1	20
30	формальный метод	1	20
31	же время	1	20
32	место в	1	20
33	по себе	1	19
34	хотя бы	1	19
35	все это	7	19
36	все же	1	18
37	в связи	1	18
38	должна быть	2	18
39	только в	2	18
40	все эти	1	18
41	во всяком	1	16
42	с другой	1	16
43	всяком случае	1	16
44	именно в	1	15
45	его в	1	15
46	бы в	1	15
47	в этой	1	14
48	что он	1	14
49	еще не	2	14
50	и потому	1	14
51	в целом	1	14
52	в результате	2	13
53	тем что	1	13
54	настоящее время	1	13
55	в настоящее	1	13
56	а в	1	13
57	история литературы	1	12
58	по отношению	2	12
59	отношению к	2	12
60	никогда не	1	11
61	между тем	1	11
62	они не	1	11
63	это и	2	11
64	но не	1	11
65	произведение как	1	11
66	конечно не	1	10
67	о литературе	3	10
68	метод в	4	10
69	не было	1	10
70	главным образом	2	10
71	тем же	1	10
72	мы не	1	10
73	по существу	2	10
74	и как	1	10
75	но ведь	3	9
76	в каждом	1	9
77	литературы и	2	9
78	ничего не	1	9
79	развития литературы	4	8
80	в них	1	8
81	в данном	1	8
82	одной стороны	1	8
83	с одной	1	8
84	между собой	1	8
85	и должно	1	8
86	что это	1	8
87	не должна	1	8
88	это не	1	8
89	в области	1	8
90	для этого	1	8
91	социологического метода	3	7
92	в сущности	1	7
93	время в	1	7
94	в систему	1	7
95	столь же	1	7
96	литературы как	1	7
97	том что	2	7
98	единства и	1	7
99	и более	1	7
100	и только	3	7
101	и наконец	1	7
102	те же	1	6
103	в этих	1	6
104	о том	1	6
105	в конце	2	6
106	в смысле	2	6
107	за пределы	2	6
108	один из	1	6
109	с ним	1	6
110	художественных произведений	1	6
111	именно на	1	6
112	не из	1	6
113	в частности	2	6
114	тому что	1	6
115	даже в	1	5
116	в мире	1	5
117	в котором	1	5
118	должно было	1	5
119	связь между	1	5
120	к которому	2	5
121	в литературоведении	2	5
122	не от	1	5
123	социологический метод	4	5
124	и что	2	5
125	и по	1	5
126	в него	1	5
127	даже не	1	5
128	ни на	1	5
129	для нас	3	5
130	на все	1	5
131	она должна	1	5
132	мы должны	1	5
133	науки о	1	4
134	историка литературы	2	4
135	и история	1	4
136	только как	2	4
137	очевидно что	2	4
138	конце концов	2	4
139	изучаемого объекта	1	4
140	в лучшем	1	4
141	нужно было	2	4
142	литературного развития	1	4
143	наконец в	1	4
