N	3gram	Losev_Prob	Poddanst
1	в то же	4	7
2	в том что	7	4
3	не только в	3	4
4	сами по себе	5	3
5	в сравнении с	1	3
6	в настоящий момент	1	3
7	с точки зрения	3	3
8	с одной стороны	4	3
9	но и в	3	2
10	заключается в том	2	2
11	не только это	1	2
12	нужно помнить что	1	2
13	в значительной мере	2	2
14	и в то	1	2
15	и потому в	1	2
16	в том числе	2	2
17	и не только	1	2
18	одной стороны и	2	2
19	мы все же	1	1
20	и т д	12	1
21	в определенный момент	1	1
22	не было бы	1	1
23	она не только	1	1
24	можно судить по	1	1
25	и в частности	3	1
26	далеко не все	1	1
27	вместе с тем	2	1
28	но в то	1	1
29	и тем самым	4	1
30	мы отнюдь не	1	1
31	том числе и	2	1
32	само по себе	1	1
33	если бы мы	1	1
34	не может быть	5	1
35	та или иная	1	1
36	чем говорить о	1	1
37	том что в	2	1
38	в отдельности и	1	1
39	можно говорить о	2	1
40	в этом смысле	8	1
41	есть прежде всего	3	1
42	к предмету в	1	1
43	в настоящую минуту	1	1
44	только в ней	1	1
45	прежде чем говорить	1	1
46	и то что	9	1
47	что в этом	1	1
48	если мы не	1	1
49	в собственном смысле	1	1
50	никак не о	1	1
51	в каком смысле	1	1
52	хотя бы и	3	1
53	очень и очень	1	1
54	мы не только	2	1
55	во всяком случае	11	1
56	для того чтобы	9	1
57	только в ее	1	1
58	и тем более	2	1
59	с другой стороны	7	1
60	тем и другим	2	1
61	в известном смысле	1	1
62	все это в	1	1
63	и не может	1	1
64	мы не будем	2	1
65	да и не	1	1
66	бы оно ни	1	1
67	в настоящее время	17	1
68	сливаются в одно	2	1
69	в самом точном	1	1
70	более или менее	7	1
71	так же как	2	1
72	до тех пор	4	1
73	в душе своей	1	1
74	только в виде	1	1
75	тот или иной	3	1
76	в частности в	2	1
77	или хотя бы	2	1
78	начала и конца	1	1
79	и в этом	5	1
80	да и само	1	1
