N	3gram	Losev_Vesc	SlovoVZh
1	не может быть	22	7
2	можно сказать что	3	5
3	в том что	9	4
4	дело в том	4	4
5	то ни было	12	3
6	до сих пор	1	3
7	этой точки зрения	3	3
8	и не в	3	3
9	бы то ни	12	3
10	тем не менее	11	3
11	и не может	1	3
12	может быть и	1	3
13	одной стороны и	1	2
14	то же самое	1	2
15	с этой стороны	1	2
16	одно и то	5	2
17	в отношении к	2	2
18	в данном случае	2	2
19	в зависимости от	1	2
20	с одной стороны	3	2
21	с другой стороны	3	2
22	и то же	5	2
23	с точки зрения	6	2
24	все же не	3	1
25	сам по себе	4	1
26	для него не	1	1
27	сами по себе	3	1
28	самом деле в	1	1
29	и таким образом	2	1
30	о том что	4	1
31	ни в какой	1	1
32	в самом деле	7	1
33	один и тот	1	1
34	должна быть обязательно	1	1
35	имеет дело с	1	1
36	не есть только	5	1
37	хотя бы только	1	1
38	в свою очередь	5	1
39	не менее эта	1	1
40	и тот же	1	1
41	и в частности	2	1
42	что не только	1	1
43	что мы имеем	2	1
44	то что для	1	1
45	еще не вполне	1	1
46	они должны быть	1	1
47	на одно и	1	1
48	какой бы то	1	1
49	сама по себе	7	1
50	вещи и не	2	1
51	стороны и с	1	1
52	ни в коем	1	1
53	во всяком случае	2	1
54	самом же деле	1	1
55	в коем случае	1	1
56	но в то	1	1
57	она не может	3	1
58	если же оно	2	1
59	и с другой	2	1
60	равно как и	4	1
61	только то что	3	1
62	подобно тому как	5	1
63	и что она	2	1
64	то что оно	2	1
65	с большим трудом	1	1
66	на самом же	1	1
67	может быть следовательно	1	1
68	и в нем	1	1
69	так как будто	1	1
70	то что я	2	1
71	то что мы	3	1
72	а не к	2	1
73	внутренней и внешней	1	1
74	в основе своей	2	1
75	слова и не	1	1
76	этих моментов в	1	1
77	допустим что мы	1	1
78	можно было бы	3	1
79	в этом отношении	2	1
80	в вещи и	2	1
81	так же как	2	1
82	если бы оно	1	1
83	но можно было	1	1
84	то же время	4	1
85	тех или иных	2	1
86	и прежде всего	1	1
87	более или менее	4	1
88	но и в	1	1
89	во всех языках	1	1
90	в то же	5	1
91	то время как	4	1
92	теперь остается только	1	1
93	извне как к	1	1
94	одному и тому	1	1
95	сих пор мы	1	1
96	мы имеем дело	2	1
97	и в этом	2	1
98	по крайней мере	10	1
99	на этом основании	1	1
100	может быть ни	3	1
101	уже не есть	2	1
102	в то время	4	1
103	что мы воспринимаем	1	1
104	в этом смысле	2	1
105	или хотя бы	1	1
106	того что именно	2	1
107	уже не может	3	1
108	не менее приходится	1	1
109	но все же	2	1
110	мы уже сказали	1	1
111	и тому же	1	1
112	другой стороны как	1	1
113	и здесь мы	1	1
114	каких бы то	1	1
115	может быть только	6	1
