N	2gram	Vinokur_Ku	Stilisti
1	и в	44	42
2	как бы	11	30
3	не только	29	28
4	прежде всего	14	22
5	хотя бы	19	18
6	то же	12	16
7	но и	13	16
8	социального общения	3	14
9	и не	23	14
10	может быть	25	13
11	не может	13	13
12	как и	3	12
13	что мы	6	11
14	мы уже	1	11
15	точки зрения	25	11
16	в этом	31	10
17	в себе	4	10
18	и как	3	10
19	мы должны	2	10
20	как мы	2	10
21	отнюдь не	5	10
22	мы не	1	9
23	при этом	6	9
24	все же	17	9
25	язык и	1	9
26	эти слова	1	9
27	то что	14	9
28	для того	23	9
29	в то	4	9
30	таким образом	17	8
31	так как	16	8
32	с тем	5	8
33	данной ситуации	1	8
34	и это	3	8
35	слово как	1	8
36	в ней	6	8
37	тем самым	5	8
38	что же	11	8
39	с его	4	8
40	ничего не	6	8
41	и на	8	7
42	так и	10	7
43	слов и	2	7
44	мы можем	2	7
45	только в	15	7
46	в которой	7	7
47	зависимости от	9	7
48	и его	8	7
49	потому что	40	7
50	того чтобы	25	7
51	и тем	7	7
52	же время	4	7
53	было бы	28	7
54	и той	1	7
55	той же	5	7
56	и от	2	7
57	в зависимости	7	7
58	а не	17	7
59	никогда не	2	7
60	во всех	1	6
61	в его	16	6
62	не в	18	6
63	в нем	7	6
64	в конце	5	6
65	в процессе	1	6
66	но ведь	3	6
67	и так	1	6
68	на его	3	6
69	бы в	8	6
70	в свою	4	6
71	речи и	8	6
72	с помощью	12	6
73	если б	2	6
74	одно и	1	6
75	в форме	3	6
76	когда мы	3	6
77	в этой	8	6
78	точку зрения	2	6
79	слова в	7	6
80	мы будем	1	6
81	или иной	3	6
82	язык в	7	6
83	в области	15	6
84	в той	6	5
85	в самом	20	5
86	что язык	7	5
87	связанных с	2	5
88	уже в	5	5
89	и их	2	5
90	с точки	16	5
91	те же	1	5
92	не является	2	5
93	в живом	2	5
94	все время	1	5
95	внутренняя речь	1	5
96	самом деле	17	5
97	но все	5	5
98	и с	11	5
99	но в	11	5
100	тому что	3	5
101	вместе с	8	5
102	своей жизни	1	5
103	того или	6	5
104	а с	3	5
105	мы увидим	3	5
106	и следовательно	2	5
107	слова и	8	5
108	как это	6	5
109	и является	4	5
110	а в	7	5
111	в нашем	8	5
112	в сознании	1	5
113	и то	7	5
114	или иного	5	5
115	независимо от	1	5
116	мы видели	3	5
117	одной и	1	4
118	всего в	2	4
119	были бы	2	4
120	и к	1	4
121	один из	8	4
122	слов в	5	4
123	что это	11	4
124	что такое	8	4
125	все это	10	4
126	в качестве	12	4
127	в одном	4	4
128	влияние на	1	4
129	его в	1	4
130	слова как	5	4
131	если бы	21	4
132	и все	4	4
133	в слове	3	4
134	так сказать	5	4
135	к своему	2	4
136	у нас	19	4
137	в словах	1	4
138	да и	5	4
139	как только	2	4
140	уже не	13	4
141	к тому	8	4
142	о том	10	4
