N	4gram	Bakhtin_Pr	VeschiIm
1	не что иное как	1	12
2	бы то ни было	2	12
3	есть не что иное	1	8
4	и тем не менее	1	5
5	дело в том что	1	4
6	в то же время	3	4
7	в то время как	1	4
8	и в то же	2	3
9	чего бы то ни	1	2
10	вопрос о том как	1	2
11	какие бы то ни	1	1
12	в том смысле что	1	1
13	на самом же деле	1	1
14	ни в коем случае	2	1
15	что мы о ней	1	1
16	с одной стороны и	1	1
17	хуже всего то что	1	1
18	в первом случае мы	1	1
19	как бы вбирает в	1	1
20	в коем случае не	2	1
21	она не могла бы	1	1
22	не может обойтись без	1	1
23	о которых идет речь	1	1
24	и быть не может	1	1
25	но в то же	1	1
26	бы вбирает в себя	1	1
27	не есть ли это	1	1
28	и в этом отношении	1	1
29	в данном случае со	1	1
30	что бы то ни	1	1
