N	4gram	Potebnia_M	Freidism
1	в то же время	3	6
2	но во всяком случае	3	3
3	одной и той же	3	3
4	один и тот же	1	3
5	заключается в том что	1	2
6	в том что он	1	2
7	то что мы называем	1	2
8	бы то ни было	1	2
9	до сих пор говоря	1	1
10	и связанное с ним	1	1
11	этом как и при	1	1
12	но тем не менее	6	1
13	или по крайней мере	2	1
14	сих пор говоря о	1	1
15	во что бы то	1	1
16	и не нуждается в	1	1
17	и в таком случае	1	1
18	бы то ни стало	1	1
19	и не могут быть	1	1
20	при этом как и	1	1
21	дело в том что	3	1
22	в то время когда	2	1
23	тем не менее он	1	1
24	что бы то ни	1	1
25	не что иное как	2	1
26	мы увидим что этот	1	1
27	во всяком случае не	1	1
28	не может обойтись без	1	1
29	по отношению к тому	1	1
