N	2gram	Voloshinov	FransuaR
1	и в	32	367
2	то есть	2	209
3	в этом	27	112
4	и т.п	17	108
5	и не	42	101
6	таким образом	29	100
7	и его	33	99
8	в его	10	98
9	прежде всего	19	92
10	не только	18	87
11	мы уже	7	85
12	но и	17	84
13	как бы	31	82
14	все эти	8	79
15	вовсе не	15	77
16	в романе	2	77
17	как и	19	76
18	в нем	17	75
19	но в	13	75
20	и на	8	72
21	и др	3	72
22	в том	13	71
23	как мы	26	71
24	то же	19	66
25	и все	8	66
26	в этой	3	65
27	так и	21	65
28	и с	4	64
29	в сущности	17	64
30	в то	7	63
31	во время	2	63
32	во всех	13	62
33	все это	4	62
34	же время	7	55
35	что в	5	52
36	в своем	3	51
37	xvi века	1	49
38	только в	14	48
39	так как	5	46
40	и до	4	46
41	том что	12	45
42	уже говорили	1	44
43	то что	12	41
44	здесь в	5	41
45	у него	2	40
46	жизни и	4	40
47	в самом	14	38
48	точки зрения	48	37
49	в ней	5	37
50	с его	6	36
51	о том	4	35
52	он был	2	35
53	может быть	50	35
54	мы видим	2	35
55	сказать что	7	34
56	и даже	4	34
57	в себе	5	34
58	до нас	1	34
59	рядом с	7	32
60	мы видели	5	32
61	в конце	5	32
62	он не	5	32
63	для него	18	32
64	до конца	6	31
65	в литературе	2	31
66	связаны с	3	31
67	в своей	5	31
68	нового времени	2	31
69	так же	10	30
70	но он	1	30
71	потому что	2	30
72	той же	5	30
73	и потому	7	30
74	никогда не	7	30
75	в духе	2	29
76	в одном	2	29
77	еще не	7	29
78	связи с	22	29
79	в этих	2	29
80	что он	5	29
81	не может	40	29
82	в особенности	1	29
83	при этом	13	29
84	его в	7	29
85	не в	13	29
86	и к	3	28
87	из них	3	28
88	всех этих	2	28
89	также и	1	28
90	в той	6	28
91	в основе	10	28
92	здесь и	1	28
93	и другие	2	27
94	сих пор	10	27
95	до сих	10	27
96	том числе	3	27
97	все же	13	27
98	роль в	1	27
99	и их	2	27
100	кроме того	7	26
101	в условиях	5	26
102	все они	1	26
103	на самом	10	25
104	в области	3	25
105	с помощью	11	25
106	но это	1	25
107	мира и	2	25
108	он и	2	24
109	но не	2	24
110	например в	2	24
111	в ее	9	24
112	и от	6	24
113	как в	5	24
114	того чтобы	9	24
115	времени и	1	24
116	в частности	2	24
117	в большинстве	7	24
118	отношение к	1	24
119	большинстве случаев	7	23
120	так сказать	19	23
121	и здесь	9	23
122	с ним	1	23
123	и для	15	23
124	в их	5	23
125	есть и	1	23
126	к нему	5	23
127	это не	5	23
128	еще и	2	23
129	не было	6	22
130	а в	5	22
131	границы между	2	22
132	тем что	3	22
133	что и	5	22
134	и других	3	22
135	там где	4	22
136	поэтому и	1	22
137	вместе с	2	22
138	и во	2	22
139	форм и	5	22
140	связь с	4	22
141	в своих	2	21
142	именно в	6	21
143	культуры и	2	21
144	в отношении	7	21
145	уже в	3	21
146	и как	8	21
147	есть в	1	21
148	в качестве	4	21
149	одним из	4	21
150	что это	3	21
151	ни в	7	21
152	и наконец	1	21
153	в виду	2	20
154	в связи	12	20
155	и это	6	20
156	в значительной	3	20
157	одной из	5	20
158	этом отношении	4	20
159	с точки	31	20
160	как раз	5	20
161	в образе	1	20
162	они были	1	20
163	самом деле	18	20
164	их в	1	19
165	к этому	10	19
166	того же	11	19
167	за пределы	8	19
168	было бы	8	19
169	с ее	2	19
170	в дальнейшем	3	19
171	с другой	6	19
172	на протяжении	2	19
173	хотя и	1	19
174	в форме	3	19
175	в ту	1	19
176	далеко не	5	19
177	существенную роль	1	18
178	со всеми	1	18
179	конечно и	2	18
180	это и	3	18
181	здесь не	2	18
182	одна из	6	18
183	но они	2	18
184	превращается в	2	18
185	связан с	1	18
186	в большей	1	17
187	большей или	1	17
188	для того	8	17
