N	2gram	Losev_Prob	VerxiiNi
1	и в	64	26
2	таким образом	9	22
3	с тем	6	18
4	в этом	30	15
5	вместе с	4	15
6	точки зрения	5	13
7	как бы	18	12
8	в том	19	11
9	не только	37	10
10	и с	12	10
11	может быть	29	10
12	из этих	5	10
13	что в	21	9
14	так как	16	9
15	связи с	8	9
16	но и	23	9
17	в области	8	9
18	в общем	5	8
19	и не	63	8
20	как на	3	8
21	с другой	8	8
22	но не	13	8
23	с одной	4	7
24	но все	5	7
25	связанные с	1	7
26	том что	26	7
27	потому что	24	7
28	одной стороны	4	7
29	а с	1	7
30	то что	72	7
31	но в	19	7
32	из них	3	7
33	к нему	5	7
34	так и	17	6
35	в конце	13	6
36	несмотря на	6	6
37	все это	11	6
38	что и	2	6
39	в отношении	7	6
40	представление о	6	6
41	все эти	15	6
42	все же	7	6
43	к тому	5	6
44	о том	25	6
45	во всяком	18	6
46	и потому	3	6
47	всяком случае	11	6
48	мы должны	5	6
49	с точки	3	6
50	в себе	16	6
51	того же	3	6
52	и к	2	5
53	до сих	6	5
54	том числе	2	5
55	в его	12	5
56	тому же	1	5
57	более или	7	5
58	не имеет	8	5
59	или менее	7	5
60	сих пор	6	5
61	по крайней	8	5
62	того чтобы	10	5
63	для того	10	5
64	так же	12	5
65	лишь в	4	5
66	отношение к	1	5
67	одной из	1	5
68	образом в	1	5
69	в силу	2	5
70	богов и	1	5
71	а не	21	5
72	и для	10	5
73	крайней мере	8	5
74	никогда не	8	5
75	в самом	10	4
76	что оно	4	4
77	ничем не	2	4
78	то есть	61	4
79	и по	3	4
80	то же	10	4
81	из которых	2	4
82	только в	19	4
83	в этих	7	4
84	должен был	1	4
85	с другими	6	4
86	учение о	5	4
87	что он	11	4
88	в которых	4	4
89	в смысле	2	4
90	в котором	5	4
91	в течение	1	4
92	и тогда	2	4
93	он не	5	4
94	и что	21	4
95	далеко не	9	4
96	а в	7	4
97	в этой	14	4
98	числе и	2	4
99	и от	3	4
100	не может	18	4
101	что все	9	4
102	на этот	3	4
103	в виде	20	4
104	в то	7	4
105	и только	7	4
106	в нем	14	4
107	во время	1	4
108	уже с	4	3
109	к сожалению	6	3
110	с этой	1	3
111	и при	4	3
112	при этом	8	3
113	для него	2	3
114	из всех	1	3
115	что это	4	3
116	тем не	25	3
117	и если	9	3
118	в качестве	3	3
119	в результате	6	3
120	то с	9	3
121	так или	7	3
122	и даже	19	3
123	если бы	8	3
124	в которой	2	3
125	или иначе	7	3
126	на нее	2	3
127	с самого	3	3
128	в таком	18	3
129	случае не	6	3
130	в связи	7	3
131	ясно что	7	3
132	и как	10	3
133	как о	4	3
134	же как	2	3
135	но по	2	3
136	если в	2	3
137	не менее	26	3
