N	3gram	Vygotskiy_	NovoeSre
1	в высшей степени	11	6
2	не может быть	5	4
3	подобно тому как	1	3
4	ни одна из	1	2
5	вместе с тем	11	2
6	так же как	9	2
7	в этом смысле	7	2
8	значит что в	1	2
9	когда мы говорим	1	2
10	с одной стороны	8	2
11	с другой стороны	5	2
12	она не может	1	2
13	сами по себе	4	1
14	в силу присущей	1	1
15	в том что	41	1
16	в человеческом обществе	1	1
17	хотим сказать что	1	1
18	и в высшей	1	1
19	в том случае	2	1
20	до сих пор	3	1
21	от того чтобы	1	1
22	в такой же	2	1
23	что она не	1	1
24	и в истории	1	1
25	в зависимости от	6	1
26	что в силу	1	1
27	и воля к	1	1
28	по своей природе	1	1
29	не только потому	1	1
30	том числе и	3	1
31	можно было бы	8	1
32	и вместе с	2	1
33	такой же мере	1	1
34	и к которому	1	1
35	только потому что	2	1
36	не только в	1	1
37	но и в	1	1
38	бы сказать что	5	1
39	которые могут быть	1	1
40	в том чтобы	2	1
41	в том смысле	3	1
42	в отличие от	8	1
43	в значительной степени	1	1
44	мы не хотим	2	1
45	протекает и развивается	1	1
46	о том что	3	1
47	же как и	6	1
48	что в этом	1	1
49	и того же	5	1
50	и не могут	1	1
51	по своему строению	2	1
52	не знает что	1	1
53	не могут быть	1	1
54	дня и ночи	1	1
55	мы говорим о	1	1
56	выходит за пределы	1	1
57	заключает в себе	3	1
58	как и в	3	1
59	то что в	3	1
60	том случае если	2	1
61	во всяком случае	10	1
62	та или иная	3	1
63	и во всех	1	1
64	в том числе	3	1
65	к вопросу о	1	1
66	совершенно так же	2	1
67	это значит что	6	1
68	в своем развитии	3	1
69	мы конечно не	1	1
70	в то время	5	1
71	имея в виду	1	1
72	в основе их	3	1
73	то время как	5	1
74	в известном смысле	2	1
75	в переходе от	1	1
76	и мы не	1	1
77	не хотим сказать	1	1
78	по своему типу	1	1
79	одного и того	5	1
80	я думаю что	1	1
