N	2gram	Vinokur_St	Tragedij
1	и в	61	18
2	в романе	4	10
3	в этом	37	9
4	в году	3	9
5	не только	36	8
6	и на	7	7
7	и не	23	7
8	может быть	16	7
9	и с	6	7
10	как бы	8	7
11	он сам	1	7
12	что он	23	6
13	у него	3	6
14	же время	5	6
15	в образе	3	6
16	но в	16	6
17	и его	11	6
18	это не	8	5
19	несмотря на	4	5
20	что это	5	5
21	так и	15	5
22	это очень	5	5
23	все же	12	5
24	то же	7	5
25	как и	11	5
26	не может	10	5
27	в то	10	5
28	а я	1	5
29	что в	41	4
30	в себе	3	4
31	и даже	8	4
32	все это	13	4
33	прежде всего	11	4
34	презрение к	1	4
35	и все	3	4
36	я не	13	4
37	об этом	9	4
38	еще не	4	4
39	но и	28	4
40	том что	49	4
41	и что	8	4
42	так же	7	4
43	то что	27	4
44	в этой	13	4
45	что я	3	4
46	в нем	9	4
47	но это	9	4
48	в целом	5	4
49	своего рода	7	3
50	и он	2	3
51	что с	4	3
52	один из	1	3
53	уже в	3	3
54	в его	19	3
55	для него	10	3
56	в своем	8	3
57	романа и	1	3
58	о чем	4	3
59	что вы	1	3
60	и сам	4	3
61	что за	1	3
62	в конце	5	3
63	iii в	1	3
64	и как	2	3
65	как в	15	3
66	никто не	4	3
67	то есть	2	3
68	при этом	4	3
69	как это	6	3
70	тем самым	2	3
71	мог бы	1	3
72	как будто	5	3
73	все эти	7	3
74	к нему	2	3
75	в самом	14	2
76	не так	2	2
77	и то	6	2
78	еще раз	1	2
79	превратилось в	1	2
80	и здесь	2	2
81	данном случае	7	2
82	это был	3	2
83	и за	3	2
84	в том	56	2
85	x и	1	2
86	он и	1	2
87	с тем	3	2
88	в ее	6	2
89	по мнению	4	2
90	говорит о	5	2
91	как у	1	2
92	что и	8	2
93	ни в	5	2
94	бы и	4	2
95	но при	1	2
96	чем он	3	2
97	по словам	7	2
98	что все	3	2
99	великий писатель	1	2
100	не могут	2	2
101	в виде	3	2
102	его в	4	2
103	не в	15	2
104	в первом	2	2
105	но все	9	2
106	но эта	1	2
107	было в	2	2
108	еще в	3	2
109	сей день	1	2
110	в таком	4	2
111	как говорит	3	2
112	одном из	4	2
113	вопрос о	9	2
114	вряд ли	8	2
115	состоит из	1	2
116	и это	4	2
117	очень важно	1	2
118	нет в	1	2
119	уже не	1	2
120	к тому	9	2
121	о том	30	2
122	перед нами	1	2
123	не был	1	2
124	а что	1	2
125	не имеет	5	2
126	что эти	1	2
127	и я	5	2
128	впечатление что	1	2
129	на всем	1	2
130	в данном	16	2
131	только к	2	2
132	права на	1	2
133	что этот	3	2
134	отличие от	1	2
135	он был	5	2
136	то и	1	2
137	потому что	13	2
138	так что	8	2
139	времени в	1	2
140	он не	11	2
141	по поводу	13	2
142	если б	5	2
143	в частности	6	2
144	на меня	2	2
145	но они	3	2
146	в это	3	2
147	точно так	2	2
148	в одном	7	2
149	в письмах	2	2
150	говорит что	4	2
151	и до	2	2
152	я буду	1	2
153	в глаза	1	2
154	в отличие	1	2
155	его за	1	2
156	отношение к	3	2
157	не за	1	2
158	до конца	4	2
159	в глазах	1	2
160	столь же	5	2
161	что она	5	2
162	который в	1	2
163	одна из	1	2
164	с его	3	2
165	а как	5	2
166	тут же	1	2
167	не мог	3	2
168	тем что	6	2
169	не просто	2	2
170	не случайно	1	2
171	только о	1	2
172	никогда не	7	2
173	ничего не	6	2
174	не выдерживает	1	1
175	в той	9	1
176	для самого	1	1
177	в особенности	1	1
178	все в	2	1
179	то в	3	1
180	от него	1	1
181	всегда была	1	1
182	его романа	1	1
183	этом случае	3	1
184	могут быть	5	1
185	только не	2	1
186	не нашел	2	1
187	к сожалению	4	1
188	черты его	1	1
189	в настоящем	1	1
190	что оно	4	1
191	поэмы пушкина	2	1
192	что ему	2	1
193	это тот	1	1
194	мы встречаем	1	1
195	таким образом	16	1
196	сам же	1	1
197	смотреть на	2	1
198	например что	1	1
199	после того	5	1
200	впечатление на	1	1
201	на вопрос	7	1
202	это слова	1	1
203	известно что	2	1
204	васильевского острова	1	1
205	свидетельствует о	2	1
206	не нужен	1	1
207	того как	8	1
208	к этой	1	1
209	если он	1	1
210	почти не	1	1
211	которой не	1	1
212	и который	3	1
213	с одной	3	1
214	и вот	1	1
215	должна быть	3	1
216	но еще	1	1
217	с такой	1	1
218	о рассказе	1	1
219	с этой	5	1
220	и при	1	1
221	дело с	2	1
222	стола и	2	1
223	в применении	3	1
224	в стиле	1	1
225	и далее	1	1
226	не читал	1	1
227	но лицо	1	1
228	него была	1	1
229	на работу	1	1
230	в комментариях	1	1
231	тогда и	1	1
232	новую жизнь	1	1
233	к числу	3	1
234	что эта	5	1
235	естественно что	2	1
236	на деле	1	1
237	содержит в	1	1
238	он объявил	1	1
239	к истории	2	1
240	т е	21	1
241	подчеркнуть что	5	1
242	свой долг	2	1
243	романа в	1	1
244	ноты в	1	1
245	вот как	1	1
246	что при	3	1
247	с этими	1	1
248	того что	14	1
249	сам по	1	1
250	тем не	4	1
251	о нем	1	1
252	не как	2	1
253	а затем	1	1
254	этот счет	1	1
255	для нас	7	1
256	где он	2	1
257	и всегда	2	1
258	и входят	1	1
259	одному из	1	1
260	одно из	3	1
261	на одной	1	1
262	как он	3	1
263	как своего	2	1
264	чем для	1	1
265	xix века	2	1
266	нет это	2	1
267	в результате	5	1
268	говорил что	1	1
269	в виду	6	1
270	точности соответствует	1	1
271	иными словами	1	1
272	смысле этого	2	1
273	и низким	2	1
274	буржуазии в	1	1
275	с собой	1	1
276	и теперь	2	1
277	внешней формы	1	1
278	только в	11	1
279	не столько	6	1
280	по себе	3	1
281	и герои	1	1
282	ума и	1	1
283	видит в	1	1
284	что роман	1	1
285	а на	4	1
286	за что	4	1
287	бориса годунова	70	1
288	а там	1	1
289	и притом	1	1
290	борьбу с	2	1
291	не было	7	1
292	в борьбе	1	1
293	в духе	2	1
294	но он	5	1
295	мировой литературы	1	1
296	говорит в	3	1
297	вот что	3	1
298	самозванца в	2	1
299	имеет для	1	1
300	о золотом	1	1
301	а также	4	1
302	сказал что	1	1
303	признается что	1	1
304	в россии	7	1
305	тот кто	1	1
306	заключается в	5	1
307	на нее	3	1
308	одним из	2	1
309	мысль о	2	1
310	не исчерпываются	1	1
311	на себя	3	1
312	что не	3	1
313	в эпоху	3	1
314	теперь еще	1	1
315	xviii века	1	1
316	именно в	8	1
317	представление о	5	1
318	обоих случаях	2	1
319	вообще не	5	1
320	документ в	1	1
321	это выражение	1	1
322	тому что	8	1
323	который сам	1	1
324	с жизнью	1	1
325	лишь на	1	1
326	очень важный	1	1
327	жизни были	1	1
328	с ними	1	1
329	так часто	1	1
330	с такими	1	1
331	его кажется	1	1
332	виде в	2	1
333	жизни своей	1	1
334	есть в	2	1
335	в своей	12	1
336	за свое	1	1
337	вместе с	5	1
338	что писал	3	1
339	и вместе	1	1
340	на этом	1	1
