N	4gram	Trubetskoy	Myslijsy
1	в то же время	2	13
2	но тем не менее	1	10
3	одного и того же	1	9
4	не в том что	1	7
5	один и тот же	1	4
6	или по крайней мере	1	4
7	и сами по себе	1	4
8	а в том что	1	4
9	вместе с тем и	1	4
10	все более и более	1	4
11	в одном и том	1	3
12	в том виде в	2	3
13	с этой точки зрения	2	3
14	том виде в каком	1	3
15	одном и том же	1	3
16	лицом к лицу с	1	2
17	во всяком случае не	3	2
18	состоит в том что	1	2
19	бы то ни было	2	2
20	до сих пор еще	2	1
21	в отвлеченные понятия и	1	1
22	но и потому что	1	1
23	есть не более как	1	1
24	а вместе с тем	1	1
25	можно сказать что в	1	1
26	в таком количестве чтобы	1	1
27	в таком случае эта	1	1
28	и вместе с тем	3	1
29	те же что и	1	1
30	еще и потому что	1	1
31	до сих пор не	1	1
32	имеющие ничего общего с	1	1
33	вместе с тем с	1	1
34	тем не менее продолжает	1	1
35	между человеком и животным	1	1
36	указывает на то что	1	1
37	мы видели выше что	1	1
38	не имеющие ничего общего	1	1
39	с тем и другим	1	1
40	с психологической точки зрения	1	1
41	по сравнению с другими	1	1
42	тем не менее совершенно	1	1
43	в том числе и	4	1
44	не потому только что	1	1
45	но вместе с тем	2	1
46	и выйти из этого	1	1
47	несмотря на все усилия	1	1
48	и в этом отношении	1	1
49	точно так же как	2	1
