N	3gram	Propp_Isto	Myshleni
1	в том что	8	133
2	с точки зрения	1	89
3	заключается в том	1	51
4	по сравнению с	2	45
5	по отношению к	2	42
6	так же как	7	39
7	с одной стороны	2	39
8	с самого начала	1	36
9	друг с другом	2	35
10	то же самое	1	31
11	можно было бы	2	28
12	в этом случае	8	27
13	вместе с тем	1	26
14	с другой стороны	10	26
15	на то что	4	25
16	о том что	3	25
17	не может быть	4	23
18	смысле этого слова	3	22
19	в то время	2	22
20	к тому что	1	22
21	в зависимости от	1	22
22	не только не	2	21
23	можно сказать что	2	21
24	то время как	2	20
25	из того что	1	19
26	состоит в том	2	18
27	во всяком случае	2	18
28	до сих пор	7	17
29	этой точки зрения	1	17
30	как мы видели	7	17
31	в связи с	5	17
32	же как и	3	17
33	с этой точки	1	16
34	и то что	4	15
35	в данном случае	6	15
36	и той же	2	15
37	одной и той	2	15
38	друг от друга	1	14
39	на этот вопрос	1	14
40	мы уже говорили	1	14
41	мы видели что	6	14
42	в свою очередь	1	14
43	подобно тому как	3	14
44	точно так же	8	13
45	в другом месте	1	13
46	тем не менее	6	12
47	является то что	1	11
48	мы не можем	1	11
49	что мы знаем	1	11
50	в такой же	1	11
51	том что в	2	11
52	то обстоятельство что	1	11
53	но вместе с	1	10
54	в том числе	1	10
55	связаны между собой	1	10
56	не в состоянии	1	10
57	в целом и	1	9
58	мы видим в	3	9
59	как и в	2	9
60	с тем что	1	9
61	силу того что	1	9
62	в силу того	1	9
63	на самом деле	1	9
64	то что он	1	8
65	в целом но	1	8
66	независимо от того	2	8
67	что он не	1	8
68	что и в	3	8
69	и вместе с	1	7
70	по этому поводу	1	7
71	содержит в себе	2	7
72	же самое что	1	7
73	совершенно так же	4	6
74	ничего общего с	1	6
75	в обоих случаях	1	6
76	только то что	1	6
77	и не может	1	6
78	в том смысле	1	6
79	не что иное	6	6
80	что иное как	6	6
81	уже говорили выше	1	6
82	чем перейти к	2	5
83	указывает на то	1	5
84	мы должны были	1	5
85	как если бы	1	5
86	что в этом	1	5
87	но все же	5	5
88	так как в	1	5
89	если верно что	1	5
90	как мы увидим	2	5
91	таким образом мы	2	5
92	сами по себе	1	5
93	между собой и	1	5
94	показывает что в	2	5
95	но он не	1	5
96	мы знаем что	8	5
97	не только в	3	5
98	то что они	1	5
99	мы видим что	6	4
100	может рассматриваться как	1	4
101	мы должны будем	1	4
102	таким же образом	1	4
103	как это мы	1	4
104	должны были бы	1	4
105	таким образом и	2	4
106	не то что	1	4
107	в тех случаях	2	4
108	мы имеем дело	1	4
109	но и в	2	4
110	было бы назвать	1	4
111	мы знаем об	1	4
112	это мы видим	2	4
113	потому что у	1	4
114	несмотря на то	1	4
115	есть не что	2	4
116	ни один из	2	4
117	мы увидим что	2	4
118	частный случай более	1	4
119	тому как в	1	4
120	тех случаях когда	2	4
121	этом случае в	1	4
122	после того как	3	4
123	он говорит что	1	3
124	но и по	1	3
125	на том что	1	3
126	и в другом	1	3
127	один из них	1	3
128	у нас в	1	3
129	она не может	1	3
130	надо сказать что	1	3
131	мы узнаем что	1	3
132	к тому же	4	3
133	а затем уже	1	3
134	что у нее	1	3
135	но и не	1	3
136	связи с этим	1	3
137	мы видели выше	2	3
138	мы имеем в	4	3
139	в связь с	1	3
140	не только как	1	3
141	и столь же	1	3
142	того что они	1	3
143	здесь мы видим	1	3
144	случай более общего	1	3
145	то что она	1	3
146	совершенно то же	3	3
147	мы можем установить	1	3
148	в приложении к	1	3
149	в соответствии с	1	3
150	что как бы	1	3
151	говорит об этом	1	3
152	в своем исследовании	1	3
153	не имеют ничего	1	3
154	так как мы	1	3
155	имеют ничего общего	1	3
156	так как они	1	3
157	указывают на то	1	3
158	имеем дело с	1	3
159	но не для	1	3
160	он показывает что	1	3
161	установить что в	1	2
162	только частный случай	1	2
163	не только то	1	2
164	на одной и	2	2
165	все остальные особенности	1	2
166	наряду с этим	2	2
167	что в данном	2	2
168	становится понятным почему	1	2
169	между ним и	1	2
170	знаем что в	1	2
171	именно в этой	1	2
172	в которой она	1	2
173	к которому они	1	2
174	тем более что	1	2
175	сказывается в том	1	2
176	но в этом	1	2
177	самом же деле	1	2
178	на самом же	1	2
179	покрывают друг друга	1	2
180	в этой связи	1	2
181	при известных условиях	1	2
182	приводят к тому	1	2
183	в одном из	2	2
184	за то что	1	2
185	но и это	1	2
186	и может быть	1	2
187	вопрос о связи	1	2
188	он делает это	1	2
189	в чем же	1	2
190	непосредственной связи с	1	2
191	тот же процесс	1	2
192	может быть в	1	2
193	отличаются друг от	1	2
194	заметить что в	1	2
195	здесь мы имеем	3	2
196	потому что как	1	2
197	все же не	1	2
198	начинается с того	2	2
199	и тем что	2	2
200	в одном случае	5	2
201	в свете этих	2	2
202	мы уже видели	3	2
203	двух совершенно различных	1	2
204	его в качестве	1	2
205	время от времени	1	2
206	остановимся только на	1	2
207	знает что он	1	2
208	мы увидим ниже	3	2
209	может привести к	1	2
210	из этих двух	1	2
211	что он так	1	2
212	хотя и в	1	2
213	то что этот	1	2
214	мы остановимся только	1	2
215	и как мы	1	2
216	если это так	1	2
217	казалось бы что	1	2
218	и в его	1	2
219	в большинстве случаев	2	2
220	в этих случаях	13	2
221	он должен быть	1	2
222	в том отношении	1	2
223	с того что	2	2
224	и только после	1	2
225	вместе с ней	1	2
226	видели что в	2	2
227	на ту же	1	2
228	и не только	1	2
229	нашей точки зрения	1	2
230	и ничего не	1	2
231	не только по	1	2
232	уже видели что	1	2
233	но тем не	2	2
234	по этому вопросу	1	2
235	во всех этих	1	2
236	с нашей точки	1	2
237	в другом случае	3	2
238	в следующей главе	1	2
239	не только что	1	2
240	к этому же	2	2
241	с ней в	1	2
242	нельзя сказать что	1	1
243	которое выражается в	1	1
244	они попадают в	1	1
245	не будет иметь	1	1
246	и было бы	1	1
247	ту же функцию	1	1
248	к самому концу	1	1
249	таким образом становится	1	1
250	речи и т	1	1
251	мы уже знаем	3	1
252	он никак не	1	1
253	том отношении что	1	1
254	даже в самых	1	1
255	в себя и	1	1
256	но и то	1	1
257	мы уже выше	1	1
258	они и не	1	1
259	но и их	1	1
260	но по мере	1	1
261	дело не в	1	1
262	часто встречается в	1	1
263	настоящем смысле этого	1	1
264	на всю жизнь	1	1
265	образом мы видим	1	1
266	мы сейчас увидим	1	1
267	так или иначе	1	1
268	в этом нет	1	1
269	он не имеет	1	1
270	совершенно ясно что	1	1
271	что под этим	1	1
272	становится особенно ясным	1	1
273	превращается в свою	1	1
274	если бы это	1	1
275	и подымает его	1	1
276	показывает что по	1	1
277	исходя из этого	1	1
278	остается то что	1	1
279	увидим дальше что	1	1
280	а в связи	1	1
281	с этих пор	1	1
282	во многих случаях	1	1
283	как только они	1	1
284	этом случае мы	1	1
285	не только на	1	1
286	принимает на себя	1	1
287	с этого момента	1	1
288	но в чем	1	1
289	в своей жизни	1	1
290	означало бы что	1	1
291	но мы уже	1	1
292	это означало бы	1	1
293	в этой форме	1	1
294	еще на один	1	1
295	своих признаков он	1	1
296	это даже не	1	1
297	и в самых	1	1
298	как мы сейчас	1	1
299	случаях мы имеем	1	1
300	нам понятно почему	1	1
301	в буквальном смысле	1	1
302	до известного момента	1	1
303	но никогда не	1	1
304	и входит в	1	1
305	принадлежит к тому	2	1
306	и в этих	1	1
307	прежде всего то	1	1
308	предмет особого исследования	1	1
309	в этом убеждает	1	1
310	это показывает что	1	1
311	и приобретает свое	1	1
312	о себе и	1	1
313	на передний план	1	1
314	уже очень рано	1	1
315	и о связи	1	1
316	и у нас	1	1
317	вопрос почему в	1	1
318	они состоят в	1	1
319	и могут быть	1	1
320	мы увидим дальше	1	1
321	у нас до	1	1
322	и это положение	1	1
323	так это или	1	1
324	но как правило	1	1
325	то что и	1	1
326	как указано в	1	1
327	этом случае не	1	1
328	при специальном исследовании	1	1
329	вопрос можно дать	1	1
330	только после того	2	1
331	не только это	1	1
332	из которых он	1	1
333	в другом отношении	1	1
334	вообще не знает	1	1
335	случае мы имеем	1	1
336	что он видел	1	1
337	видно из того	1	1
338	связь этих двух	1	1
339	в виду не	1	1
340	и относится к	1	1
341	каким образом в	1	1
342	одной из них	1	1
343	если бы она	2	1
344	потому что мы	1	1
345	мы должны изучить	1	1
346	об этом мы	1	1
347	друг другу и	1	1
348	только в связи	2	1
349	и с помощью	1	1
350	и не случайно	1	1
351	вошел и в	1	1
352	видим не только	1	1
353	есть частный случай	1	1
354	но в разных	1	1
355	нас до сих	1	1
356	не просто в	2	1
357	что так же	1	1
358	это еще не	2	1
359	и каждое из	1	1
360	ее свойств и	1	1
361	всех этих случаях	1	1
362	что в известных	1	1
363	одной стороны он	1	1
364	все эти вопросы	1	1
365	с тем они	1	1
366	выше мы видели	5	1
367	здесь в качестве	1	1
368	фон ден штейнен	1	1
369	мы должны выяснить	1	1
370	нас важно установить	1	1
371	на все эти	1	1
372	те действия которые	1	1
373	одновременно и в	1	1
374	том смысле как	1	1
375	могут быть установлены	1	1
376	хотя бы гипотетически	1	1
377	что еще не	1	1
378	он должен был	1	1
379	и т д	30	1
380	потому что я	1	1
381	происходит потому что	1	1
382	остальные особенности этого	1	1
383	и в жизнь	1	1
384	выводы к которым	1	1
385	все эти черты	1	1
386	так же иногда	1	1
387	и даже не	1	1
388	а она уже	2	1
389	видеть в нем	1	1
390	даже вместе с	1	1
391	на задний план	1	1
392	видим что в	1	1
393	говорят о том	1	1
394	составить предмет особого	1	1
395	что в одном	1	1
396	то же в	1	1
397	он в этом	1	1
398	образом в одной	1	1
399	того что происходит	1	1
400	здесь не только	1	1
401	они должны были	1	1
402	целом и его	1	1
403	как это показывает	1	1
404	то он делает	1	1
405	обстоит дело с	1	1
