N	3gram	Trubetskoy	UchenyiS
1	не может быть	1	4
2	то ни было	2	3
3	с другой стороны	1	3
4	в этой области	1	3
5	бы то ни	2	3
6	в то же	2	3
7	то же время	2	3
8	на каждом шагу	1	2
9	в том что	3	2
10	в самом деле	1	2
11	до сих пор	5	2
12	а между тем	1	2
13	в конце концов	3	2
14	то же самое	2	2
15	в этом отношении	2	2
16	по крайней мере	5	2
17	и в этой	1	2
18	иначе связанные с	1	1
19	в первую очередь	1	1
20	или иначе связанные	1	1
21	имеем в виду	1	1
22	друг с другом	5	1
23	и т.д в	1	1
24	так или иначе	3	1
25	в широком смысле	1	1
26	которые могли бы	1	1
27	но в то	1	1
28	может быть в	1	1
29	или по крайней	1	1
30	но по существу	1	1
31	что мы можем	1	1
32	с тем что	1	1
33	с одной стороны	7	1
34	можно сказать что	2	1
35	в значительной мере	2	1
36	каждом шагу и	1	1
37	не в том	1	1
38	на то что	2	1
39	другом не связанных	1	1
40	более или менее	5	1
41	и в то	1	1
42	с другом не	1	1
43	в данном случае	1	1
44	мы имеем в	1	1
