N	2gram	Kanaev_Sov	Otkroven
1	у него	2	22
2	и в	7	19
3	и не	6	13
4	в этом	7	12
5	человека в	1	11
6	а не	3	11
7	не только	4	11
8	не в	3	11
9	может быть	12	11
10	вопрос о	4	10
11	человека и	1	10
12	и все	3	10
13	в нем	3	10
14	прежде всего	5	9
15	не было	1	9
16	никогда не	1	9
17	в его	2	7
18	он не	1	7
19	все это	3	6
20	как и	6	6
21	в самом	2	5
22	в том	4	5
23	в этой	3	5
24	а в	4	5
25	что в	2	4
26	только и	1	4
27	не может	17	4
28	человек и	1	4
29	все эти	5	4
30	и его	1	4
31	он сам	1	4
32	с его	1	4
33	только одно	1	3
34	и от	1	3
35	все что	1	3
36	это за	2	3
37	это не	4	3
38	с ним	1	3
39	не могут	2	3
40	природы но	1	3
41	в своих	1	3
42	как бы	4	3
43	было бы	3	3
44	могут быть	2	3
45	в себе	3	3
46	и есть	2	3
47	о том	1	3
48	к нему	1	3
49	еще не	3	3
50	и к	3	2
51	и потому	3	2
52	и все-таки	1	2
53	но никогда	1	2
54	все же	3	2
55	так как	4	2
56	за все	1	2
57	должно быть	1	2
58	и ни	1	2
59	уже в	3	2
60	ничто не	1	2
61	в другом	1	2
62	совсем не	1	2
63	в своем	1	2
64	в этот	1	2
65	и из	1	2
66	в которой	2	2
67	его в	1	2
68	свободы и	1	2
69	должен был	1	2
70	чем в	1	2
71	ведь это	3	2
72	что же	5	2
73	он в	3	2
74	природы и	1	2
75	сказать что	1	2
76	что все	2	2
77	ничего не	6	2
78	хотя и	1	2
79	жизни в	1	2
80	по себе	1	2
81	себе даже	1	2
82	не имеет	1	2
83	к этому	1	2
84	же это	4	2
85	том что	1	2
86	и для	1	2
87	но в	3	2
88	и нет	1	2
89	к одному	1	1
90	в каждом	8	1
91	во всяком	2	1
92	и гармонии	1	1
93	его и	1	1
94	но можно	1	1
95	совершенно не	2	1
96	том случае	1	1
97	а потому	1	1
98	то он	1	1
99	но вопрос	1	1
100	не допускает	1	1
101	для его	2	1
102	это конечно	1	1
103	все его	1	1
104	один из	1	1
105	та же	1	1
106	которых в	1	1
107	не имеют	1	1
108	и пр	2	1
109	в первый	1	1
110	вот где	1	1
111	его с	1	1
112	она не	1	1
113	том как	1	1
114	мы не	9	1
115	но еще	1	1
116	еще более	2	1
117	но не	1	1
118	с тою	1	1
119	не быть	1	1
120	в ней	1	1
121	из всех	1	1
122	человека как	1	1
123	всего только	2	1
124	что это	2	1
125	и тогда	1	1
126	а это	1	1
127	всяком случае	2	1
128	в свое	1	1
129	в органической	3	1
130	но тем	1	1
131	между двумя	1	1
132	только один	2	1
133	как у	1	1
134	в которую	2	1
135	он должен	2	1
136	в науке	2	1
137	за собой	1	1
138	и что	2	1
139	в одном	3	1
140	силы в	1	1
141	на самом	1	1
142	у нас	3	1
143	можно было	1	1
144	же методом	1	1
145	заключает в	1	1
146	и это	1	1
147	и до	1	1
148	чего же	1	1
149	красоты в	1	1
150	как например	1	1
151	этот свой	1	1
152	не случайно	1	1
153	и даже	2	1
154	всегда и	1	1
155	природы нет	1	1
156	если бы	1	1
157	самом деле	2	1
158	и более	1	1
159	к чему	2	1
160	может ли	1	1
161	на этот	2	1
162	дело в	1	1
163	вообще и	1	1
164	и эта	1	1
165	тем же	2	1
166	жизни как	1	1
167	он ставит	1	1
168	та самая	1	1
169	и действительно	1	1
170	в конце	3	1
171	в процессе	1	1
172	в корне	1	1
173	на поверхности	1	1
174	все время	1	1
175	есть не	1	1
176	что она	3	1
177	жизни и	4	1
178	одна из	3	1
179	в мире	1	1
180	состоит из	3	1
181	и прежде	1	1
182	первый период	2	1
183	в совершенно	1	1
184	отличается от	3	1
185	друг с	2	1
186	ли он	1	1
187	но это	1	1
188	природой и	1	1
189	с другом	2	1
190	вражда к	1	1
191	она и	1	1
192	жизни не	1	1
193	из них	4	1
194	вовсе не	1	1
195	уже не	2	1
196	же вопрос	1	1
197	указать на	1	1
198	одна возможность	2	1
199	мысли в	1	1
200	со всеми	2	1
201	к другому	1	1
202	отметить что	1	1
