N	2gram	Bakhtin_KF	Vvedenie
1	в том	6	38
2	в этом	15	35
3	и в	28	35
4	может быть	45	30
5	том что	4	30
6	не только	5	26
7	для того	3	23
8	того чтобы	2	22
9	также и	1	20
10	не может	29	19
11	то что	7	19
12	потому что	2	18
13	только в	18	16
14	со стороны	8	16
15	о том	3	16
16	так как	1	15
17	что в	4	13
18	в самом	1	13
19	и именно	2	13
20	и не	28	13
21	в нем	32	13
22	в его	42	12
23	того что	3	12
24	в их	9	12
25	точки зрения	13	12
26	то же	5	11
27	в ее	17	11
28	по себе	2	11
29	в данном	2	11
30	этом смысле	3	11
31	ясно что	3	11
32	как мы	1	11
33	прежде всего	4	10
34	не в	13	10
35	вопрос о	2	10
36	между тем	4	10
37	уже и	1	10
38	но в	5	10
39	дело с	2	9
40	тем не	2	9
41	смысле этого	1	9
42	все же	5	9
43	но не	12	9
44	и как	2	9
45	не менее	3	9
46	в истории	1	9
47	это не	10	8
48	в качестве	2	8
49	именно в	5	8
50	а только	1	8
51	и то	2	7
52	до сих	1	7
53	смысле слова	1	7
54	к выводу	1	7
55	как и	5	7
56	самом деле	3	7
57	в принципиальном	1	7
58	но и	9	7
59	сих пор	1	7
60	было бы	8	7
61	только как	4	7
62	как бы	9	7
63	один из	2	6
64	об этом	1	6
65	все это	10	6
66	его в	5	6
67	тем что	3	6
68	с тем	2	6
69	в какой	1	6
70	а именно	1	6
71	вместе с	1	6
72	же время	2	6
73	и это	12	6
74	вовсе не	7	6
75	уже не	7	6
76	и даже	1	6
77	хотя бы	5	6
78	могут быть	3	6
79	и его	18	6
80	в то	3	6
81	а в	5	6
82	культуры как	1	6
83	связь между	1	5
84	на почве	1	5
85	хотя и	1	5
86	науки и	1	5
87	что и	7	5
88	в виду	3	5
89	но с	1	5
90	в первом	1	5
91	дело в	2	5
92	что не	3	5
93	имеет дело	1	5
94	не есть	22	5
95	что он	2	5
96	одно из	1	5
97	от этого	2	5
98	по своему	3	5
99	культуры в	1	5
100	во всяком	1	5
101	и тем	3	5
102	а не	17	5
103	говорить о	2	5
104	дело не	2	5
105	в различных	1	5
106	и т.д	4	5
107	быть в	4	5
108	а как	2	5
109	независимо от	3	5
110	не просто	1	5
111	в целом	10	5
112	как это	1	5
113	всяком случае	1	5
114	только что	1	4
115	здесь нет	3	4
116	этот процесс	1	4
117	тогда когда	3	4
118	с точки	10	4
119	как раз	1	4
120	в результате	1	4
121	в виде	2	4
122	в себе	21	4
123	должен был	1	4
124	но все	6	4
125	в одном	5	4
126	в котором	24	4
127	и ее	2	4
128	но ведь	5	4
129	в своей	11	4
130	в чем	4	4
131	должен быть	7	4
132	к тому	1	4
133	еще не	5	4
134	не имеет	6	4
135	времени и	4	4
136	в каждом	3	4
137	как о	1	4
138	науки а	1	4
139	это только	2	4
140	в чисто	1	4
141	по отношению	26	4
142	мы имеем	5	4
143	можно сказать	1	4
144	той же	1	4
145	отношению к	22	4
146	одной из	1	4
147	связи между	1	4
148	в области	2	4
149	только с	3	4
150	и для	10	4
151	само по	1	4
152	и к	1	3
153	с этим	1	3
154	можно говорить	1	3
155	и здесь	7	3
156	и на	3	3
157	например что	1	3
158	зависит от	1	3
159	на том	1	3
160	именно как	1	3
161	при этом	4	3
162	что это	4	3
163	из которых	2	3
164	не как	4	3
165	в принципе	2	3
166	знания в	1	3
167	в отношении	1	3
168	в этих	1	3
169	чем в	1	3
170	если бы	8	3
171	мы говорим	2	3
172	за собой	1	3
173	об отдельных	1	3
174	одновременно и	1	3
175	как в	2	3
176	областей культуры	2	3
177	другое дело	2	3
178	нисколько не	4	3
179	между ними	1	3
180	зависимости от	1	3
181	в известном	1	3
182	в каком	4	3
183	есть еще	1	3
184	той или	3	3
185	и того	2	3
186	в конечном	1	3
187	науки но	1	3
188	бы и	3	3
189	от себя	10	3
190	и других	2	3
191	все эти	11	3
192	как целое	1	3
193	и есть	10	3
194	на этом	1	3
195	в значительной	1	3
196	входит в	4	3
197	так чтобы	1	3
198	в другом	3	3
199	совсем не	2	3
200	в ней	3	3
201	и уже	1	3
202	во второй	1	3
203	только на	1	3
204	не с	1	3
205	может служить	1	3
206	отношений между	1	3
207	в этой	2	3
208	же самое	1	3
209	не следует	2	3
210	того же	1	3
211	как оно	2	3
212	от того	3	3
213	или как	2	3
214	отношение к	6	3
215	вообще и	1	3
216	известном смысле	1	3
217	только по	2	3
218	что может	1	3
219	до конца	3	3
220	в своем	17	3
221	в зависимости	1	3
222	или иной	2	3
223	что она	1	3
224	одна из	1	3
225	здесь не	3	3
226	к этому	2	3
227	нуждается в	1	3
228	для этого	2	3
229	что уже	1	3
230	гораздо более	2	3
231	к нему	12	3
232	никогда не	5	3
233	или иным	2	2
234	ближе к	3	2
235	во всем	7	2
236	так и	2	2
237	этой книги	1	2
238	находятся в	1	2
239	во втором	1	2
240	в содержании	1	2
241	первом случае	1	2
242	второй половине	1	2
243	знать и	1	2
244	познания и	4	2
245	должна быть	4	2
246	мы не	3	2
247	и должно	1	2
248	смысле в	2	2
249	не нужно	2	2
250	момента в	1	2
251	смысле и	2	2
252	несмотря на	1	2
253	к действительности	1	2
254	обычно и	1	2
255	ни к	2	2
256	следует что	1	2
257	в соответствующих	1	2
258	это уже	2	2
259	он и	2	2
260	или нет	1	2
261	и из	1	2
262	мысли и	1	2
263	а затем	1	2
264	и сама	1	2
265	него в	1	2
266	себя в	8	2
267	самое что	1	2
268	все равно	1	2
269	лежит в	1	2
270	в своих	4	2
271	не было	8	2
272	этого не	1	2
273	есть лишь	5	2
274	ее от	2	2
275	ни одна	2	2
276	именно оно	1	2
277	и с	1	2
278	с ней	1	2
279	это есть	2	2
280	жизни и	8	2
281	и требует	1	2
282	не со	2	2
283	тому что	2	2
284	к таким	1	2
285	единого и	9	2
286	в соответствии	2	2
287	в определенной	2	2
288	рядом с	3	2
289	и так	1	2
290	и вопрос	1	2
291	есть только	1	2
292	том смысле	1	2
293	следовательно и	1	2
294	тем или	1	2
295	но уже	1	2
296	себе и	3	2
297	этих случаях	1	2
298	могло бы	4	2
299	целого и	1	2
300	влечет за	1	2
301	во всех	11	2
302	сам же	1	2
303	действительности в	2	2
304	и потому	2	2
305	но как	5	2
306	мы можем	1	2
307	а с	2	2
308	не существует	1	2
309	на задний	1	2
310	что мы	1	2
311	когда мы	1	2
312	это понятие	1	2
313	мы уже	1	2
314	ничего не	3	2
315	в свою	3	2
316	задний план	1	2
317	только так	1	2
318	из его	3	2
319	в этот	1	2
320	мы должны	1	2
321	самом своем	1	2
322	быть и	3	2
323	не мог	1	2
324	себя со	1	2
325	для нее	9	2
326	именно на	2	2
327	средних веков	1	2
328	отношении к	2	2
329	из него	4	2
330	в форме	1	2
331	целое именно	1	2
332	существенном смысле	1	2
333	и до	1	2
334	лишь как	3	2
335	это может	1	2
336	до того	1	2
337	свою очередь	1	2
338	не совпадает	1	2
339	таким путем	1	2
340	соответствии с	2	2
341	если это	1	2
342	есть действительно	2	2
343	отсюда и	3	2
344	мог бы	1	2
345	и др	1	2
346	должно быть	6	2
347	одного и	2	2
348	путь от	1	2
349	с чем	1	2
350	том же	1	2
351	стороны своего	1	2
352	который по	1	2
353	имеют дело	1	2
354	своего содержания	1	2
355	что именно	1	2
356	на то	1	2
357	его к	2	2
358	это в	1	2
359	этого слова	2	2
360	но это	6	2
361	так называемые	1	2
362	жизни как	5	2
363	и совершенно	3	2
364	деятельности и	2	2
365	не к	1	2
366	котором он	3	2
367	можно только	1	2
368	все в	1	1
369	всего в	1	1
370	были бы	2	1
371	себя всю	1	1
372	всех отношениях	2	1
373	только тогда	1	1
374	утверждать что	1	1
375	действительно ли	2	1
376	все что	1	1
377	этот термин	1	1
378	мы видим	1	1
379	нашего исследования	1	1
380	знать что	2	1
381	себе самому	1	1
382	та же	3	1
383	и содержания	2	1
384	мышления и	2	1
385	она и	1	1
386	и очень	1	1
387	здесь именно	1	1
388	от его	5	1
389	они не	1	1
390	практически не	1	1
391	может не	2	1
392	к человеку	1	1
393	в момент	3	1
394	бы то	2	1
395	поскольку мы	4	1
396	бытие не	4	1
397	смысле не	2	1
398	чтобы быть	2	1
399	на язык	3	1
400	жизни а	1	1
401	время и	5	1
402	как к	2	1
403	за исключением	1	1
404	других и	1	1
405	ее а	1	1
406	притом не	1	1
407	и имеет	1	1
408	для себя	7	1
409	оно было	1	1
410	в определенное	2	1
411	отношения к	1	1
412	ней то	1	1
413	его содержание	1	1
414	еще более	2	1
415	ним в	1	1
416	содержания это	1	1
417	новое и	1	1
418	для него	13	1
419	которых он	1	1
420	полную аналогию	1	1
421	то для	1	1
422	ни было	4	1
423	которых как	1	1
424	это значит	1	1
425	а это	2	1
426	именно она	2	1
427	с ним	5	1
428	дан в	2	1
429	деятельность есть	1	1
430	в литературе	1	1
431	отсюда следует	2	1
432	от времени	1	1
433	хх вв	2	1
434	к предмету	1	1
435	не содержит	1	1
436	ее в	1	1
437	исторический факт	1	1
438	и говорить	1	1
439	для нас	4	1
440	и за	2	1
441	и неизбежного	1	1
442	и этим	3	1
443	видеть в	1	1
444	только практически	1	1
445	и принципиально	2	1
446	слова в	2	1
447	и о	1	1
448	а есть	1	1
449	объектов и	1	1
450	на самом	3	1
451	или иную	1	1
452	здесь в	1	1
453	его от	1	1
454	коренным образом	1	1
455	дан не	1	1
456	то только	1	1
457	нет никакого	1	1
458	что между	1	1
459	как таковым	1	1
460	различия между	1	1
461	нас от	1	1
462	что все	1	1
463	оно не	2	1
464	как не	1	1
465	и нашей	2	1
466	та область	1	1
467	если не	2	1
468	в духе	1	1
469	говорим о	2	1
470	или не	1	1
471	но он	1	1
472	есть проблема	1	1
473	чем ближе	1	1
474	или в	1	1
475	когда оно	1	1
476	однако что	2	1
477	от своего	1	1
478	разрыва между	1	1
479	помнить что	1	1
480	только за	1	1
481	и можно	1	1
482	жизнь в	1	1
483	проблемы в	1	1
484	осуществляется в	1	1
485	всех его	2	1
486	соответствующих местах	1	1
487	самого по	1	1
488	в соответствующей	1	1
489	становления и	1	1
490	этот факт	2	1
491	и все	9	1
492	в некотором	3	1
493	содержание и	2	1
494	бытия и	10	1
495	быть только	8	1
496	нашему времени	1	1
497	нет он	1	1
498	и эта	2	1
499	но для	3	1
500	единство только	1	1
501	дело здесь	2	1
502	и будет	1	1
503	бы оно	2	1
504	систему и	1	1
505	я и	5	1
506	говорить в	1	1
507	если он	1	1
508	внимание в	1	1
509	в жизни	2	1
510	места и	4	1
511	мысли но	1	1
512	не остается	2	1
513	в стороне	1	1
514	меня в	3	1
515	истории для	1	1
516	лишь с	2	1
517	одном случае	1	1
518	не вытекает	1	1
519	с ними	4	1
520	есть тот	1	1
521	отсюда ясно	1	1
522	быть понято	1	1
523	если и	1	1
524	между прочим	1	1
525	целое как	1	1
526	значит не	1	1
527	в услужении	1	1
528	во главе	2	1
529	не от	1	1
530	это противопоставление	4	1
531	как с	1	1
532	правда не	1	1
533	дело лишь	1	1
534	и я	6	1
535	а действительно	1	1
536	отличается от	1	1
537	между собой	1	1
538	к последним	2	1
539	любви и	1	1
540	это было	2	1
541	участия в	1	1
542	бы себя	1	1
543	это хорошо	1	1
