N	2gram	Tiupa_Narr	Myslijsy
1	потому что	1	182
2	то есть	19	142
3	и в	19	121
4	может быть	25	107
5	в том	18	103
6	то что	11	83
7	в слове	1	78
8	для нас	1	75
9	что в	3	73
10	и не	20	73
11	только в	4	72
12	не только	32	67
13	а не	12	67
14	таким образом	1	64
15	в этом	17	59
16	но и	23	59
17	том что	14	59
18	то же	4	56
19	не в	14	54
20	если бы	1	53
21	в себе	8	53
22	по себе	5	52
23	не может	10	52
24	того что	2	47
25	было бы	4	45
26	в нем	4	45
27	не есть	3	42
28	как и	7	42
29	что и	1	38
30	мы не	1	38
31	при этом	9	37
32	как в	7	37
33	так и	9	37
34	что мы	2	36
35	точно так	2	35
36	тем что	3	33
37	по отношению	7	30
38	а в	11	30
39	что не	4	29
40	между тем	3	29
41	но не	6	29
42	вовсе не	1	28
43	мы можем	1	28
44	для него	2	28
45	могут быть	3	27
46	не было	2	26
47	независимо от	2	26
48	то и	1	26
49	отношению к	6	26
50	языка и	2	25
51	этого слова	2	25
52	в то	3	24
53	как бы	4	23
54	от того	1	23
55	с другой	8	22
56	не имеет	2	22
57	но в	6	22
58	и потому	2	21
59	не менее	3	21
60	мысль о	1	20
61	это не	2	20
62	в ней	3	20
63	мысли и	1	19
64	и как	5	19
65	но это	1	19
66	сказать что	4	19
67	с ним	1	19
68	того же	1	19
69	тем не	3	19
70	что это	3	19
71	и то	1	19
72	из этих	3	19
73	о том	6	19
74	есть уже	1	19
75	тем самым	6	19
76	есть не	1	19
77	в самом	1	18
78	в таком	2	18
79	там же	1	18
80	по поводу	1	18
81	не могут	1	18
82	очевидно что	1	18
83	бы не	2	18
84	тогда как	12	18
85	еще не	7	18
86	точки зрения	10	17
87	крайней мере	1	17
88	со стороны	9	17
89	по крайней	1	17
90	что оно	1	17
91	уже в	3	17
92	в его	9	17
93	слова в	1	17
94	и на	3	16
95	к тому	7	16
96	так же	2	16
97	в своем	2	16
98	в них	1	16
99	или же	1	16
100	есть нечто	1	16
101	что если	1	16
102	быть может	2	15
103	уже не	5	15
104	с одной	7	15
105	с другими	1	15
106	и тем	4	15
107	и по	1	15
108	что он	6	15
109	в свою	3	15
110	прежде всего	4	15
111	тому как	2	15
112	все же	7	14
113	в котором	1	14
114	в действительности	1	14
115	свою очередь	3	14
116	то в	6	14
117	связи с	4	14
118	так сказать	1	14
119	во всех	1	14
120	когда мы	2	14
121	столь же	3	14
122	сам по	1	14
123	же время	4	14
124	само по	1	14
125	те же	4	13
126	например в	2	13
127	из них	3	13
128	что все	1	13
129	в смысле	1	13
130	и все	2	13
131	зависит от	2	13
132	и может	1	13
133	и его	5	13
134	от него	1	12
135	одно из	2	12
136	другой стороны	4	12
137	до сих	1	12
138	более или	2	12
139	мысли о	1	12
140	не то	2	12
141	никогда не	3	12
142	и при	1	12
143	хотя и	3	12
144	быть только	1	12
145	в чем	1	12
146	сих пор	1	12
147	оно не	2	12
148	только потому	1	12
