N	3gram	Propp_Russ	Freidism
1	с точки зрения	3	15
2	не может быть	1	14
3	по отношению к	1	11
4	в том что	27	9
5	как мы видели	1	8
6	во всяком случае	1	8
7	может быть и	3	6
8	в большинстве случаев	2	5
9	можно сказать что	1	5
10	как мы уже	2	5
11	в свою очередь	2	4
12	мы увидим что	1	4
13	тем не менее	3	4
14	на самом деле	1	4
15	в данном случае	7	4
16	в таком случае	1	4
17	в этом отношении	1	4
18	мы уже знаем	2	3
19	ничего общего не	2	3
20	для того чтобы	6	3
21	о том что	6	3
22	в собственном смысле	1	3
23	на этот вопрос	1	3
24	в жизни человека	1	3
25	мы видели что	1	3
26	мы не можем	5	3
27	но вместе с	3	2
28	в применении к	1	2
29	один из них	3	2
30	в предыдущей главе	1	2
31	в заключение нужно	1	2
32	а следовательно и	1	2
33	в какой степени	3	2
34	и пр и	1	2
35	и связанных с	1	2
36	далеко не так	1	2
37	по меньшей мере	1	2
38	у нас в	1	2
39	что и в	1	2
40	в отличие от	4	2
41	таким образом в	1	2
42	в связь с	1	2
43	в таком виде	2	2
44	к тому что	4	2
45	самом же деле	2	2
46	это и есть	1	2
47	в другом месте	1	2
48	на самом же	2	2
49	с одной стороны	1	2
50	к этому времени	2	2
51	и т д	12	1
52	вопрос который в	1	1
53	быть не может	1	1
54	так обстояло дело	2	1
55	в этом случае	9	1
56	и теперь еще	1	1
57	и те же	1	1
58	он должен был	1	1
59	а может быть	1	1
60	и у нас	2	1
61	но тем не	2	1
62	что бросается в	1	1
63	как будто бы	1	1
64	том что это	2	1
65	первое что бросается	1	1
66	по аналогии с	1	1
67	только одно из	1	1
68	но и по	1	1
69	ни о каких	1	1
70	и наконец в	1	1
71	только одна из	1	1
72	этом мы можем	1	1
73	но и в	1	1
74	одно из наиболее	1	1
75	одна из основных	1	1
76	как мы знаем	1	1
77	но она не	1	1
78	для него не	1	1
79	пойти в двух	1	1
80	а иногда и	4	1
81	одни и те	1	1
82	в глаза при	1	1
83	мы должны признать	1	1
84	в себе и	1	1
85	в целом ряде	1	1
86	в том же	1	1
87	к выводу что	3	1
88	в первые годы	1	1
89	можно сделать вывод	1	1
90	родителей братьев и	1	1
91	но оно в	1	1
92	такой же степени	1	1
93	в то время	3	1
94	или может быть	1	1
95	можно согласиться с	1	1
96	говорит о том	1	1
97	этим как бы	1	1
98	и во многих	1	1
99	в нашем сознании	1	1
100	в западной европе	2	1
101	и в таком	1	1
102	все же не	2	1
103	во многих отношениях	2	1
104	и один из	1	1
105	не совсем так	1	1
106	хотя и не	1	1
107	но не только	1	1
108	друг с другом	1	1
109	это как будто	1	1
110	не только из	1	1
111	ничего общего с	1	1
112	не что иное	3	1
113	а между тем	1	1
114	одно из них	1	1
115	в такой же	1	1
116	иметь в виду	2	1
117	и все другие	1	1
118	и в дальнейшем	1	1
119	в поле в	1	1
120	как мы видим	1	1
121	имея в виду	1	1
122	бросается в глаза	3	1
123	так как они	2	1
124	один из основных	1	1
125	так же как	5	1
126	в двух направлениях	1	1
127	целом ряде других	1	1
128	главным образом из	1	1
129	это не совсем	2	1
130	только потому что	1	1
131	и таким образом	1	1
132	сделать вывод что	1	1
133	то увидим что	1	1
134	во всех этих	1	1
135	том что в	7	1
136	можно говорить о	1	1
137	точки зрения в	1	1
138	на тот же	1	1
139	так как это	2	1
140	всяком случае не	1	1
141	так как в	2	1
142	так как при	1	1
143	себя и не	1	1
144	не можем конечно	1	1
145	на первый взгляд	1	1
146	того момента когда	1	1
147	во второй половине	1	1
148	по этому вопросу	1	1
149	доказать что в	1	1
150	что иное как	3	1
151	на этом же	1	1
152	себя и своего	1	1
153	но все же	2	1
154	и поэтому они	1	1
155	семьи и всех	1	1
156	оно все же	1	1
157	что в некоторых	1	1
158	мы не будем	4	1
159	из того что	1	1
160	приходит к выводу	1	1
161	его уже не	1	1
162	в основном все	1	1
163	общего не имеет	1	1
164	это означает что	1	1
165	но так как	1	1
166	в этой теории	1	1
167	можно было бы	2	1
168	потому что по	1	1
169	в настоящее время	3	1
