N	3gram	Bakhtin_Pr	TeoriaLi
1	в том что	3	10
2	по отношению к	19	10
3	в то же	3	8
4	то же время	3	8
5	в отличие от	5	7
6	того или иного	2	6
7	в конечном счете	4	6
8	с другой стороны	4	6
9	не может быть	11	5
10	для того чтобы	2	5
11	в данном случае	4	5
12	факторов художественного впечатления	1	4
13	в свою очередь	1	3
14	той или иной	2	3
15	с точки зрения	6	3
16	в этом смысле	3	3
17	тем не менее	3	3
18	можно сказать что	2	3
19	подобно тому как	1	3
20	в равной степени	1	3
21	в связи с	1	3
22	с одной стороны	3	3
23	в нашем случае	1	2
24	как совокупность факторов	1	2
25	в противном случае	3	2
26	до известной степени	1	2
27	в эстетический объект	12	2
28	и в самом	1	2
29	как и в	1	2
30	в самом деле	3	2
31	в коем случае	2	2
32	ни в коем	2	2
33	но в то	1	2
34	и тем самым	2	2
35	и в то	2	2
36	мы имеем дело	2	2
37	тем или иным	1	2
38	то ни было	2	2
39	не могут быть	2	2
40	к тому что	1	2
41	бы то ни	3	2
42	коем случае не	2	2
43	в значительной степени	1	2
44	в основе своей	3	2
45	совокупность факторов художественного	1	2
46	может быть и	1	2
47	содержание эстетической деятельности	1	1
48	лингвистической точки зрения	1	1
49	эстетическое вполне осуществляет	1	1
50	вполне осуществляет себя	1	1
51	может и не	2	1
52	это имеет место	1	1
53	в художественном произведении	4	1
54	может быть определен	1	1
55	в том и	1	1
56	не что иное	1	1
57	в одном и	1	1
58	отнюдь не в	1	1
59	все то что	3	1
60	то есть в	1	1
61	имеют место в	1	1
62	не может обладать	1	1
63	деятельности созерцания направленной	1	1
64	и др в	2	1
65	человека и его	1	1
66	иметь в виду	1	1
67	и прежде всего	5	1
68	является как бы	1	1
69	вследствие того что	1	1
70	ни к чему	1	1
71	к чему не	1	1
72	а не с	1	1
73	вбирает в себя	1	1
74	входит в эстетический	2	1
75	в известной степени	2	1
76	они ни были	1	1
77	в большинстве случаев	5	1
78	незаместимое место в	1	1
79	направленной на произведение	1	1
80	позицию по отношению	4	1
81	чего еще нет	1	1
82	то или иное	2	1
83	бы они ни	1	1
84	эстетического объекта и	4	1
85	в свое время	1	1
86	искусства может быть	1	1
87	то есть как	1	1
88	себя только в	1	1
89	это и есть	1	1
90	с самим собою	1	1
91	отношению к чему	1	1
92	когда для смертного	1	1
93	при этом в	1	1
94	художественное произведение и	1	1
95	в настоящее время	1	1
96	не совпадает с	2	1
97	и как бы	1	1
98	одной стороны и	1	1
99	о мире и	1	1
100	отношению к нему	1	1
101	со всех сторон	2	1
102	как это ни	1	1
103	в нашем примере	2	1
104	начало и конец	2	1
105	дело в том	1	1
106	в которой я	1	1
107	существенно отличается от	1	1
108	в иных случаях	3	1
109	чего бы то	1	1
110	и в частности	2	1
111	а между тем	1	1
112	как бы вбирает	1	1
113	в первом случае	1	1
114	в то время	1	1
115	бы вбирает в	1	1
116	в лучшем случае	2	1
117	конститутивный момент художественной	2	1
118	художественного восприятия как	1	1
119	только в искусстве	2	1
120	перевод его в	1	1
121	не имеет автора-творца	2	1
122	а в том	1	1
123	произведения в ее	1	1
124	есть не что	1	1
125	осуществляет себя только	1	1
126	иметь место в	1	1
127	имеет место в	2	1
128	то же самое	2	1
129	не входит в	4	1
130	эстетической деятельности созерцания	1	1
131	та или иная	1	1
132	что иное как	1	1
133	к вопросу о	1	1
134	в таких случаях	1	1
135	может быть признано	1	1
136	момент художественной формы	2	1
137	в следующей главе	1	1
138	таким образом и	1	1
139	отношения к миру	1	1
140	в виду что	1	1
141	созерцания направленной на	1	1
142	не могли быть	1	1
143	могли бы быть	1	1
144	имеем дело с	1	1
145	эстетическая деятельность направлена	1	1
146	в его эстетической	1	1
