N	2gram	Kanaev_Sov	Analitik
1	не только	4	71
2	и в	7	66
3	в том	4	52
4	может быть	12	52
5	в этом	7	51
6	как и	6	50
7	и не	6	48
8	а не	3	42
9	при этом	3	40
10	том что	1	40
11	в мире	1	31
12	отнюдь не	3	29
13	как бы	4	29
14	не может	17	29
15	а в	4	28
16	в его	2	27
17	и его	1	27
18	не в	3	26
19	но не	1	26
20	в себе	3	24
21	не случайно	1	24
22	что в	2	22
23	и даже	2	22
24	в этой	3	22
25	о том	1	20
26	и т.п	1	20
27	в самом	2	19
28	то же	3	19
29	по отношению	1	19
30	с его	1	19
31	но в	3	19
32	в данном	1	18
33	в то	1	18
34	отношению к	1	18
35	с другой	1	17
36	только в	1	17
37	такого рода	2	17
38	или иной	2	17
39	в целом	4	17
40	могут быть	2	16
41	уже не	2	15
42	прежде всего	5	15
43	не менее	2	14
44	того же	1	14
45	той или	1	14
46	мы имеем	1	14
47	же время	1	14
48	в отличие	2	14
49	данном случае	1	14
50	отличие от	2	14
51	по себе	1	13
52	точки зрения	12	13
53	он не	1	13
54	ничего не	6	13
55	в начале	1	13
56	и к	3	12
57	никогда не	1	12
58	еще не	3	12
59	в конечном	1	12
60	есть не	1	12
61	конечном счете	1	11
62	в свою	2	11
63	той же	2	11
64	это не	4	11
65	именно в	1	10
66	все же	3	10
67	с одной	2	10
68	в конце	3	10
69	было бы	3	10
70	один из	1	10
71	говорить о	2	9
72	в результате	6	9
73	одной стороны	1	9
74	свою очередь	2	9
75	в своем	1	9
76	крайней мере	1	9
77	таким образом	11	9
78	во всех	1	9
79	только не	1	9
80	вместе с	4	9
81	по крайней	1	9
82	роль в	2	8
83	между двумя	1	8
84	одной из	1	8
85	как известно	2	8
86	с ним	1	8
87	если бы	1	8
88	и все	3	8
89	не является	1	8
90	с точки	5	8
91	хотя и	1	8
92	времени и	2	8
93	одного из	1	8
94	во всяком	2	7
95	в другом	1	7
96	в одном	3	7
97	как мы	2	7
98	в нашем	2	7
99	одна из	3	7
100	по преимуществу	1	7
101	несмотря на	1	7
102	у него	2	7
103	в таком	2	7
104	в свое	1	7
105	приводит к	2	7
106	свое время	1	7
107	всяком случае	2	7
108	и для	1	7
109	жизни но	1	7
110	все это	3	7
111	на его	2	7
112	и т.д	3	7
113	что иное	1	7
114	иное как	1	7
115	те же	1	6
116	или в	1	6
117	не что	1	6
118	вовсе не	1	6
119	из них	4	6
120	тем не	2	6
121	не знает	1	6
122	не будет	1	6
123	в нем	3	6
124	если в	1	6
125	на этом	2	6
126	из которых	2	6
127	не более	1	6
128	вследствие этого	1	6
129	и более	1	6
130	из этих	2	6
131	уже в	3	6
132	по его	1	6
133	должен быть	1	6
134	его в	1	6
135	мере в	1	6
136	же в	1	6
137	все что	1	5
138	а затем	1	5
139	в первом	3	5
140	в один	2	5
141	в эту	1	5
142	к этому	1	5
143	ни в	1	5
144	и до	1	5
145	но как	1	5
146	и по	2	5
147	и потому	3	5
148	с ее	1	5
149	во втором	1	5
150	не могут	2	5
151	самом деле	2	5
152	и соответственно	1	5
153	жизни в	1	5
154	совершенно не	2	5
155	он в	3	5
156	тот же	2	5
157	этом случае	1	5
158	мы не	9	5
159	все эти	5	5
160	и их	1	5
161	еще в	1	5
162	такой же	2	5
163	и особенно	1	5
164	таким же	1	5
165	в своих	1	4
166	отличается от	3	4
167	так в	1	4
168	с этим	2	4
169	в действительности	1	4
170	в любом	1	4
171	только на	1	4
172	что же	5	4
173	сказать что	1	4
174	жизни как	1	4
175	что она	3	4
176	к нему	1	4
177	ни было	1	4
178	не было	1	4
179	в которой	2	4
180	между ними	1	4
181	в каждом	8	4
182	мы уже	1	4
183	то ни	2	4
184	и что	2	4
185	этом смысле	1	4
186	известном смысле	1	4
187	и от	1	4
188	и есть	2	4
189	как он	3	4
190	в известном	1	4
191	это и	1	4
192	его и	1	4
193	все три	1	4
194	и если	1	4
195	и тогда	1	4
196	на две	3	4
197	и во	2	4
198	здесь и	1	4
199	но это	1	4
200	все они	1	4
201	как у	1	4
202	здесь в	1	4
203	на которой	1	4
204	человека в	1	4
205	в области	3	4
206	и составляет	1	3
207	случае не	1	3
208	какой бы	1	3
209	в такой	1	3
210	при условии	1	3
211	вопрос о	4	3
212	раз и	1	3
213	ничто не	1	3
214	на самом	1	3
215	и той	1	3
216	одной и	1	3
217	и те	1	3
218	себе в	1	3
219	то его	1	3
220	что все	2	3
221	в зависимости	4	3
222	на котором	2	3
223	бы то	1	3
224	имеют место	1	3
225	должно быть	1	3
226	а далее	1	3
227	для своего	1	3
228	связи с	1	3
229	в связи	1	3
230	так сказать	2	3
231	между собой	3	3
232	он сам	1	3
233	и тот	1	3
234	тот или	2	3
235	оно может	1	3
236	поэтому в	1	3
237	можно было	1	3
238	сами по	1	3
239	ни о	1	3
