N	4gram	Trubetskoy	Problema
1	дело в том что	1	10
2	также и то что	1	9
3	заключается в том что	1	6
4	и в этом случае	1	6
5	бы то ни было	1	6
6	в том виде как	1	5
7	до сих пор мы	1	5
8	во что бы то	3	4
9	что бы то ни	3	4
10	указывает на то что	1	4
11	и с точки зрения	1	4
12	во всяком случае не	1	4
13	точно так же и	1	4
14	в том числе и	1	4
15	бы то ни стало	3	4
16	одного и того же	1	3
17	и вместе с тем	2	3
18	несмотря на то что	1	3
19	даже и в этом	1	3
20	но в то же	1	3
21	говорить о том что	1	3
22	только в том случае	2	2
23	и то и другое	1	2
24	том что вся эта	1	2
25	можно было говорить о	1	2
26	в том и в	2	1
27	том и в другом	2	1
28	о котором мы говорили	1	1
29	отражением того или иного	1	1
30	того что не только	1	1
31	в то же время	10	1
32	вот это и есть	1	1
33	близких друг к другу	1	1
34	в своей борьбе с	1	1
35	сводится к тому что	1	1
36	котором мы говорили в	1	1
37	во всяком случае при	1	1
38	уверен в том что	1	1
39	о которых мы говорили	1	1
40	и на то что	1	1
41	в том случае когда	1	1
42	можно сказать только то	1	1
43	в том случае если	3	1
44	которых мы говорили выше	1	1
45	по себе еще не	1	1
46	и не может быть	1	1
47	и в том и	2	1
48	и в другом случае	2	1
49	хотя в то же	1	1
50	не подлежит никакому сомнению	1	1
51	только для того чтобы	1	1
52	сказать только то что	1	1
53	во всех этих случаях	1	1
54	всяком случае не будет	1	1
55	на том основании что	1	1
56	само собой разумеется что	1	1
