N	2gram	Medvedev_V	Myshleni
1	в том	2	195
2	в этом	1	167
3	и в	2	162
4	том что	2	161
5	речи и	1	99
6	потому что	1	95
7	так как	1	78
8	и не	1	78
9	только в	1	75
10	то же	1	58
11	в самом	1	52
12	и его	1	36
13	и т.д	1	35
14	именно в	1	32
15	и то	1	31
16	самом деле	1	28
17	в их	1	26
18	в частности	1	26
19	все это	1	25
20	столь же	1	22
21	к этому	1	21
22	все время	1	21
23	в другом	1	20
24	по существу	1	20
25	но это	1	18
26	я не	1	17
27	и только	1	17
28	в которых	1	16
29	по поводу	1	16
30	тем более	1	15
31	хотя бы	1	15
32	том же	1	15
33	одно и	1	14
34	в теории	1	14
35	другом месте	1	13
36	ясно что	1	12
37	что слово	1	12
38	и составляет	1	12
39	гораздо более	1	11
40	в конце	2	11
41	а только	1	11
42	под влиянием	1	9
43	и заключается	1	9
44	одном и	1	9
45	главным образом	1	8
46	на одном	1	8
47	в значительной	1	7
48	и том	1	7
49	этом и	1	7
50	к чему	1	6
51	дело в	1	6
52	чем к	1	6
53	совершенно ясно	1	5
54	для них	1	5
55	значительной степени	1	5
56	конце концов	2	5
57	говоря о	1	5
58	чего не	1	4
59	все дело	1	4
60	от других	1	4
61	говорится в	1	4
62	время в	1	4
63	от общего	1	4
64	и самым	1	4
65	по своим	1	3
66	хотел сказать	1	3
67	но разве	1	3
68	чем больше	1	3
69	сводится к	1	3
70	да и	1	3
71	которые они	1	3
72	ведь это	1	3
73	зависят от	1	3
74	как же	1	3
75	деле как	1	3
76	далеко не	1	3
77	в книге	3	3
78	говорили в	1	2
79	более к	1	2
80	более чем	1	2
81	теснейшим образом	1	2
82	к созданию	1	2
83	вещь и	1	2
84	все то	1	2
85	даже не	1	2
86	их как	1	2
87	и зависят	1	2
88	ни к	1	2
89	не хочу	1	2
90	интересует в	1	2
91	и почти	1	2
92	этому и	1	2
93	образом связаны	1	2
94	без учета	1	1
95	значит и	1	1
96	крайней мере	1	1
97	разве это	1	1
98	слово вещь	1	1
99	собственно и	1	1
100	стр и	1	1
101	месте по	1	1
102	каждая новая	1	1
103	старых и	1	1
104	заключается что	1	1
105	не хотел	1	1
106	образом из	1	1
107	достаточно но	1	1
108	что язык	1	1
109	один пример	1	1
110	они на	1	1
111	связанным с	1	1
112	и стоит	1	1
113	никакой теории	1	1
114	бы уже	1	1
115	с большой	1	1
116	сводится в	1	1
117	других и	1	1
118	две большие	1	1
119	вся работа	1	1
120	по крайней	1	1
121	не будем	1	1
122	так в	1	1
123	находится под	1	1
124	же с	1	1
125	не играет	1	1
126	языка если	1	1
